’’	''	ἀεί	a)ei/	d--------
τελεσιουργόν	telesiourgo/n	τελεσιουργός	telesiourgo/s	n-s---ma-
τελεστήριον	telesth/rion	τελεστήριον	telesth/rion	n-s---nn-
τελεστήριον	telesth/rion	τελεστήριον	telesth/rion	n-s---nv-
τελεστήριον	telesth/rion	τελεστήριον	telesth/rion	n-s---na-
τελευταῖος	teleutai=os	τελευταῖος	teleutai=os	a-s---mn-
τελευτήν	teleuth/n	τελευτή	teleuth/	n-s---fa-
τελευτᾶν	teleuta=n	τελευτάω	teleuta/w	v-sppamv-
τελευτᾶν	teleuta=n	τελευτάω	teleuta/w	v-sppann-
τελευτᾶν	teleuta=n	τελευτάω	teleuta/w	v-sppanv-
τελευτᾶν	teleuta=n	τελευτάω	teleuta/w	v-sppana-
τελευτᾶν	teleuta=n	τελευτάω	teleuta/w	v-sppamn-
τελευτᾶν	teleuta=n	τελευτάω	teleuta/w	v--pna---
τελευτᾶν	teleuta=n	τελευτάω	teleuta/w	v--pna---
τελευτᾶν	teleuta=n	τελευτή	teleuth/	n-p---fg-
τελευτῆς	teleuth=s	τελευτάω	teleuta/w	v2spia---
τελευτῆς	teleuth=s	τελευτάω	teleuta/w	v2spia---
τελευτῆς	teleuth=s	τελευτή	teleuth/	n-s---fg-
τελούντων	telou/ntwn	τέλλω	te/llw	v-pfpamg-
τελούντων	telou/ntwn	τέλλω	te/llw	v-pfpang-
τελούντων	telou/ntwn	τελέω	tele/w	v-pfpamg-
τελούντων	telou/ntwn	τελέω	tele/w	v-pfpang-
τελούντων	telou/ntwn	τελέω	tele/w	v-pppamg-
τελούντων	telou/ntwn	τελέω	tele/w	v-pppang-
τελούντων	telou/ntwn	τελέω	tele/w	v3ppma---
τεμοῦσα	temou=sa	τέμνω	te/mnw	v-sapafn-
τεμοῦσα	temou=sa	τέμνω	te/mnw	v-sapafv-
τεμοῦσα	temou=sa	τέμνω	te/mnw	v-sfpafn-
τεμοῦσα	temou=sa	τέμνω	te/mnw	v-sfpafv-
τεμών	temw/n	τέμνω	te/mnw	v-sapamn-
τερπνόν	terpno/n	τερπνός	terpno/s	a-s---ma-
τερπνόν	terpno/n	τερπνός	terpno/s	a-s---nn-
τερπνόν	terpno/n	τερπνός	terpno/s	a-s---nv-
τερπνόν	terpno/n	τερπνός	terpno/s	a-s---na-
τεσσαράκοντα	tessara/konta	τεσσαράκοντα	tessara/konta	m--------
τετρακισμυρίους	tetrakismuri/ous	τετρακισμύριοι	tetrakismu/rioi	a-p---ma-
τετρακισχίλιοι	tetrakisxi/lioi	τετρακισχίλιοι	tetrakisxi/lioi	a-p---mn-
τετρακισχίλιοι	tetrakisxi/lioi	τετρακισχίλιοι	tetrakisxi/lioi	a-p---mv-
τεχνητά	texnhta/	τεχνητός	texnhto/s	a-p---nn-
τεχνητά	texnhta/	τεχνητός	texnhto/s	a-p---nv-
τεχνητά	texnhta/	τεχνητός	texnhto/s	a-p---na-
τεχνητά	texnhta/	τεχνητός	texnhto/s	a-d---fn-
τεχνητά	texnhta/	τεχνητός	texnhto/s	a-d---fv-
τεχνητά	texnhta/	τεχνητός	texnhto/s	a-d---fa-
τεχνητά	texnhta/	τεχνητός	texnhto/s	a-s---fn-
τεχνητά	texnhta/	τεχνητός	texnhto/s	a-s---fv-
τεχνικῶς	texnikw=s	τεχνικός	texniko/s	x--------
τεχνιτῶν	texnitw=n	τεχνίτης	texni/ths	n-p---mg-
τεχνίταις	texni/tais	τεχνίτης	texni/ths	n-p---md-
τεχνίτας	texni/tas	τεχνίτης	texni/ths	n-p---ma-
τεχνίτας	texni/tas	τεχνίτης	texni/ths	n-s---mn-
τείχη	tei/xh	τεῖχος	tei=xos	n-p---nn-
τείχη	tei/xh	τεῖχος	tei=xos	n-p---nv-
τείχη	tei/xh	τεῖχος	tei=xos	n-p---na-
τείχη	tei/xh	τεῖχος	tei=xos	n-d---nn-
τείχη	tei/xh	τεῖχος	tei=xos	n-d---nv-
τείχη	tei/xh	τεῖχος	tei=xos	n-d---na-
τείχη	tei/xh	τειχέω	teixe/w	v2spma---
τείχη	tei/xh	τειχέω	teixe/w	v3siia---
τείχους	tei/xous	τεῖχος	tei=xos	n-s---ng-
τεῖχος	tei=xos	τεῖχος	tei=xos	n-s---nn-
τεῖχος	tei=xos	τεῖχος	tei=xos	n-s---nv-
τεῖχος	tei=xos	τεῖχος	tei=xos	n-s---na-
τηλικαύτης	thlikau/ths	τηλικοῦτος	thlikou=tos	n-s---fg-
τηλικαῦτα	thlikau=ta	τηλικοῦτος	thlikou=tos	n-p---nn-
τηλικαῦτα	thlikau=ta	τηλικοῦτος	thlikou=tos	n-p---nv-
τηλικαῦτα	thlikau=ta	τηλικοῦτος	thlikou=tos	n-p---na-
τι	ti	τις	tis	p-s---nn-
τι	ti	τις	tis	p-s---nv-
τι	ti	τις	tis	p-s---na-
τιμαῖς	timai=s	τιμή	timh/	n-p---fd-
τιμήν	timh/n	τιμή	timh/	n-s---fa-
τιμᾶσθαι	tima=sqai	τιμάω	tima/w	v--pne---
τινα	tina	τις	tis	p-s---ma-
τινα	tina	τις	tis	p-s---fa-
τινα	tina	τις	tis	p-p---nn-
τινα	tina	τις	tis	p-p---nv-
τινα	tina	τις	tis	p-p---na-
τινι	tini	τις	tis	p-s----d-
τινος	tinos	τις	tis	p-s----g-
τινά	tina/	τις	tis	p-s---ma-
τινά	tina/	τις	tis	p-s---fa-
τινά	tina/	τις	tis	p-p---nn-
τινά	tina/	τις	tis	p-p---nv-
τινά	tina/	τις	tis	p-p---na-
τινάς	tina/s	τις	tis	p-p---ma-
τινάς	tina/s	τις	tis	p-p---fa-
τινές	tine/s	τις	tis	p-p---mn-
τινές	tine/s	τις	tis	p-p---mv-
τινές	tine/s	τις	tis	p-p---fn-
τινές	tine/s	τις	tis	p-p---fv-
τινί	tini/	τις	tis	p-s----d-
τινός	tino/s	τις	tis	p-s----g-
τις	tis	τις	tis	p-s---mn-
τις	tis	τις	tis	p-s---fn-
τισί	tisi/	τις	tis	p-p----d-
τμηθέντα	tmhqe/nta	τέμνω	te/mnw	v-pappnn-
τμηθέντα	tmhqe/nta	τέμνω	te/mnw	v-pappnv-
τμηθέντα	tmhqe/nta	τέμνω	te/mnw	v-pappna-
τμηθέντα	tmhqe/nta	τέμνω	te/mnw	v-sappma-
τοιαύτην	toiau/thn	τοιοῦτος	toiou=tos	n-s---fa-
τοιαύτης	toiau/ths	τοιοῦτος	toiou=tos	n-s---fg-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---na-
τοιούτων	toiou/twn	τοιοῦτος	toiou=tos	n-p---mg-
τοιούτων	toiou/twn	τοιοῦτος	toiou=tos	n-p---ng-
τοιοῦτο	toiou=to	τοιοῦτος	toiou=tos	n-s---nn-
τοιοῦτον	toiou=ton	τοιοῦτος	toiou=tos	n-s---ma-
τολμᾶν	tolma=n	τόλμα	to/lma	n-p---fg-
τολμᾶν	tolma=n	τολμάω	tolma/w	v-sppamv-
τολμᾶν	tolma=n	τολμάω	tolma/w	v-sppann-
τολμᾶν	tolma=n	τολμάω	tolma/w	v-sppanv-
τολμᾶν	tolma=n	τολμάω	tolma/w	v-sppana-
τολμᾶν	tolma=n	τολμάω	tolma/w	v-sppamn-
τολμᾶν	tolma=n	τολμάω	tolma/w	v--pna---
τολμᾶν	tolma=n	τολμάω	tolma/w	v--pna---
τολμῶντας	tolmw=ntas	τολμάω	tolma/w	v-pppama-
τομήν	tomh/n	τομή	tomh/	n-s---fa-
τομήν	tomh/n	τομός	tomo/s	a-s---fa-
τορευταί	toreutai/	τορευτής	toreuth/s	n-p---mn-
τορευταί	toreutai/	τορευτής	toreuth/s	n-p---mv-
τορευταί	toreutai/	τορευτός	toreuto/s	a-p---fn-
τορευταί	toreutai/	τορευτός	toreuto/s	a-p---fv-
τοσαύτη	tosau/th	τοσοῦτος	tosou=tos	n-s---fn-
τοσαύτη	tosau/th	τοσοῦτος	tosou=tos	n-s---fv-
τοσαύτην	tosau/thn	τοσοῦτος	tosou=tos	n-s---fa-
τοσαύτης	tosau/ths	τοσοῦτος	tosou=tos	n-s---fg-
τοσούτοις	tosou/tois	τοσοῦτος	tosou=tos	n-p---nd-
τοσούτοις	tosou/tois	τοσοῦτος	tosou=tos	n-p---md-
τοσούτων	tosou/twn	τοσοῦτος	tosou=tos	n-p---ng-
τοσούτων	tosou/twn	τοσοῦτος	tosou=tos	n-p---mg-
τοσοῦτο	tosou=to	τοσοῦτος	tosou=tos	n-s---nn-
τοσοῦτο	tosou=to	τοσοῦτος	tosou=tos	n-s---nv-
τοσοῦτο	tosou=to	τοσοῦτος	tosou=tos	n-s---na-
τοσοῦτοι	tosou=toi	τοσοῦτος	tosou=tos	n-p---mn-
τοσοῦτοι	tosou=toi	τοσοῦτος	tosou=tos	n-p---mv-
τοσοῦτον	tosou=ton	τοσοῦτος	tosou=tos	n-s---ma-
τοσοῦτόν	tosou=to/n	τοσοῦτος	tosou=tos	n-s---ma-
τοὐναντίον	tou)nanti/on	ἐναντίον	e)nanti/on	d--------
τοὐναντίον	tou)nanti/on	ἐναντίος	e)nanti/os	a-s---ma-
τοὐναντίον	tou)nanti/on	ἐναντίος	e)nanti/os	a-s---nn-
τοὐναντίον	tou)nanti/on	ἐναντίος	e)nanti/os	a-s---nv-
τοὐναντίον	tou)nanti/on	ἐναντίος	e)nanti/os	a-s---na-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---nn-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---nv-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---na-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---nn-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---nv-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---na-
τοὔστρακον	tou)/strakon	ὄστρακον	o)/strakon	n-s---nn-
τοὔστρακον	tou)/strakon	ὄστρακον	o)/strakon	n-s---nv-
τοὔστρακον	tou)/strakon	ὄστρακον	o)/strakon	n-s---na-
τοίνυν	toi/nun	τοίνυν	toi/nun	g--------
τούς	tou/s	ὁ	o(	l-p---ma-
τούτοις	tou/tois	οὗτος	ou(=tos	n-p---md-
τούτοις	tou/tois	οὗτος	ou(=tos	n-p---nd-
τούτου	tou/tou	οὗτος	ou(=tos	n-s---mg-
τούτου	tou/tou	οὗτος	ou(=tos	n-s---ng-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---mg-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---fg-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---ng-
τούτῳ	tou/tw|	οὗτος	ou(=tos	n-s---md-
τούτῳ	tou/tw|	οὗτος	ou(=tos	n-s---nd-
τοῖς	toi=s	ὁ	o(	l-p---md-
τοῖς	toi=s	ὁ	o(	l-p---nd-
τοῦ	tou=	ὁ	o(	l-s---mg-
τοῦ	tou=	ὁ	o(	l-s---ng-
τοῦ	tou=	τίς	ti/s	n-s----g-
τοῦ	tou=	τις	tis	p-s----g-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nn-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nv-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---na-
τοῦτον	tou=ton	οὗτος	ou(=tos	n-s---ma-
τραγικήν	tragikh/n	τραγικός	tragiko/s	a-s---fa-
τραπόμενος	trapo/menos	τρέπω	tre/pw	v-sapmmn-
τραχήλῳ	traxh/lw|	τράχηλος	tra/xhlos	n-s---md-
τραύμασι	trau/masi	τραῦμα	trau=ma	n-p---nd-
τρεφομένην	trefome/nhn	τρέφω	tre/fw	v-sppefa-
τρεψάμενος	treya/menos	τρέπω	tre/pw	v-sapmmn-
τριβῇ	tribh=|	τρίβω	tri/bw	v3sasp---
τριβῇ	tribh=|	τριβεύς	tribeu/s	n-s---md-
τριβῇ	tribh=|	τριβή	tribh/	n-s---fd-
τριηράρχους	trihra/rxous	τριήραρχος	trih/rarxos	n-p---ma-
τρισκαίδεκα	triskai/deka	τρεισκαίδεκα	treiskai/deka	m-p---m--
τρισκαίδεκα	triskai/deka	τρεισκαίδεκα	treiskai/deka	m-p---f--
τριάκοντα	tria/konta	τριάκοντα	tria/konta	m--------
τριήρεις	trih/reis	τριήρης	trih/rhs	n-p---fn-
τριήρεις	trih/reis	τριήρης	trih/rhs	n-p---fv-
τριήρεις	trih/reis	τριήρης	trih/rhs	n-p---fn-
τριήρεσιν	trih/resin	τριήρης	trih/rhs	n-p---fd-
τριήρη	trih/rh	τριήρης	trih/rhs	n-s---fa-
τριήρη	trih/rh	τριήρης	trih/rhs	n-d---fn-
τριήρη	trih/rh	τριήρης	trih/rhs	n-d---fv-
τριήρη	trih/rh	τριήρης	trih/rhs	n-d---fa-
τροπαίων	tropai/wn	τρόπαιον	tro/paion	n-p---ng-
τροπαίων	tropai/wn	τροπαῖος	tropai=os	a-p---fg-
τροπαίων	tropai/wn	τροπαῖος	tropai=os	a-p---mg-
τροπαίων	tropai/wn	τροπαῖος	tropai=os	a-p---ng-
τρυφερόν	trufero/n	τρυφερός	trufero/s	a-s---ma-
τρυφερόν	trufero/n	τρυφερός	trufero/s	a-s---nn-
τρυφερόν	trufero/n	τρυφερός	trufero/s	a-s---nv-
τρυφερόν	trufero/n	τρυφερός	trufero/s	a-s---na-
τρυχομένων	truxome/nwn	τρύχω	tru/xw	v-pppefg-
τρυχομένων	truxome/nwn	τρύχω	tru/xw	v-pppemg-
τρυχομένων	truxome/nwn	τρύχω	tru/xw	v-pppeng-
τρέπειν	tre/pein	τρέπω	tre/pw	v--pna---
τρέπεται	tre/petai	τρέπω	tre/pw	v3spie---
τρέπουσι	tre/pousi	τρέπω	tre/pw	v-pppamd-
τρέπουσι	tre/pousi	τρέπω	tre/pw	v-pppand-
τρέπουσι	tre/pousi	τρέπω	tre/pw	v3ppia---
τρέφει	tre/fei	τρέφος	tre/fos	n-d---nn-
τρέφει	tre/fei	τρέφος	tre/fos	n-d---nv-
τρέφει	tre/fei	τρέφος	tre/fos	n-d---na-
τρέφει	tre/fei	τρέφος	tre/fos	n-s---nd-
τρέφει	tre/fei	τρέφος	tre/fos	n-s---nd-
τρέφει	tre/fei	τρέφω	tre/fw	v2spie---
τρέφει	tre/fei	τρέφω	tre/fw	v3spia---
τρέφηται	tre/fhtai	τρέφω	tre/fw	v3spse---
τρέφουσαν	tre/fousan	τρέφω	tre/fw	v-sppafa-
τρόπαιον	tro/paion	τρόπαιον	tro/paion	n-s---nn-
τρόπαιον	tro/paion	τρόπαιον	tro/paion	n-s---nv-
τρόπαιον	tro/paion	τρόπαιον	tro/paion	n-s---na-
τρόπον	tro/pon	τρόπος	tro/pos	n-s---ma-
τυραννεῖσθαι	turannei=sqai	τυραννεύω	turanneu/w	v--pne---
τυραννήσειν	turannh/sein	τυραννεύω	turanneu/w	v--fna---
τυραννίδα	turanni/da	τυραννίς	turanni/s	n-s---fa-
τυραννίδος	turanni/dos	τυραννίς	turanni/s	n-s---fg-
τυραννίς	turanni/s	τυραννίς	turanni/s	n-s---fn-
τυράννου	tura/nnou	τύραννος	tu/rannos	n-s---mg-
τυράννων	tura/nnwn	τύραννος	tu/rannos	n-p---mg-
τυράννων	tura/nnwn	τύραννος	tu/rannos	n-p---ng-
τυράννῳ	tura/nnw|	τύραννος	tu/rannos	n-s---md-
τυχεῖν	tuxei=n	τυγχάνω	tugxa/nw	v--ana---
τἀληθές	ta)lhqe/s	ἀληθής	a)lhqh/s	n-s---mv-
τἀληθές	ta)lhqe/s	ἀληθής	a)lhqh/s	n-s---fv-
τἀληθές	ta)lhqe/s	ἀληθής	a)lhqh/s	n-s---nn-
τἀληθές	ta)lhqe/s	ἀληθής	a)lhqh/s	n-s---nv-
τἀληθές	ta)lhqe/s	ἀληθής	a)lhqh/s	n-s---na-
τἀνδρί	ta)ndri/	ἀνδρίς	a)ndri/s	n-s---fv-
τἀνδρί	ta)ndri/	ἀνήρ	a)nh/r	n-s---md-
τἄμπαλιν	ta)/mpalin	ἔμπαλιν	e)/mpalin	d--------
τἆλλα	ta)=lla	ἄλλος	a)/llos	n-p---nn-
τἆλλα	ta)=lla	ἄλλος	a)/llos	n-p---nv-
τἆλλα	ta)=lla	ἄλλος	a)/llos	n-p---na-
τἆλλα	ta)=lla	ἄλλος	a)/llos	n-d---fn-
τἆλλα	ta)=lla	ἄλλος	a)/llos	n-d---fv-
τἆλλα	ta)=lla	ἄλλος	a)/llos	n-d---fa-
τἆλλα	ta)=lla	ἄλλος	a)/llos	n-s---fn-
τἆλλα	ta)=lla	ἄλλος	a)/llos	n-s---fv-
τά	ta/	ὁ	o(	l-p---na-
τά	ta/	ὁ	o(	l-p---nn-
τά	ta/	ὁ	o(	l-p---nv-
τά	ta/	ὁ	o(	l-p---na-
τά	ta/	ὁ	o(	l-d---fa-
τά	ta/	ὁ	o(	l-d---fn-
τά	ta/	ὁ	o(	l-d---fv-
τά	ta/	ὁ	o(	l-d---fa-
τά	ta/	τίς	ti/s	n-p---nn-
τά	ta/	τίς	ti/s	n-p---nv-
τά	ta/	τίς	ti/s	n-p---na-
τάλαντα	ta/lanta	τάλαντον	ta/lanton	n-p---nn-
τάλαντα	ta/lanta	τάλαντον	ta/lanton	n-p---nv-
τάλαντα	ta/lanta	τάλαντον	ta/lanton	n-p---na-
τάλαντον	ta/lanton	τάλαντον	ta/lanton	n-s---nn-
τάλαντον	ta/lanton	τάλαντον	ta/lanton	n-s---nv-
τάλαντον	ta/lanton	τάλαντον	ta/lanton	n-s---na-
τάξιν	ta/cin	τάξις	ta/cis	n-s---fa-
τάς	ta/s	ὁ	o(	l-p---fa-
τάφῳ	ta/fw|	τάφοσ1	ta/fos1	n-s---md-
τάχος	ta/xos	τάχος	ta/xos	n-s---nn-
τάχος	ta/xos	τάχος	ta/xos	n-s---nv-
τάχος	ta/xos	τάχος	ta/xos	n-s---na-
τέ	te/	σύ	su/	p-s----a-
τέ	te/	τε	te	g--------
τέκτονες	te/ktones	τέκτων	te/ktwn	n-p---mn-
τέκτονες	te/ktones	τέκτων	te/ktwn	n-p---mv-
τέλει	te/lei	τέλος	te/los	n-d---nn-
τέλει	te/lei	τέλος	te/los	n-d---nv-
τέλει	te/lei	τέλος	te/los	n-d---na-
τέλει	te/lei	τέλος	te/los	n-s---nd-
τέλει	te/lei	τέλος	te/los	n-s---nd-
τέλει	te/lei	τελέω	tele/w	v2spma---
τέλει	te/lei	τελέω	tele/w	v3siia---
τέλος	te/los	τέλος	te/los	n-s---nn-
τέλος	te/los	τέλος	te/los	n-s---nv-
τέλος	te/los	τέλος	te/los	n-s---na-
τέρπει	te/rpei	τέρπος	te/rpos	n-d---nn-
τέρπει	te/rpei	τέρπος	te/rpos	n-d---nv-
τέρπει	te/rpei	τέρπος	te/rpos	n-d---na-
τέρπει	te/rpei	τέρπος	te/rpos	n-s---nd-
τέρπει	te/rpei	τέρπος	te/rpos	n-s---nd-
τέρπει	te/rpei	τέρπω	te/rpw	v2spie---
τέρπει	te/rpei	τέρπω	te/rpw	v3spia---
τέσσαρσι	te/ssarsi	τέσσαρες	te/ssares	n-p----d-
τέσσαρσι	te/ssarsi	τέσσαρες	te/ssares	n-p---md-
τέσσαρσι	te/ssarsi	τέσσαρες	te/ssares	n-p---fd-
τέσσαρσι	te/ssarsi	τέσσαρες	te/ssares	n-p---nd-
τέχναι	te/xnai	τέχνη	te/xnh	n-p---fn-
τέχναι	te/xnai	τέχνη	te/xnh	n-p---fv-
τέχναι	te/xnai	τέχνη	te/xnh	n-s---fd-
τέχνη	te/xnh	τέχνη	te/xnh	n-s---fn-
τέχνη	te/xnh	τέχνη	te/xnh	n-s---fv-
τέχνην	te/xnhn	τέχνη	te/xnh	n-s---fa-
τέχνῃ	te/xnh|	τέχνη	te/xnh	n-s---fd-
τέως	te/ws	τέος	te/os	n-p---ma-
τέως	te/ws	τέως	te/ws	d--------
τήν	th/n	ὁ	o(	l-s---fa-
τί	ti/	τίς	ti/s	n-s---nn-
τί	ti/	τίς	ti/s	n-s---nv-
τί	ti/	τίς	ti/s	n-s---na-
τί	ti/	τις	tis	p-s---nn-
τί	ti/	τις	tis	p-s---nv-
τί	ti/	τις	tis	p-s---na-
τίκτει	ti/ktei	τίκτω	ti/ktw	v2spie---
τίκτει	ti/ktei	τίκτω	ti/ktw	v3spia---
τίκτετον	ti/kteton	τίκτω	ti/ktw	v2dpma---
τίκτετον	ti/kteton	τίκτω	ti/ktw	v3dpia---
τίκτετον	ti/kteton	τίκτω	ti/ktw	v2dpia---
τίκτετον	ti/kteton	τίκτω	ti/ktw	v2diia---
τίκτουσιν	ti/ktousin	τίκτω	ti/ktw	v-pppamd-
τίκτουσιν	ti/ktousin	τίκτω	ti/ktw	v-pppand-
τίκτουσιν	ti/ktousin	τίκτω	ti/ktw	v3ppia---
τίνα	ti/na	τίς	ti/s	n-s---ma-
τίνα	ti/na	τίς	ti/s	n-s---fa-
τίνα	ti/na	τίς	ti/s	n-p---nn-
τίνα	ti/na	τίς	ti/s	n-p---nv-
τίνα	ti/na	τίς	ti/s	n-p---na-
τίνα	ti/na	τις	tis	p-s---ma-
τίνα	ti/na	τις	tis	p-s---fa-
τίνα	ti/na	τις	tis	p-p---nn-
τίνα	ti/na	τις	tis	p-p---nv-
τίνα	ti/na	τις	tis	p-p---na-
τίνων	ti/nwn	τίνω	ti/nw	v-sppamn-
τίνων	ti/nwn	τίνω	ti/nw	v-sppamn-
τίνων	ti/nwn	τίς	ti/s	n-p----g-
τίνων	ti/nwn	τις	tis	p-p----g-
τό	to/	ὁ	o(	l-s---nn-
τό	to/	ὁ	o(	l-s---nv-
τό	to/	ὁ	o(	l-s---na-
τόν	to/n	ὁ	o(	l-s---ma-
τόνους	to/nous	τόνος	to/nos	n-p---ma-
τόνους	to/nous	τονόω	tono/w	v2siia---
τόπον	to/pon	τόπος	to/pos	n-s---ma-
τόπους	to/pous	τόπος	to/pos	n-p---ma-
τότε	to/te	τότε	to/te	d--------
τότ’	to/t'	τότε	to/te	d--------
τύραννοι	tu/rannoi	τύραννος	tu/rannos	n-p---mn-
τύραννοι	tu/rannoi	τύραννος	tu/rannos	n-p---mv-
τύραννον	tu/rannon	τύραννος	tu/rannos	n-s---ma-
τύχας	tu/xas	τύχη	tu/xh	n-p---fa-
τύχας	tu/xas	τύχη	tu/xh	n-s---fg-
τύχη	tu/xh	τύχη	tu/xh	n-s---fn-
τύχη	tu/xh	τύχη	tu/xh	n-s---fv-
τύχην	tu/xhn	τύχη	tu/xh	n-s---fa-
τύχης	tu/xhs	τύχη	tu/xh	n-s---fg-
τύχῃ	tu/xh|	τύχη	tu/xh	n-s---fd-
τύχῃ	tu/xh|	τυγχάνω	tugxa/nw	v2sase---
τύχῃ	tu/xh|	τυγχάνω	tugxa/nw	v3sasa---
τᾠδεῖον	tw)|dei=on	ᾠδεῖον	w)|dei=on	n-s---nn-
τᾠδεῖον	tw)|dei=on	ᾠδεῖον	w)|dei=on	n-s---nv-
τᾠδεῖον	tw)|dei=on	ᾠδεῖον	w)|dei=on	n-s---na-
τῆς	th=s	ὁ	o(	l-s---fg-
τῇ	th=|	ὁ	o(	l-s---fd-
τῇ	th=|	τῇ	th=|	d--------
τῦφον	tu=fon	τύφω	tu/fw	v-sppamv-
τῦφον	tu=fon	τύφω	tu/fw	v-sppann-
τῦφον	tu=fon	τύφω	tu/fw	v-sppanv-
τῦφον	tu=fon	τύφω	tu/fw	v-sppana-
τῦφον	tu=fon	τύφω	tu/fw	v3piia---
τῦφον	tu=fon	τύφω	tu/fw	v1siia---
τῦφον	tu=fon	τῦφος	tu=fos	n-s---ma-
τῶν	tw=n	ὁ	o(	l-p---fg-
τῶν	tw=n	ὁ	o(	l-p---mg-
τῶν	tw=n	ὁ	o(	l-p---ng-
τῷ	tw=|	ὁ	o(	l-s---md-
τῷ	tw=|	ὁ	o(	l-s---nd-
τῷ	tw=|	τίς	ti/s	n-s----d-
τῷ	tw=|	τις	tis	p-s----d-
τῷ	tw=|	τῷ	tw=|	d--------
υἱοῦ	ui(ou=	υἱός	ui(o/s	n-s---mg-
υἱοῦ	ui(ou=	υἱόω	ui(o/w	v2siie---
υἱοῦ	ui(ou=	υἱόω	ui(o/w	v2spme---
υἱέσι	ui(e/si	υἱός	ui(o/s	n-p---md-
υἱόν	ui(o/n	υἱός	ui(o/s	n-s---ma-
υἱῶν	ui(w=n	υἱός	ui(o/s	n-p---mg-
υἱῶν	ui(w=n	υἱόω	ui(o/w	v-sppamv-
υἱῶν	ui(w=n	υἱόω	ui(o/w	v-sppann-
υἱῶν	ui(w=n	υἱόω	ui(o/w	v-sppanv-
υἱῶν	ui(w=n	υἱόω	ui(o/w	v-sppana-
υἱῶν	ui(w=n	υἱόω	ui(o/w	v-sppamn-
υἱῶν	ui(w=n	υἱόω	ui(o/w	v--pna---
φαινόμενα	faino/mena	φαίνω	fai/nw	v-pppenn-
φαινόμενα	faino/mena	φαίνω	fai/nw	v-pppenv-
φαινόμενα	faino/mena	φαίνω	fai/nw	v-pppena-
φαινόμενον	faino/menon	φαίνω	fai/nw	v-sppema-
φαινόμενον	faino/menon	φαίνω	fai/nw	v-sppenn-
φαινόμενον	faino/menon	φαίνω	fai/nw	v-sppenv-
φαινόμενον	faino/menon	φαίνω	fai/nw	v-sppena-
φαλακροῦ	falakrou=	φαλακρόομαι	falakro/omai	v2spme---
φαλακροῦ	falakrou=	φαλακρόομαι	falakro/omai	v2siie---
φαλακροῦ	falakrou=	φαλακρός	falakro/s	a-s---mg-
φαλακροῦ	falakrou=	φαλακρός	falakro/s	a-s---ng-
φανεράν	fanera/n	φανερός	fanero/s	a-s---fa-
φανερῶς	fanerw=s	φανερός	fanero/s	x--------
φανερῶς	fanerw=s	φανερός	fanero/s	x--------
φανερῶς	fanerw=s	φανερόω	fanero/w	v2spia---
φανείς	fanei/s	φαίνω	fai/nw	v-sappmn-
φανείς	fanei/s	φαίνω	fai/nw	v-sappmv-
φανείσης	fanei/shs	φαίνω	fai/nw	v-sappfg-
φανεῖσα	fanei=sa	φαίνω	fai/nw	v-sappfn-
φανεῖσα	fanei=sa	φαίνω	fai/nw	v-sappfv-
φανέντος	fane/ntos	φαίνω	fai/nw	v-sappmg-
φανέντος	fane/ntos	φαίνω	fai/nw	v-sappng-
φανῆναι	fanh=nai	φαίνω	fai/nw	v--anp---
φανῆναι	fanh=nai	φανάω	fana/w	v--pna---
φαρμάκοις	farma/kois	φάρμακον	fa/rmakon	n-p---nd-
φαρμάκοις	farma/kois	φάρμακος	fa/rmakos	n-p---md-
φασι	fasi	φημί	fhmi/	v3ppia---
φασι	fasi	φημί	fhmi/	v3spia---
φασιν	fasin	φημί	fhmi/	v3ppia---
φασιν	fasin	φημί	fhmi/	v3spia---
φασί	fasi/	φημί	fhmi/	v3ppia---
φασί	fasi/	φημί	fhmi/	v3spia---
φασίν	fasi/n	φημί	fhmi/	v3ppia---
φασίν	fasi/n	φημί	fhmi/	v3spia---
φαίνεται	fai/netai	φαίνω	fai/nw	v3spie---
φαῦλον	fau=lon	φαῦλος	fau=los	a-s---ma-
φαῦλον	fau=lon	φαῦλος	fau=los	a-s---nn-
φαῦλον	fau=lon	φαῦλος	fau=los	a-s---nv-
φαῦλον	fau=lon	φαῦλος	fau=los	a-s---na-
φαῦλον	fau=lon	φαῦλος	fau=los	n-s---ma-
φαῦλον	fau=lon	φαῦλος	fau=los	n-s---fa-
φαῦλον	fau=lon	φαῦλος	fau=los	n-s---nn-
