Γαιηόχου	*gaiho/xou	Γαιήοχος	*gaih/oxos	n-s---mg-
σῆμα	sh=ma	σῆμα	sh=ma	n-s---na-
σῆς	sh=s	σέω	se/w	v2spia---
σῆς	sh=s	σέω	se/w	v2siia---
σῆς	sh=s	σής	sh/s	n-p---ma-
σῆς	sh=s	σής	sh/s	n-p---mn-
σῆς	sh=s	σής	sh/s	n-p---mv-
σῆς	sh=s	σός	so/s	a-s---fg-
σῇσι	sh=|si	σέω	se/w	v3spsa---
σῇσι	sh=|si	σός	so/s	a-p---fd-
ταλαεργούς	talaergou/s	ταλαεργός	talaergo/s	n-p---ma-
ταλαεργούς	talaergou/s	ταλαεργός	talaergo/s	n-p---fa-
ταμών	tamw/n	τέμνω	te/mnw	v-sapamn-
ταναύποδα	tanau/poda	ταναύπους	tanau/pous	n-p---nn-
ταναύποδα	tanau/poda	ταναύπους	tanau/pous	n-p---nv-
ταναύποδα	tanau/poda	ταναύπους	tanau/pous	n-p---na-
ταναύποδα	tanau/poda	ταναύπους	tanau/pous	n-s---ma-
ταναύποδα	tanau/poda	ταναύπους	tanau/pous	n-s---fa-
τανυσίπτερον	tanusi/pteron	τανυσίπτερος	tanusi/pteros	n-s---ma-
τανυσίπτερον	tanusi/pteron	τανυσίπτερος	tanusi/pteros	n-s---fa-
τανυσίπτερον	tanusi/pteron	τανυσίπτερος	tanusi/pteros	n-s---nn-
τανυσίπτερον	tanusi/pteron	τανυσίπτερος	tanusi/pteros	n-s---nv-
τανυσίπτερον	tanusi/pteron	τανυσίπτερος	tanusi/pteros	n-s---na-
ταρβαλέον	tarbale/on	ταρβαλέος	tarbale/os	n-s---ma-
ταρβαλέον	tarbale/on	ταρβαλέος	tarbale/os	n-s---nn-
ταρβαλέον	tarbale/on	ταρβαλέος	tarbale/os	n-s---nv-
ταρβαλέον	tarbale/on	ταρβαλέος	tarbale/os	n-s---na-
ταί	tai/	ὁ	o(	l-p---fn-
ταύροις	tau/rois	ταῦρος	tau=ros	n-p---md-
ταύτην	tau/thn	οὗτος	ou(=tos	n-s---fa-
ταῖσδ’	tai=sd'	ὅδε	o(/de	n-p---fd-
ταῦρος	tau=ros	ταῦρος	tau=ros	n-s---mn-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nn-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nv-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---na-
ταῦτά	tau=ta/	οὗτος	ou(=tos	n-p---nn-
ταῦτά	tau=ta/	οὗτος	ou(=tos	n-p---nv-
ταῦτά	tau=ta/	οὗτος	ou(=tos	n-p---na-
τε	te	τε	te	g--------
τεθαλυῖα	teqalui=a	θάλλω	qa/llw	v-srpafn-
τεθαλυῖα	teqalui=a	θάλλω	qa/llw	v-srpafv-
τεθαλυῖα	teqalui=a	θάλλω	qa/llw	v-srpafn-
τεθαλυῖα	teqalui=a	θάλλω	qa/llw	v-srpafv-
τεκτήνατ’	tekth/nat'	τεκταίνομαι	tektai/nomai	v3saim---
τεκτήνατ’	tekth/nat'	τεκταίνομαι	tektai/nomai	v2pama---
τεκτήνατ’	tekth/nat'	τεκταίνομαι	tektai/nomai	v2paia---
τεληέντων	telhe/ntwn	τελήεις	telh/eis	n-p---mg-
τεληέντων	telhe/ntwn	τελήεις	telh/eis	n-p---ng-
τερπόμενοι	terpo/menoi	τέρπω	te/rpw	v-pppemn-
τερπόμενοι	terpo/menoi	τέρπω	te/rpw	v-pppemv-
τετελεσμένον	tetelesme/non	τελέω	tele/w	v-srpema-
τετελεσμένον	tetelesme/non	τελέω	tele/w	v-srpenn-
τετελεσμένον	tetelesme/non	τελέω	tele/w	v-srpenv-
τετελεσμένον	tetelesme/non	τελέω	tele/w	v-srpena-
τετορήσας	tetorh/sas	τορέω	tore/w	v-sapamn-
τετορήσας	tetorh/sas	τορέω	tore/w	v-sapamv-
τετράδι	tetra/di	τετράς	tetra/s	n-s---fd-
τεῦξε	teu=ce	τεύχω	teu/xw	v3saia---
τηλόθ’	thlo/q'	τηλόθεν	thlo/qen	d--------
τηλόθ’	thlo/q'	τηλόθι	thlo/qi	d--------
τηλόσε	thlo/se	τηλόσε	thlo/se	d--------
τι	ti	τις	tis	p-s---nn-
τι	ti	τις	tis	p-s---nv-
τι	ti	τις	tis	p-s---na-
τιμάς	tima/s	τιμή	timh/	n-p---fa-
τιμήν	timh/n	τιμή	timh/	n-s---fa-
τιμῆς	timh=s	τιμάω	tima/w	v2spia---
τιμῆς	timh=s	τιμάω	tima/w	v2spia---
τιμῆς	timh=s	τιμέω	time/w	v2spia---
τιμῆς	timh=s	τιμή	timh/	n-s---fg-
τινα	tina	τις	tis	p-s---ma-
τινα	tina	τις	tis	p-s---fa-
τινα	tina	τις	tis	p-p---nn-
τινα	tina	τις	tis	p-p---nv-
τινα	tina	τις	tis	p-p---na-
τινες	tines	τις	tis	p-p---mn-
τινες	tines	τις	tis	p-p---mv-
τινες	tines	τις	tis	p-p---fn-
τινες	tines	τις	tis	p-p---fv-
τινά	tina/	τις	tis	p-s---ma-
τινά	tina/	τις	tis	p-s---fa-
τινά	tina/	τις	tis	p-p---nn-
τινά	tina/	τις	tis	p-p---nv-
τινά	tina/	τις	tis	p-p---na-
τις	tis	τις	tis	p-s---mn-
τις	tis	τις	tis	p-s---fn-
τλαίης	tlai/hs	τλάω	tla/w	v2saoa---
τλαίης	tlai/hs	τλάω	tla/w	v2spoa---
τλήμονα	tlh/mona	τλήμων	tlh/mwn	n-p---nn-
τλήμονα	tlh/mona	τλήμων	tlh/mwn	n-p---nv-
τλήμονα	tlh/mona	τλήμων	tlh/mwn	n-p---na-
τλήμονα	tlh/mona	τλήμων	tlh/mwn	n-s---ma-
τλήμονα	tlh/mona	τλήμων	tlh/mwn	n-s---fa-
τοι	toi	σύ	su/	p-s----d-
τοι	toi	τοι	toi	g--------
τούς	tou/s	ὁ	o(	l-p---ma-
τούτοις	tou/tois	οὗτος	ou(=tos	n-p---md-
τούτοις	tou/tois	οὗτος	ou(=tos	n-p---nd-
τούτῳ	tou/tw|	οὗτος	ou(=tos	n-s---md-
τούτῳ	tou/tw|	οὗτος	ou(=tos	n-s---nd-
τοῖα	toi=a	τοῖος	toi=os	a-p---nn-
τοῖα	toi=a	τοῖος	toi=os	a-p---nv-
τοῖα	toi=a	τοῖος	toi=os	a-p---na-
τοῖο	toi=o	ὁ	o(	l-s---mg-
τοῖο	toi=o	ὁ	o(	l-s---ng-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nn-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nv-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---na-
τοῦτον	tou=ton	οὗτος	ou(=tos	n-s---ma-
τρεῖς	trei=s	τρέω	tre/w	v2spia---
τρεῖς	trei=s	τρέω	tre/w	v2siia---
τρεῖς	trei=s	τρεῖς	trei=s	m-p---mn-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---mv-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---ma-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fn-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fv-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fa-
τρηχεῖα	trhxei=a	τραχύς	traxu/s	a-s---fn-
τρηχεῖα	trhxei=a	τραχύς	traxu/s	a-s---fv-
τριπέτηλον	tripe/thlon	τριπέτηλον	tripe/thlon	n-s---nn-
τριπέτηλον	tripe/thlon	τριπέτηλον	tripe/thlon	n-s---nv-
τριπέτηλον	tripe/thlon	τριπέτηλον	tripe/thlon	n-s---na-
τριπέτηλον	tripe/thlon	τριπέτηλος	tripe/thlos	n-s---ma-
τριπέτηλον	tripe/thlon	τριπέτηλος	tripe/thlos	n-s---fa-
τριπέτηλον	tripe/thlon	τριπέτηλος	tripe/thlos	n-s---nn-
τριπέτηλον	tripe/thlon	τριπέτηλος	tripe/thlos	n-s---nv-
τριπέτηλον	tripe/thlon	τριπέτηλος	tripe/thlos	n-s---na-
τρέφει	tre/fei	τρέφος	tre/fos	n-d---nn-
τρέφει	tre/fei	τρέφος	tre/fos	n-d---nv-
τρέφει	tre/fei	τρέφος	tre/fos	n-d---na-
τρέφει	tre/fei	τρέφος	tre/fos	n-s---nd-
τρέφει	tre/fei	τρέφος	tre/fos	n-s---nd-
τρέφει	tre/fei	τρέφω	tre/fw	v2spie---
τρέφει	tre/fei	τρέφω	tre/fw	v3spia---
τρία	tri/a	τρεῖς	trei=s	m-p---nn-
τρία	tri/a	τρεῖς	trei=s	m-p---nv-
τρία	tri/a	τρεῖς	trei=s	m-p---na-
τρία	tri/a	τρία	tri/a	n-p---nn-
τρία	tri/a	τρία	tri/a	n-p---nv-
τρία	tri/a	τρία	tri/a	n-p---na-
τρίβος	tri/bos	τρίβος	tri/bos	n-s---mn-
τρίβος	tri/bos	τρίβος	tri/bos	n-s---fn-
τρίποδας	tri/podas	τρίπους	tri/pous	n-p---ma-
τρίποδας	tri/podas	τρίπους	tri/pous	n-p---fa-
τά	ta/	ὁ	o(	l-p---na-
τά	ta/	ὁ	o(	l-p---nn-
τά	ta/	ὁ	o(	l-p---nv-
τά	ta/	ὁ	o(	l-p---na-
τά	ta/	ὁ	o(	l-d---fa-
τά	ta/	ὁ	o(	l-d---fn-
τά	ta/	ὁ	o(	l-d---fv-
τά	ta/	ὁ	o(	l-d---fa-
τά	ta/	τίς	ti/s	n-p---nn-
τά	ta/	τίς	ti/s	n-p---nv-
τά	ta/	τίς	ti/s	n-p---na-
τάδε	ta/de	ὅδε	o(/de	n-p---na-
τάδε	ta/de	ὅδε	o(/de	n-p---nn-
τάδε	ta/de	ὅδε	o(/de	n-d---fa-
τάδε	ta/de	ὅδε	o(/de	n-d---fn-
τάδε	ta/de	ὅδε	o(/de	n-d---fv-
τάλαντα	ta/lanta	τάλαντον	ta/lanton	n-p---nn-
τάλαντα	ta/lanta	τάλαντον	ta/lanton	n-p---nv-
τάλαντα	ta/lanta	τάλαντον	ta/lanton	n-p---na-
τάνυσσε	ta/nusse	τανύω	tanu/w	v3saia---
τάς	ta/s	ὁ	o(	l-p---fa-
τάχα	ta/xa	τάχα	ta/xa	d--------
τάχα	ta/xa	τάχος	ta/xos	n-p---nn-
τάχα	ta/xa	τάχος	ta/xos	n-p---nv-
τάχα	ta/xa	τάχος	ta/xos	n-p---na-
τάχ’	ta/x'	τάχα	ta/xa	d--------
τέκε	te/ke	τίκτω	ti/ktw	v2sama---
τέκε	te/ke	τίκτω	ti/ktw	v3saia---
τέκνα	te/kna	τέκνον	te/knon	n-p---nn-
τέκνα	te/kna	τέκνον	te/knon	n-p---nv-
τέκνα	te/kna	τέκνον	te/knon	n-p---na-
τέκνον	te/knon	τέκνον	te/knon	n-s---nn-
τέκνον	te/knon	τέκνον	te/knon	n-s---nv-
τέκνον	te/knon	τέκνον	te/knon	n-s---na-
τέλειον	te/leion	τέλειος	te/leios	a-s---ma-
τέλειον	te/leion	τέλειος	te/leios	a-s---nn-
τέλειον	te/leion	τέλειος	te/leios	a-s---nv-
τέλειον	te/leion	τέλειος	te/leios	a-s---na-
τέλειον	te/leion	τελέω	tele/w	v3piia---
τέλειον	te/leion	τελέω	tele/w	v1siia---
τέλεον	te/leon	τέλειος	te/leios	a-s---ma-
τέλεον	te/leon	τέλειος	te/leios	a-s---nn-
τέλεον	te/leon	τέλειος	te/leios	a-s---nv-
τέλεον	te/leon	τέλειος	te/leios	a-s---na-
τέλεον	te/leon	τέλειος	te/leios	n-s---ma-
τέλεον	te/leon	τέλειος	te/leios	n-s---fa-
τέλεον	te/leon	τέλειος	te/leios	n-s---nn-
τέλεον	te/leon	τέλειος	te/leios	n-s---nv-
τέλεον	te/leon	τέλειος	te/leios	n-s---na-
τέλεον	te/leon	τελέω	tele/w	v3piia---
τέλεον	te/leon	τελέω	tele/w	v1siia---
τέλος	te/los	τέλος	te/los	n-s---nn-
τέλος	te/los	τέλος	te/los	n-s---nv-
τέλος	te/los	τέλος	te/los	n-s---na-
τέξουσι	te/cousi	τίκτω	ti/ktw	v-pfpamd-
τέξουσι	te/cousi	τίκτω	ti/ktw	v-pfpand-
τέξουσι	te/cousi	τίκτω	ti/ktw	v3pfia---
τέρεν	te/ren	τέρην	te/rhn	a-s---mv-
τέρεν	te/ren	τέρην	te/rhn	a-s---nn-
τέρεν	te/ren	τέρην	te/rhn	a-s---nv-
τέρεν	te/ren	τέρην	te/rhn	a-s---na-
τέρθρον	te/rqron	τέρθρον	te/rqron	n-s---nn-
τέρθρον	te/rqron	τέρθρον	te/rqron	n-s---nv-
τέρθρον	te/rqron	τέρθρον	te/rqron	n-s---na-
τέρθρον	te/rqron	τέρθρος	te/rqros	n-s---ma-
τέρπε	te/rpe	τέρπω	te/rpw	v2spma---
τέρπε	te/rpe	τέρπω	te/rpw	v3siia---
τέσσαρες	te/ssares	τέσσαρες	te/ssares	n-p---mn-
τέσσαρες	te/ssares	τέσσαρες	te/ssares	n-p---mv-
τέσσαρες	te/ssares	τέσσαρες	te/ssares	n-p---fn-
τέσσαρες	te/ssares	τέσσαρες	te/ssares	n-p---fv-
τέτραπται	te/traptai	τρέπω	tre/pw	v3srie---
τέτυκται	te/tuktai	τεύχω	teu/xw	v3srie---
τέτυκτο	te/tukto	τεύχω	teu/xw	v3slie---
τέχνη	te/xnh	τέχνη	te/xnh	n-s---fn-
τέχνη	te/xnh	τέχνη	te/xnh	n-s---fv-
τέχνην	te/xnhn	τέχνη	te/xnh	n-s---fa-
τέχνης	te/xnhs	τέχνη	te/xnh	n-s---fg-
τέχνῃ	te/xnh|	τέχνη	te/xnh	n-s---fd-
τέχνῃσίν	te/xnh|si/n	τέχνη	te/xnh	n-p---fd-
τήν	th/n	ὁ	o(	l-s---fa-
τήνδε	th/nde	ὅδε	o(/de	n-s---fa-
τί	ti/	τίς	ti/s	n-s---nn-
τί	ti/	τίς	ti/s	n-s---nv-
τί	ti/	τίς	ti/s	n-s---na-
τί	ti/	τις	tis	p-s---nn-
τί	ti/	τις	tis	p-s---nv-
τί	ti/	τις	tis	p-s---na-
τίμιον	ti/mion	τίμιος	ti/mios	a-s---ma-
τίμιον	ti/mion	τίμιος	ti/mios	a-s---nn-
τίμιον	ti/mion	τίμιος	ti/mios	a-s---nv-
τίμιον	ti/mion	τίμιος	ti/mios	a-s---na-
τίμιον	ti/mion	τίμιος	ti/mios	n-s---ma-
τίμιον	ti/mion	τίμιος	ti/mios	n-s---fa-
τίμιον	ti/mion	τίμιος	ti/mios	n-s---nn-
τίμιον	ti/mion	τίμιος	ti/mios	n-s---nv-
τίμιον	ti/mion	τίμιος	ti/mios	n-s---na-
τίμιον	ti/mion	τιμάω	tima/w	v3piia---
τίμιον	ti/mion	τιμάω	tima/w	v1siia---
τίμιον	ti/mion	τιμέω	time/w	v3piia---
τίμιον	ti/mion	τιμέω	time/w	v1siia---
τίνα	ti/na	τίς	ti/s	n-s---ma-
τίνα	ti/na	τίς	ti/s	n-s---fa-
τίνα	ti/na	τίς	ti/s	n-p---nn-
τίνα	ti/na	τίς	ti/s	n-p---nv-
τίνα	ti/na	τίς	ti/s	n-p---na-
τίνα	ti/na	τις	tis	p-s---ma-
τίνα	ti/na	τις	tis	p-s---fa-
τίνα	ti/na	τις	tis	p-p---nn-
τίνα	ti/na	τις	tis	p-p---nv-
τίνα	ti/na	τις	tis	p-p---na-
τίπτε	ti/pte	τίπτε	ti/pte	x--------
τίς	ti/s	τίς	ti/s	n-s---mn-
τίς	ti/s	τίς	ti/s	n-s---fn-
τίς	ti/s	τις	tis	p-s---mn-
τίς	ti/s	τις	tis	p-s---fn-
τίσω	ti/sw	τίνω	ti/nw	v1sasa---
τίσω	ti/sw	τίνω	ti/nw	v1sfia---
τίσω	ti/sw	τίνω	ti/nw	v2saim---
τίσω	ti/sw	τίω	ti/w	v1sfia---
τίσω	ti/sw	τίζω	ti/zw	v1sasa---
τίσω	ti/sw	τίζω	ti/zw	v1sfia---
τίσω	ti/sw	τίζω	ti/zw	v2saim---
τό	to/	ὁ	o(	l-s---nn-
τό	to/	ὁ	o(	l-s---nv-
τό	to/	ὁ	o(	l-s---na-
τόδε	to/de	ὅδε	o(/de	n-s---nn-
τόδε	to/de	ὅδε	o(/de	n-s---nv-
τόδε	to/de	ὅδε	o(/de	n-s---na-
τόδ’	to/d'	ὅδε	o(/de	n-s---nn-
τόδ’	to/d'	ὅδε	o(/de	n-s---nv-
τόδ’	to/d'	ὅδε	o(/de	n-s---na-
τόν	to/n	ὁ	o(	l-s---ma-
τόνδε	to/nde	ὅδε	o(/de	n-s---ma-
τόνδε	to/nde	ὅδε	o(/de	n-s---na-
τόξα	to/ca	τόξον	to/con	n-p---nn-
τόξα	to/ca	τόξον	to/con	n-p---nv-
τόξα	to/ca	τόξον	to/con	n-p---na-
τόσσον	to/sson	τόσος	to/sos	a-s---ma-
τόσσον	to/sson	τόσος	to/sos	a-s---nn-
τόσσον	to/sson	τόσος	to/sos	a-s---nv-
τόσσον	to/sson	τόσος	to/sos	a-s---na-
τότε	to/te	τότε	to/te	d--------
τότ’	to/t'	τότε	to/te	d--------
τόφρα	to/fra	τόφρα	to/fra	d--------
τύχῃσι	tu/xh|si	τύχη	tu/xh	n-p---fd-
τύχῃσι	tu/xh|si	τυγχάνω	tugxa/nw	v3sasa---
τώ	tw/	ὁ	o(	l-d---fn-
τώ	tw/	ὁ	o(	l-d---fv-
τώ	tw/	ὁ	o(	l-d---fa-
τώ	tw/	ὁ	o(	l-d---ma-
τώ	tw/	ὁ	o(	l-d---na-
τώ	tw/	ὁ	o(	l-d---mn-
τώ	tw/	ὁ	o(	l-d---mv-
τώ	tw/	ὁ	o(	l-d---ma-
τώ	tw/	ὁ	o(	l-d---nn-
τώ	tw/	ὁ	o(	l-d---nv-
τώ	tw/	ὁ	o(	l-d---na-
τώ	tw/	τῷ	tw=|	d--------
τῆμος	th=mos	τῆμος	th=mos	d--------
τῆς	th=s	ὁ	o(	l-s---fg-
τῇ	th=|	ὁ	o(	l-s---fd-
τῇ	th=|	τῇ	th=|	d--------
τῇδε	th=|de	ὅδε	o(/de	n-s---fd-
τῇδε	th=|de	τῇδε	th=|de	d--------
τῇσι	th=|si	ὁ	o(	l-p---fd-
τῇσιν	th=|sin	ὁ	o(	l-p---fd-
τῶν	tw=n	ὁ	o(	l-p---fg-
τῶν	tw=n	ὁ	o(	l-p---mg-
τῶν	tw=n	ὁ	o(	l-p---ng-
υἱέ	ui(e/	υἱός	ui(o/s	n-s---mv-
υἱόν	ui(o/n	υἱός	ui(o/s	n-s---ma-
υἱός	ui(o/s	υἱός	ui(o/s	n-s---mn-
φαεινήν	faeinh/n	φαεινός	faeino/s	a-s---fa-
φασι	fasi	φημί	fhmi/	v3ppia---
φασι	fasi	φημί	fhmi/	v3spia---
φαίδιμον	fai/dimon	φαίδιμος	fai/dimos	a-s---ma-
φαίδιμον	fai/dimon	φαίδιμος	fai/dimos	a-s---nn-
φαίδιμον	fai/dimon	φαίδιμος	fai/dimos	a-s---nv-
φαίδιμον	fai/dimon	φαίδιμος	fai/dimos	a-s---na-
φαίδιμον	fai/dimon	φαίδιμος	fai/dimos	n-s---ma-
φαίδιμον	fai/dimon	φαίδιμος	fai/dimos	n-s---fa-
φαίδιμον	fai/dimon	φαίδιμος	fai/dimos	n-s---nn-
φαίδιμον	fai/dimon	φαίδιμος	fai/dimos	n-s---nv-
φαίδιμον	fai/dimon	φαίδιμος	fai/dimos	n-s---na-
φεύγουσα	feu/gousa	φεύγω	feu/gw	v-sppafn-
φεύγουσα	feu/gousa	φεύγω	feu/gw	v-sppafv-
φηληταί	fhlhtai/	φηλητής	fhlhth/s	n-p---mn-
φηληταί	fhlhtai/	φηλητής	fhlhth/s	n-p---mv-
φηλητεύσειν	fhlhteu/sein	φηλητεύω	fhlhteu/w	v--fna---
φηλητέων	fhlhte/wn	φηλητής	fhlhth/s	n-p---mg-
φηλητήν	fhlhth/n	φηλητής	fhlhth/s	n-s---ma-
φηλῆτα	fhlh=ta	φηλητής	fhlhth/s	n-s---mv-
φηλῆτα	fhlh=ta	φηλητής	fhlhth/s	n-s---mn-
φημι	fhmi	φημί	fhmi/	v1spia---
φημί	fhmi/	φημί	fhmi/	v1spia---
φθεγγομένη	fqeggome/nh	φθέγγομαι	fqe/ggomai	v-sppefn-
φθεγγομένη	fqeggome/nh	φθέγγομαι	fqe/ggomai	v-sppefv-
φιλεῖ	filei=	φιλέω	file/w	v2spie---
φιλεῖ	filei=	φιλέω	file/w	v3spia---
φιλοκυδέα	filokude/a	φιλοκυδής	filokudh/s	n-p---nn-
φιλοκυδέα	filokude/a	φιλοκυδής	filokudh/s	n-p---nv-
φιλοκυδέα	filokude/a	φιλοκυδής	filokudh/s	n-p---na-
φιλοκυδέα	filokude/a	φιλοκυδής	filokudh/s	n-s---ma-
φιλοκυδέα	filokude/a	φιλοκυδής	filokudh/s	n-s---fa-
φιλοκυδέος	filokude/os	φιλοκυδής	filokudh/s	n-s---mg-
φιλοκυδέος	filokude/os	φιλοκυδής	filokudh/s	n-s---fg-
φιλοκυδέος	filokude/os	φιλοκυδής	filokudh/s	n-s---ng-
φιλολήιός	filolh/io/s	φιλολήιος	filolh/ios	n-s---mn-
φιλολήιός	filolh/io/s	φιλολήιος	filolh/ios	n-s---fn-
φιλότητα	filo/thta	φιλότης	filo/ths	n-s---fa-
φιλότητι	filo/thti	φιλότης	filo/ths	n-s---fd-
φιλῶ	filw=	φιλέω	file/w	v1spsa---
φιλῶ	filw=	φιλέω	file/w	v1spia---
φιλῶ	filw=	φιλόω	filo/w	v1spsa---
φιλῶ	filw=	φιλόω	filo/w	v1spia---
φλόξ	flo/c	φλόξ	flo/c	n-s---fn-
φλόξ	flo/c	φλόξ	flo/c	n-s---fv-
φοινικόεντα	foiniko/enta	φοινικόεις	foiniko/eis	n-p---nn-
φοινικόεντα	foiniko/enta	φοινικόεις	foiniko/eis	n-p---nv-
φοινικόεντα	foiniko/enta	φοινικόεις	foiniko/eis	n-p---na-
φοινικόεντα	foiniko/enta	φοινικόεις	foiniko/eis	n-s---ma-
φοιτῶσιν	foitw=sin	φοιτάω	foita/w	v-pppamd-
φοιτῶσιν	foitw=sin	φοιτάω	foita/w	v-pppand-
φοιτῶσιν	foitw=sin	φοιτάω	foita/w	v3ppsa---
φοιτῶσιν	foitw=sin	φοιτάω	foita/w	v3ppia---
φοιτῶσιν	foitw=sin	φοιτάω	foita/w	v3ppsa---
φοιτῶσιν	foitw=sin	φοιτάζω	foita/zw	v-pfpamd-
φοιτῶσιν	foitw=sin	φοιτάζω	foita/zw	v-pfpand-
φοιτῶσιν	foitw=sin	φοιτάζω	foita/zw	v3pfia---
φοῖβε	foi=be	φοῖβος	foi=bos	a-s---mv-
φρασσάμενος	frassa/menos	φράζω	fra/zw	v-sapmmn-
φρεσί	fresi/	φρήν	frh/n	n-p---fd-
φρεσίν	fresi/n	φρήν	frh/n	n-p---fd-
φρένα	fre/na	φρήν	frh/n	n-s---fa-
φρένας	fre/nas	φρήν	frh/n	n-p---fa-
φυλάξει	fula/cei	φύλαξις	fu/lacis	n-d---fn-
φυλάξει	fula/cei	φύλαξις	fu/lacis	n-d---fv-
φυλάξει	fula/cei	φύλαξις	fu/lacis	n-d---fa-
φυλάξει	fula/cei	φύλαξις	fu/lacis	n-s---fd-
φυλάξει	fula/cei	φύλαξις	fu/lacis	n-s---fd-
φυλάξει	fula/cei	φυλάσσω	fula/ssw	v3sasa---
φυλάξει	fula/cei	φυλάσσω	fula/ssw	v2sfim---
φυλάξει	fula/cei	φυλάσσω	fula/ssw	v3sfia---
φυλάξει	fula/cei	φυλάζω	fula/zw	v3sasa---
φυλάξει	fula/cei	φυλάζω	fula/zw	v2sfim---
φυλάξει	fula/cei	φυλάζω	fula/zw	v3sfia---
φυσιοώσας	fusiow/sas	φυσιάω	fusia/w	v-pppafa-
φυσιοώσας	fusiow/sas	φυσιόω	fusio/w	v-pppafa-
φυτά	futa/	φυτάς	futa/s	n-s---fv-
φυτά	futa/	φυτόν	futo/n	n-p---nn-
φυτά	futa/	φυτόν	futo/n	n-p---nv-
φυτά	futa/	φυτόν	futo/n	n-p---na-
φυτά	futa/	φυτός	futo/s	a-p---nn-
φυτά	futa/	φυτός	futo/s	a-p---nv-
φυτά	futa/	φυτός	futo/s	a-p---na-
φυτά	futa/	φυτός	futo/s	a-d---fn-
φυτά	futa/	φυτός	futo/s	a-d---fv-
φυτά	futa/	φυτός	futo/s	a-d---fa-
φυτά	futa/	φυτός	futo/s	a-s---fn-
φυτά	futa/	φυτός	futo/s	a-s---fv-
φυήν	fuh/n	φυή	fuh/	n-s---fa-
φωνή	fwnh/	φωνή	fwnh/	n-s---fn-
φωνή	fwnh/	φωνή	fwnh/	n-s---fv-
φωνήν	fwnh/n	φωνή	fwnh/	n-s---fa-
φωνήσας	fwnh/sas	φωνέω	fwne/w	v-sapamn-
φωνήσας	fwnh/sas	φωνέω	fwne/w	v-sapamv-
φωνῇ	fwnh=|	φωνέω	fwne/w	v2spse---
φωνῇ	fwnh=|	φωνέω	fwne/w	v2spie---
φωνῇ	fwnh=|	φωνέω	fwne/w	v3spsa---
φωνῇ	fwnh=|	φωνή	fwnh/	n-s---fd-
φωρῆς	fwrh=s	φωρά	fwra/	n-s---fg-
φωρῆς	fwrh=s	φωράω	fwra/w	v2spia---
φωρῆς	fwrh=s	φωράω	fwra/w	v2spia---
φωτί	fwti/	φάος	fa/os	n-s---nd-
φωτί	fwti/	φώς	fw/s	n-s---md-
φάθ’	fa/q'	φάτης	fa/ths	n-s---mv-
φάθ’	fa/q'	φάτης	fa/ths	n-s---mn-
φάθ’	fa/q'	φάτης	fa/ths	n-p---mn-
φάθ’	fa/q'	φάτης	fa/ths	n-p---mv-
φάθ’	fa/q'	φάτης	fa/ths	n-s---md-
φάθ’	fa/q'	φάτις	fa/tis	n-s---fv-
φάθ’	fa/q'	φημί	fhmi/	v3spia---
φάθ’	fa/q'	φημί	fhmi/	v3siie---
φάθ’	fa/q'	φημί	fhmi/	v3saim---
φάθ’	fa/q'	φημί	fhmi/	v2ppma---
φάθ’	fa/q'	φημί	fhmi/	v2ppia---
φάθ’	fa/q'	φημί	fhmi/	v2spma---
φάθ’	fa/q'	φημί	fhmi/	v2spma---
φάθ’	fa/q'	φημί	fhmi/	v2piia---
φάος	fa/os	φάος	fa/os	n-s---nn-
φάος	fa/os	φάος	fa/os	n-s---nv-
φάος	fa/os	φάος	fa/os	n-s---na-
φάς	fa/s	φημί	fhmi/	v-sppamn-
φάς	fa/s	φημί	fhmi/	v-sppamv-
φάτ’	fa/t'	φάτης	fa/ths	n-s---mv-
φάτ’	fa/t'	φάτης	fa/ths	n-s---mn-
φάτ’	fa/t'	φάτης	fa/ths	n-p---mn-
φάτ’	fa/t'	φάτης	fa/ths	n-p---mv-
φάτ’	fa/t'	φάτης	fa/ths	n-s---md-
φάτ’	fa/t'	φάτις	fa/tis	n-s---fv-
φάτ’	fa/t'	φημί	fhmi/	v3spia---
φάτ’	fa/t'	φημί	fhmi/	v3siie---
φάτ’	fa/t'	φημί	fhmi/	v3saim---
φάτ’	fa/t'	φημί	fhmi/	v2ppma---
φάτ’	fa/t'	φημί	fhmi/	v2ppia---
φάτ’	fa/t'	φημί	fhmi/	v2piia---
φέρε	fe/re	φέρω	fe/rw	v2spma---
φέρε	fe/re	φέρω	fe/rw	v3siia---
φέρειν	fe/rein	φέρω	fe/rw	v--pna---
φέρεις	fe/reis	φέρω	fe/rw	v2spia---
φέριστε	fe/riste	φέριστος	fe/ristos	a-s---mv-
φέροντα	fe/ronta	φέρω	fe/rw	v-pppann-
