Αἰγεΐδη	*ai)gei+/dh	Αἰγεΐδης	*ai)gei/+dhs	n-s---mv-
πάτταλον	pa/ttalon	πάσσαλος	pa/ssalos	n-s---ma-
πένεσθαι	pe/nesqai	πένομαι	pe/nomai	v--pne---
πένης	pe/nhs	πένης	pe/nhs	n-s---mn-
πένης	pe/nhs	πενέω	pene/w	v2siia---
πέος	pe/os	πέος	pe/os	n-s---nn-
πέος	pe/os	πέος	pe/os	n-s---nv-
πέος	pe/os	πέος	pe/os	n-s---na-
πέπλου	pe/plou	πέπλος	pe/plos	n-s---mg-
πέπλου	pe/plou	πεπλος	peplos	n-s---mg-
πέπλου	pe/plou	πεπλος	peplos	n-s---fg-
πέπλου	pe/plou	πεπλος	peplos	n-s---ng-
πέποιθας	pe/poiqas	πείθω	pei/qw	v2sria---
πέπονθας	pe/ponqas	πάσχω	pa/sxw	v2sria---
πέπονθ’	pe/ponq'	πάσχω	pa/sxw	v1sria---
πέπονθ’	pe/ponq'	πάσχω	pa/sxw	v2srma---
πέπονθ’	pe/ponq'	πάσχω	pa/sxw	v3sria---
πέπονθ’	pe/ponq'	πίνω	pi/nw	v3prie---
πέπονθ’	pe/ponq'	πίνω	pi/nw	v3plie---
πέπραγας	pe/pragas	πράσσω	pra/ssw	v2sria---
πέπρακται	pe/praktai	πράσσω	pra/ssw	v3srie---
πέπων	pe/pwn	πέπων	pe/pwn	n-s---mn-
πέπων	pe/pwn	πέπων	pe/pwn	n-s---fn-
πέρδεται	pe/rdetai	πέρδομαι	pe/rdomai	v3spie---
πέρναται	pe/rnatai	πέρνημι	pe/rnhmi	v3spie---
πέσοιεν	pe/soien	πίπτω	pi/ptw	v3paoa---
πέτραις	pe/trais	πέτρα	pe/tra	n-p---fd-
πέτρας	pe/tras	πέτρα	pe/tra	n-p---fa-
πέτρας	pe/tras	πέτρα	pe/tra	n-s---fg-
πίεται	pi/etai	πίνω	pi/nw	v3sfim---
πίεται	pi/etai	πίνω	pi/nw	v3spim---
πίθῃ	pi/qh|	πείθω	pei/qw	v2sase---
πίθῃ	pi/qh|	πείθω	pei/qw	v3sasa---
πίνειν	pi/nein	πίνω	pi/nw	v--pna---
πίνων	pi/nwn	πίνος	pi/nos	n-p---mg-
πίνων	pi/nwn	πίνω	pi/nw	v-sppamn-
πίνων	pi/nwn	πῖνον	pi=non	n-p---ng-
πίνων	pi/nwn	πινάω	pina/w	v3piia---
πίνων	pi/nwn	πινάω	pina/w	v1siia---
πίνωσιν	pi/nwsin	πίνω	pi/nw	v3ppsa---
πίονος	pi/onos	πίων	pi/wn	n-s---mg-
πίονος	pi/onos	πίων	pi/wn	n-s---fg-
πίπτων	pi/ptwn	πίπτω	pi/ptw	v-sppamn-
πίσινον	pi/sinon	πίσινος	pi/sinos	a-s---ma-
πίσινον	pi/sinon	πίσινος	pi/sinos	a-s---nn-
πίσινον	pi/sinon	πίσινος	pi/sinos	a-s---nv-
πίσινον	pi/sinon	πίσινος	pi/sinos	a-s---na-
πόθεν	po/qen	πίνω	pi/nw	v3paip---
πόθεν	po/qen	πόθεν	po/qen	d--------
πόθεν	po/qen	ποθεν	poqen	g--------
πόλει	po/lei	πόλις	po/lis	n-d---fn-
πόλει	po/lei	πόλις	po/lis	n-d---fv-
πόλει	po/lei	πόλις	po/lis	n-d---fa-
πόλει	po/lei	πόλις	po/lis	n-s---fd-
πόλει	po/lei	πόλις	po/lis	n-s---fd-
πόλει	po/lei	πολέω	pole/w	v2spma---
πόλει	po/lei	πολέω	pole/w	v3siia---
πόλεμος	po/lemos	πόλεμος	po/lemos	n-s---mn-
πόλεων	po/lewn	πόλις	po/lis	n-p---fg-
πόλεων	po/lewn	πολύς	polu/s	n-p---mg-
πόλεως	po/lews	πόλις	po/lis	n-s---fg-
πόλιν	po/lin	πόλις	po/lis	n-s---fa-
πόλις	po/lis	πόλις	po/lis	n-p---fa-
πόλις	po/lis	πόλις	po/lis	n-s---fn-
πόνηρε	po/nhre	πονηρός	ponhro/s	a-s---mv-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-p---nn-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-p---nv-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-p---na-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-s---mv-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-p---fn-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-p---fv-
πόνων	po/nwn	πόνος	po/nos	n-p---mg-
πόρναισι	po/rnaisi	πόρνη	po/rnh	n-p---fd-
πόρους	po/rous	πόρος	po/ros	n-p---ma-
πόρους	po/rous	πορόω	poro/w	v2siia---
πόρπακα	po/rpaka	πόρπαξ	po/rpac	n-s---ma-
πόρπακας	po/rpakas	πόρπαξ	po/rpac	n-p---ma-
πόρπαξιν	po/rpacin	πόρπαξ	po/rpac	n-p---md-
πότερον	po/teron	πότερος	po/teros	a-s---ma-
πότερον	po/teron	πότερος	po/teros	a-s---nn-
πότερον	po/teron	πότερος	po/teros	a-s---nv-
πότερον	po/teron	πότερος	po/teros	a-s---na-
πότνια	po/tnia	πότνια	po/tnia	n-s---fn-
πότνια	po/tnia	πότνια	po/tnia	n-s---fv-
πότου	po/tou	πότης	po/ths	n-s---mg-
πότου	po/tou	πότος	po/tos	n-s---mg-
πότῳ	po/tw|	πότος	po/tos	n-s---md-
πύθησθ’	pu/qhsq'	πύθω	pu/qw	v2ppsp---
πύθησθ’	pu/qhsq'	πυνθάνομαι	punqa/nomai	v2sasa---
πύθησθ’	pu/qhsq'	πυνθάνομαι	punqa/nomai	v2pase---
πύθησθ’	pu/qhsq'	πυνθάνομαι	punqa/nomai	v2pasa---
πύθῃ	pu/qh|	πύθω	pu/qw	v2spsp---
πύθῃ	pu/qh|	πύθω	pu/qw	v2spip---
πύθῃ	pu/qh|	πυνθάνομαι	punqa/nomai	v2sase---
πύθῃ	pu/qh|	πυνθάνομαι	punqa/nomai	v3sasa---
πύκνα	pu/kna	πνύξ	pnu/c	n-s---ma-
πύκνα	pu/kna	πυκνος	puknos	n-p---nn-
πύκνα	pu/kna	πυκνος	puknos	n-p---nv-
πύκνα	pu/kna	πυκνος	puknos	n-p---na-
πύλαις	pu/lais	πύλη	pu/lh	n-p---fd-
πύλαισιν	pu/laisin	πύλη	pu/lh	n-p---fd-
πύργους	pu/rgous	πύργος	pu/rgos	n-p---ma-
πύργους	pu/rgous	πυργόω	purgo/w	v2siia---
πώ	pw/	πω	pw	g--------
πώλα	pw/la	πώλη	pw/lh	n-d---fn-
πώλα	pw/la	πώλη	pw/lh	n-d---fv-
πώλα	pw/la	πώλη	pw/lh	n-d---fa-
πώλα	pw/la	πώλη	pw/lh	n-s---fn-
πώλα	pw/la	πώλη	pw/lh	n-s---fv-
πώλα	pw/la	πώλης	pw/lhs	n-d---mn-
πώλα	pw/la	πώλης	pw/lhs	n-d---mv-
πώλα	pw/la	πώλης	pw/lhs	n-d---ma-
πώλα	pw/la	πώλης	pw/lhs	n-s---mg-
πώλης	pw/lhs	πώλη	pw/lh	n-s---fg-
πώλης	pw/lhs	πώλης	pw/lhs	n-s---mn-
πώλης	pw/lhs	πωλέω	pwle/w	v2siia---
πώποτε	pw/pote	πώποτε	pw/pote	d--------
πᾶν	pa=n	πᾶς	pa=s	n-s---ma-
πᾶν	pa=n	πᾶς	pa=s	n-s---nn-
πᾶν	pa=n	πᾶς	pa=s	n-s---nv-
πᾶν	pa=n	πᾶς	pa=s	n-s---na-
πᾶσα	pa=sa	πᾶς	pa=s	n-s---fn-
πᾶσα	pa=sa	πᾶς	pa=s	n-s---fv-
πᾶσιν	pa=sin	πᾶς	pa=s	n-p---md-
πᾶσιν	pa=sin	πᾶς	pa=s	n-p---nd-
πᾶσιν	pa=sin	πᾶσις	pa=sis	n-s---fa-
πᾶσί	pa=si/	πᾶς	pa=s	n-p---md-
πᾶσί	pa=si/	πᾶς	pa=s	n-p---nd-
πᾶσί	pa=si/	πᾶσις	pa=sis	n-s---fv-
πᾶσίν	pa=si/n	πᾶς	pa=s	n-p---md-
πᾶσίν	pa=si/n	πᾶς	pa=s	n-p---nd-
πᾶσίν	pa=si/n	πᾶσις	pa=sis	n-s---fa-
πῃ	ph|	πη	ph	g--------
πῖνε	pi=ne	πίνω	pi/nw	v2spma---
πῖνε	pi=ne	πίνω	pi/nw	v3siia---
πῖν’	pi=n'	πίνη	pi/nh	n-p---fn-
πῖν’	pi=n'	πίνη	pi/nh	n-p---fv-
πῖν’	pi=n'	πίνω	pi/nw	v2spma---
πῖν’	pi=n'	πίνω	pi/nw	v3siia---
πῖν’	pi=n'	πῖνον	pi=non	n-p---nn-
πῖν’	pi=n'	πῖνον	pi=non	n-p---nv-
πῖν’	pi=n'	πῖνον	pi=non	n-p---na-
πῶς	pw=s	πῶς	pw=s	x--------
πῶς	pw=s	πῶσ2	pw=s2	d--------
πῶς	pw=s	πως	pws	g--------
σαμφόρα	samfo/ra	σαμφόρας	samfo/ras	n-d---mn-
σαμφόρα	samfo/ra	σαμφόρας	samfo/ras	n-d---mv-
σαμφόρα	samfo/ra	σαμφόρας	samfo/ras	n-d---ma-
σαμφόρα	samfo/ra	σαμφόρας	samfo/ras	n-s---mv-
σαμφόρα	samfo/ra	σαμφόρας	samfo/ras	n-s---mv-
σαμφόρα	samfo/ra	σαμφόρας	samfo/ras	n-s---mg-
σαμφόρα	samfo/ra	σαμφόρας	samfo/ras	n-s---mn-
σαμφόρα	samfo/ra	σαμφόρης	samfo/rhs	n-d---mn-
σαμφόρα	samfo/ra	σαμφόρης	samfo/rhs	n-d---mv-
σαμφόρα	samfo/ra	σαμφόρης	samfo/rhs	n-d---ma-
σαμφόρα	samfo/ra	σαμφόρης	samfo/rhs	n-s---mv-
σαμφόρα	samfo/ra	σαμφόρης	samfo/rhs	n-s---mv-
σαμφόρα	samfo/ra	σαμφόρης	samfo/rhs	n-s---mg-
σαμφόρα	samfo/ra	σαμφόρης	samfo/rhs	n-s---mn-
σαπεῖσ’	sapei=s'	σήπω	sh/pw	v-sappfn-
σαπεῖσ’	sapei=s'	σήπω	sh/pw	v-sappfv-
σαπεῖσ’	sapei=s'	σήπω	sh/pw	v-pappmd-
σαπεῖσ’	sapei=s'	σήπω	sh/pw	v-pappnd-
σαπεῖσ’	sapei=s'	σήπω	sh/pw	v-pappfn-
σαπεῖσ’	sapei=s'	σήπω	sh/pw	v-pappfv-
σαπρόν	sapro/n	σαπρός	sapro/s	a-s---ma-
σαπρόν	sapro/n	σαπρός	sapro/s	a-s---nn-
σαπρόν	sapro/n	σαπρός	sapro/s	a-s---nv-
σαπρόν	sapro/n	σαπρός	sapro/s	a-s---na-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	p-s---mg-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	p-s---ng-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	n-s---ng-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	n-s---mg-
σαυτόν	sauto/n	σαυτοῦ	sautou=	p-s---ma-
σαυτόν	sauto/n	σαυτοῦ	sautou=	p-s---na-
σαυτόν	sauto/n	σαυτοῦ	sautou=	n-s---ma-
σαυτῷ	sautw=|	σαυτοῦ	sautou=	p-s---md-
σαυτῷ	sautw=|	σαυτοῦ	sautou=	p-s---nd-
σαυτῷ	sautw=|	σαυτοῦ	sautou=	n-s---nd-
σαυτῷ	sautw=|	σαυτοῦ	sautou=	n-s---md-
σαφής	safh/s	σαφής	safh/s	n-s---mn-
σαφής	safh/s	σαφής	safh/s	n-s---fn-
σαφῶς	safw=s	σαφής	safh/s	x--------
σαίνων	sai/nwn	σαίνω	sai/nw	v-sppamn-
σε	se	σύ	su/	p-s----a-
σεαυτοῦ	seautou=	σαυτοῦ	sautou=	p-s---mg-
σεαυτοῦ	seautou=	σαυτοῦ	sautou=	p-s---ng-
σεαυτοῦ	seautou=	σαυτοῦ	sautou=	n-s---ng-
σεαυτοῦ	seautou=	σαυτοῦ	sautou=	n-s---mg-
σεαυτῷ	seautw=|	σαυτοῦ	sautou=	p-s---md-
σεαυτῷ	seautw=|	σαυτοῦ	sautou=	p-s---nd-
σεαυτῷ	seautw=|	σαυτοῦ	sautou=	n-s---nd-
σεαυτῷ	seautw=|	σαυτοῦ	sautou=	n-s---md-
σεμνόν	semno/n	σεμνόν	semno/n	n-s---nn-
σεμνόν	semno/n	σεμνόν	semno/n	n-s---nv-
σεμνόν	semno/n	σεμνόν	semno/n	n-s---na-
σεμνόν	semno/n	σεμνός	semno/s	a-s---ma-
σεμνόν	semno/n	σεμνός	semno/s	a-s---nn-
σεμνόν	semno/n	σεμνός	semno/s	a-s---nv-
σεμνόν	semno/n	σεμνός	semno/s	a-s---na-
σεμνῶν	semnw=n	σεμνόν	semno/n	n-p---ng-
σεμνῶν	semnw=n	σεμνός	semno/s	a-p---fg-
σεμνῶν	semnw=n	σεμνός	semno/s	a-p---mg-
σεμνῶν	semnw=n	σεμνός	semno/s	a-p---ng-
σεμνῶν	semnw=n	σεμνόω	semno/w	v-sppamv-
σεμνῶν	semnw=n	σεμνόω	semno/w	v-sppann-
σεμνῶν	semnw=n	σεμνόω	semno/w	v-sppanv-
σεμνῶν	semnw=n	σεμνόω	semno/w	v-sppana-
σεμνῶν	semnw=n	σεμνόω	semno/w	v-sppamn-
σεμνῶν	semnw=n	σεμνόω	semno/w	v--pna---
σείων	sei/wn	θεῖοσ1	qei=os1	a-p---fg-
σείων	sei/wn	θεῖοσ1	qei=os1	a-p---mg-
σείων	sei/wn	θεῖοσ1	qei=os1	a-p---ng-
σείων	sei/wn	σείω	sei/w	v-sfpamn-
σείων	sei/wn	σείω	sei/w	v-sppamn-
σείων	sei/wn	σεῖος	sei=os	a-p---fg-
σείων	sei/wn	σεῖος	sei=os	a-p---mg-
σείων	sei/wn	σεῖος	sei=os	a-p---ng-
σημεῖον	shmei=on	σημεῖον	shmei=on	n-s---nn-
σημεῖον	shmei=on	σημεῖον	shmei=on	n-s---nv-
σημεῖον	shmei=on	σημεῖον	shmei=on	n-s---na-
σιβυλλιᾷ	sibullia=|	σιβυλλιάω	sibullia/w	v2spse---
σιβυλλιᾷ	sibullia=|	σιβυλλιάω	sibullia/w	v2spie---
σιβυλλιᾷ	sibullia=|	σιβυλλιάω	sibullia/w	v3spsa---
σιβυλλιᾷ	sibullia=|	σιβυλλιάω	sibullia/w	v3spia---
σιδηροῦν	sidhrou=n	σιδήρεος	sidh/reos	a-s---ma-
σιδηροῦν	sidhrou=n	σιδήρεος	sidh/reos	a-s---nn-
σιδηροῦν	sidhrou=n	σιδήρεος	sidh/reos	a-s---nv-
σιδηροῦν	sidhrou=n	σιδήρεος	sidh/reos	a-s---na-
σιδηροῦν	sidhrou=n	σιδηρόω	sidhro/w	v-sppamv-
σιδηροῦν	sidhrou=n	σιδηρόω	sidhro/w	v-sppann-
σιδηροῦν	sidhrou=n	σιδηρόω	sidhro/w	v-sppanv-
σιδηροῦν	sidhrou=n	σιδηρόω	sidhro/w	v-sppana-
σιδηροῦν	sidhrou=n	σιδηρόω	sidhro/w	v--pna---
σιδηροῦς	sidhrou=s	σιδήρεος	sidh/reos	a-p---ma-
σιδηροῦς	sidhrou=s	σιδήρεος	sidh/reos	a-s---mn-
σιδηροῦς	sidhrou=s	σιδηρόω	sidhro/w	v2spia---
σιλφίου	silfi/ou	σίλφιον	si/lfion	n-s---ng-
σιλφίου	silfi/ou	σιλφιόω	silfio/w	v2spma---
σιλφίου	silfi/ou	σιλφιόω	silfio/w	v3siia---
σιπύης	sipu/hs	σιπύη	sipu/h	n-s---fg-
σιτούμενος	sitou/menos	σιτέομαι	site/omai	v-sppemn-
σιτούμενος	sitou/menos	σιτέω	site/w	v-sppemn-
σιτία	siti/a	σιτίον	siti/on	n-p---nn-
σιτία	siti/a	σιτίον	siti/on	n-p---nv-
σιτία	siti/a	σιτίον	siti/on	n-p---na-
σιτίζεις	siti/zeis	σιτίζω	siti/zw	v2spia---
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	v-sppamv-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	v-sppann-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	v-sppanv-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	v-sppana-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	v-sppamn-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	v--pna---
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	v--pna---
σιωπᾶν	siwpa=n	σιωπή	siwph/	n-p---fg-
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v2spse---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v2spie---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v3spsa---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v3spia---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v2spse---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v2spie---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v3spsa---
σιωπῇ	siwph=|	σιωπή	siwph/	n-s---fd-
σκεπτέον	skepte/on	σκεπτέος	skepte/os	n-s---ma-
σκεπτέον	skepte/on	σκεπτέος	skepte/os	n-s---fa-
σκεπτέον	skepte/on	σκεπτέος	skepte/os	n-s---nn-
σκεπτέον	skepte/on	σκεπτέος	skepte/os	n-s---nv-
σκεπτέον	skepte/on	σκεπτέος	skepte/os	n-s---na-
σκευοποιῶν	skeuopoiw=n	σκευοποιέω	skeuopoie/w	v-sppamn-
σκευοποιῶν	skeuopoiw=n	σκευοποιός	skeuopoio/s	n-p---mg-
σκευάσω	skeua/sw	σκευάζω	skeua/zw	v1sasa---
σκευάσω	skeua/sw	σκευάζω	skeua/zw	v1sfia---
σκευάσω	skeua/sw	σκευάζω	skeua/zw	v2saim---
σκευάσῃ	skeua/sh|	σκεύασις	skeu/asis	n-s---fd-
σκευάσῃ	skeua/sh|	σκευάζω	skeua/zw	v2sasm---
σκευάσῃ	skeua/sh|	σκευάζω	skeua/zw	v3sasa---
σκευάσῃ	skeua/sh|	σκευάζω	skeua/zw	v2sfim---
σκευήν	skeuh/n	σκευή	skeuh/	n-s---fa-
σκεψόμεσθ’	skeyo/mesq'	σκέπτομαι	ske/ptomai	v1pase---
σκεψόμεσθ’	skeyo/mesq'	σκέπτομαι	ske/ptomai	v1pfie---
σκεύη	skeu/h	σκεῦος	skeu=os	n-p---nn-
σκεύη	skeu/h	σκεῦος	skeu=os	n-p---nv-
σκεύη	skeu/h	σκεῦος	skeu=os	n-p---na-
σκεύη	skeu/h	σκεῦος	skeu=os	n-d---nn-
σκεύη	skeu/h	σκεῦος	skeu=os	n-d---nv-
σκεύη	skeu/h	σκεῦος	skeu=os	n-d---na-
σκιάδειον	skia/deion	σκιάδειον	skia/deion	n-s---nn-
σκιάδειον	skia/deion	σκιάδειον	skia/deion	n-s---nv-
σκιάδειον	skia/deion	σκιάδειον	skia/deion	n-s---na-
σκληρῶς	sklhrw=s	σκληρός	sklhro/s	x--------
σκληρῶς	sklhrw=s	σκληρόω	sklhro/w	v2spia---
σκοπεῖς	skopei=s	σκοπάω	skopa/w	v2spia---
σκοπεῖς	skopei=s	σκοπέω	skope/w	v2spia---
σκοπῶν	skopw=n	σκοπάω	skopa/w	v-sppamv-
σκοπῶν	skopw=n	σκοπάω	skopa/w	v-sppann-
σκοπῶν	skopw=n	σκοπάω	skopa/w	v-sppanv-
σκοπῶν	skopw=n	σκοπάω	skopa/w	v-sppana-
σκοπῶν	skopw=n	σκοπάω	skopa/w	v-sppamn-
σκοπῶν	skopw=n	σκοπάω	skopa/w	v-sppamn-
σκοπῶν	skopw=n	σκοπέω	skope/w	v-sppamn-
σκοπῶν	skopw=n	σκοπή	skoph/	n-p---fg-
σκοπῶν	skopw=n	σκοπός	skopo/s	n-p---mg-
σκοπῶν	skopw=n	σκοπός	skopo/s	n-p---fg-
σκοροδάλμη	skoroda/lmh	σκοροδάλμη	skoroda/lmh	n-s---fn-
σκοροδάλμη	skoroda/lmh	σκοροδάλμη	skoroda/lmh	n-s---fv-
σκοροδάλμην	skoroda/lmhn	σκοροδάλμη	skoroda/lmh	n-s---fa-
σκυτοτόμοις	skutoto/mois	σκυτότομος	skuto/tomos	n-p---md-
σκυτοτόμοις	skutoto/mois	σκυτοτόμος	skutoto/mos	n-p---md-
σκάφας	ska/fas	σκάφη	ska/fh	n-p---fa-
σκάφας	ska/fas	σκάφη	ska/fh	n-s---fg-
σκέλος	ske/los	σκέλος	ske/los	n-s---nn-
σκέλος	ske/los	σκέλος	ske/los	n-s---nv-
σκέλος	ske/los	σκέλος	ske/los	n-s---na-
σκέρβολλε	ske/rbolle	σκερβόλλω	skerbo/llw	v2spma---
σκέρβολλε	ske/rbolle	σκερβόλλω	skerbo/llw	v3siia---
σκέψασθε	ske/yasqe	σκέπτομαι	ske/ptomai	v2pame---
σκέψασθε	ske/yasqe	σκέπτομαι	ske/ptomai	v2paie---
σκόμβρων	sko/mbrwn	σκόμβρος	sko/mbros	n-p---mg-
σκόπει	sko/pei	σκοπάω	skopa/w	v2spma---
σκόπει	sko/pei	σκοπάω	skopa/w	v3siia---
σκόπει	sko/pei	σκοπέω	skope/w	v2spma---
σκόπει	sko/pei	σκοπέω	skope/w	v3siia---
σκόροδα	sko/roda	σκόροδον	sko/rodon	n-p---nn-
σκόροδα	sko/roda	σκόροδον	sko/rodon	n-p---nv-
σκόροδα	sko/roda	σκόροδον	sko/rodon	n-p---na-
σκύμνοισι	sku/mnoisi	σκύμνος	sku/mnos	n-p---md-
σκύμνοισι	sku/mnoisi	σκύμνος	sku/mnos	n-p---fd-
σκύτη	sku/th	σκῦτος	sku=tos	n-p---nn-
σκύτη	sku/th	σκῦτος	sku=tos	n-p---nv-
σκύτη	sku/th	σκῦτος	sku=tos	n-p---na-
σκύτη	sku/th	σκῦτος	sku=tos	n-d---nn-
σκύτη	sku/th	σκῦτος	sku=tos	n-d---nv-
σκύτη	sku/th	σκῦτος	sku=tos	n-d---na-
σκύτη	sku/th	σκυτέω	skute/w	v2spma---
σκύτη	sku/th	σκυτέω	skute/w	v3siia---
σκώπτειν	skw/ptein	σκώπτω	skw/ptw	v--pna---
σμικρᾶς	smikra=s	μικρός	mikro/s	a-s---fg-
σμικρᾶς	smikra=s	σμικρός	smikro/s	a-s---fg-
σμύρνῃ	smu/rnh|	σμύρνα	smu/rna	n-s---fd-
σμύρνῃ	smu/rnh|	σμύρνα	smu/rna	n-s---fd-
σοι	soi	σύ	su/	p-s----d-
σου	sou	σύ	su/	p-s----g-
σοφίζει	sofi/zei	σοφίζομαι	sofi/zomai	v2spie---
σοφίζει	sofi/zei	σοφίζω	sofi/zw	v2spie---
σοφίζει	sofi/zei	σοφίζω	sofi/zw	v3spia---
σοφίζεται	sofi/zetai	σοφίζομαι	sofi/zomai	v3spie---
σοφίζεται	sofi/zetai	σοφίζω	sofi/zw	v3spie---
σοφόν	sofo/n	σοφός	sofo/s	a-s---ma-
σοφόν	sofo/n	σοφός	sofo/s	a-s---nn-
σοφόν	sofo/n	σοφός	sofo/s	a-s---nv-
σοφόν	sofo/n	σοφός	sofo/s	a-s---na-
σοφός	sofo/s	σοφός	sofo/s	a-s---mn-
σοφώτατε	sofw/tate	σοφός	sofo/s	a-s---mvs
σοφώτερος	sofw/teros	σοφός	sofo/s	a-s---mn-
σοφῶς	sofw=s	σοφός	sofo/s	x--------
σοφῶς	sofw=s	σοφόω	sofo/w	v2spia---
σοὐκλέγων	sou)kle/gwn	ἐκλέγω	e)kle/gw	v-sppamn-
σοὐκτεμῶ	sou)ktemw=	ἐκτέμνω	e)kte/mnw	v1sfia---
σοὔδωκεν	sou)/dwken	δίδωμι	di/dwmi	v3saia---
σοί	soi/	σός	so/s	a-p---mn-
σοί	soi/	σός	so/s	a-p---mv-
σοί	soi/	σύ	su/	p-s----d-
σοί	soi/	σύ	su/	p-s----d-
σοῖσιν	soi=sin	σέω	se/w	v-pppamd-
σοῖσιν	soi=sin	σέω	se/w	v-pppand-
σοῖσιν	soi=sin	σός	so/s	a-p---md-
σοῖσιν	soi=sin	σός	so/s	a-p---nd-
σοῦ	sou=	σέω	se/w	v2spme---
σοῦ	sou=	σέω	se/w	v2siie---
σοῦ	sou=	σεύω	seu/w	v2spmm---
σοῦ	sou=	σός	so/s	a-s---mg-
σοῦ	sou=	σός	so/s	a-s---ng-
σοῦ	sou=	σοῦ	sou=	x--------
σοῦ	sou=	σύ	su/	p-s----g-
σπεύδειν	speu/dein	σπεύδω	speu/dw	v--pna---
σπεύσω	speu/sw	σπεύδω	speu/dw	v1sasa---
σπεύσω	speu/sw	σπεύδω	speu/dw	v2saim---
σπεύσω	speu/sw	σπεύδω	speu/dw	v1sfia---
σπεῖσον	spei=son	σπένδω	spe/ndw	v2sama---
σπεῖσον	spei=son	σπένδω	spe/ndw	v-sfpamv-
σπεῖσον	spei=son	σπένδω	spe/ndw	v-sfpann-
σπεῖσον	spei=son	σπένδω	spe/ndw	v-sfpanv-
σπεῖσον	spei=son	σπένδω	spe/ndw	v-sfpana-
σπεῦδε	speu=de	σπεύδω	speu/dw	v2spma---
σπεῦδε	speu=de	σπεύδω	speu/dw	v3siia---
σπονδάς	sponda/s	σπονδή	spondh/	n-p---fa-
σπονδήν	spondh/n	σπονδή	spondh/	n-s---fa-
σπονδῶν	spondw=n	σπονδή	spondh/	n-p---fg-
σπουδάς	spouda/s	σπουδή	spoudh/	n-p---fa-
σπένδε	spe/nde	σπένδω	spe/ndw	v2spma---
σπένδε	spe/nde	σπένδω	spe/ndw	v3siia---
στασιάζει	stasia/zei	στασιάζω	stasia/zw	v2spie---
στασιάζει	stasia/zei	στασιάζω	stasia/zw	v3spia---
στεμφύλῳ	stemfu/lw|	στέμφυλον	ste/mfulon	n-s---nd-
στενόν	steno/n	στενός	steno/s	a-s---ma-
στενόν	steno/n	στενός	steno/s	a-s---nn-
στενόν	steno/n	στενός	steno/s	a-s---nv-
στενόν	steno/n	στενός	steno/s	a-s---na-
στεφανοῦ	stefanou=	στεφανόω	stefano/w	v2spme---
στεφανοῦ	stefanou=	στεφανόω	stefano/w	v2siie---
στεφάνην	stefa/nhn	στεφάνη	stefa/nh	n-s---fa-
στεφάνοις	stefa/nois	στέφανος	ste/fanos	n-p---md-
στρατηγούς	strathgou/s	στρατηγός	strathgo/s	n-p---ma-
στρατηγός	strathgo/s	στρατηγός	strathgo/s	n-s---mn-
στρατηγῇς	strathgh=|s	στρατηγέω	strathge/w	v2spsa---
στρατηγῶν	strathgw=n	στρατηγέω	strathge/w	v-sppamn-
στρατηγῶν	strathgw=n	στρατηγός	strathgo/s	n-p---mg-
στρατιαῖς	stratiai=s	στρατία	strati/a	n-p---fd-
στρατιαῖς	stratiai=s	στρατιά	stratia/	n-p---fd-
στρατιώτας	stratiw/tas	στρατιώτης	stratiw/ths	n-p---ma-
στρατιώτας	stratiw/tas	στρατιώτης	stratiw/ths	n-s---mn-
στρατῷ	stratw=|	στρατάω#	strata/w%2	v3spoa---
στρατῷ	stratw=|	στρατός	strato/s	n-s---md-
στρεβλῶν	streblw=n	στρέβλα	stre/bla	n-p---fg-
στρεβλῶν	streblw=n	στρέβλη	stre/blh	n-p---fg-
στρεβλῶν	streblw=n	στρεβλός	streblo/s	a-p---fg-
στρεβλῶν	streblw=n	στρεβλός	streblo/s	a-p---mg-
στρεβλῶν	streblw=n	στρεβλός	streblo/s	a-p---ng-
στρεβλῶν	streblw=n	στρεβλόω	streblo/w	v-sppamv-
στρεβλῶν	streblw=n	στρεβλόω	streblo/w	v-sppann-
