Αἰξωνέα	*ai)cwne/a	Αἰξωνεύς	*ai)cwneu/s	n-s---ma-
πρῶτον	prw=ton	πρότερος	pro/teros	a-s---nv-
πρῶτον	prw=ton	πρότερος	pro/teros	a-s---na-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---ma-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---nn-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---nv-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---na-
πρῶτος	prw=tos	πρότερος	pro/teros	a-s---mn-
πρῶτος	prw=tos	πρῶτος	prw=tos	a-s---mn-
πρῶτόν	prw=to/n	πρότερος	pro/teros	a-s---ma-
πρῶτόν	prw=to/n	πρότερος	pro/teros	a-s---nn-
πρῶτόν	prw=to/n	πρότερος	pro/teros	a-s---nv-
πρῶτόν	prw=to/n	πρότερος	pro/teros	a-s---na-
πρῶτόν	prw=to/n	πρῶτος	prw=tos	a-s---ma-
πρῶτόν	prw=to/n	πρῶτος	prw=tos	a-s---nn-
πρῶτόν	prw=to/n	πρῶτος	prw=tos	a-s---nv-
πρῶτόν	prw=to/n	πρῶτος	prw=tos	a-s---na-
πρῷα	prw=|a	πρώιος	prw/ios	a-p---nn-
πρῷα	prw=|a	πρώιος	prw/ios	a-p---nv-
πρῷα	prw=|a	πρώιος	prw/ios	a-p---na-
πτήσσει	pth/ssei	πτήσσω	pth/ssw	v2spie---
πτήσσει	pth/ssei	πτήσσω	pth/ssw	v3spia---
πυγμῇ	pugmh=|	πυγμή	pugmh/	n-s---fd-
πυκνί	pukni/	πνύξ	pnu/c	n-s---md-
πυκνόν	pukno/n	πυκνός	pukno/s	a-s---ma-
πυκνόν	pukno/n	πυκνός	pukno/s	a-s---nn-
πυκνόν	pukno/n	πυκνός	pukno/s	a-s---nv-
πυκνόν	pukno/n	πυκνός	pukno/s	a-s---na-
πυρετοῖσιν	puretoi=sin	πυρετέω	purete/w	v-pppamd-
πυρετοῖσιν	puretoi=sin	πυρετέω	purete/w	v-pppand-
πυρετοῖσιν	puretoi=sin	πυρετός	pureto/s	n-p---md-
πυρούς	purou/s	πυρός	puro/s	n-p---ma-
πυρπολῶν	purpolw=n	πυρπολέω	purpole/w	v-sppamn-
πυρέττω	pure/ttw	πυρέσσω	pure/ssw	v1spsa---
πυρέττω	pure/ttw	πυρέσσω	pure/ssw	v1spia---
πυρέττων	pure/ttwn	πυρέσσω	pure/ssw	v-sppamn-
πυέλου	pue/lou	πυέλος	pue/los	n-s---fg-
πω	pw	πω	pw	g--------
πωλίῳ	pwli/w|	πωλίον	pwli/on	n-s---nd-
πωλῶν	pwlw=n	πώλη	pw/lh	n-p---fg-
πωλῶν	pwlw=n	πώλης	pw/lhs	n-p---mg-
πωλῶν	pwlw=n	πωλέω	pwle/w	v-sppamn-
πως	pws	πως	pws	g--------
πάθος	pa/qos	πάθος	pa/qos	n-s---nn-
πάθος	pa/qos	πάθος	pa/qos	n-s---nv-
πάθος	pa/qos	πάθος	pa/qos	n-s---na-
πάθω	pa/qw	πάσχω	pa/sxw	v1sasa---
πάλαι	pa/lai	πάλα	pa/la	n-p---fn-
πάλαι	pa/lai	πάλα	pa/la	n-p---fv-
πάλαι	pa/lai	πάλα	pa/la	n-s---fd-
πάλαι	pa/lai	πάλαι	pa/lai	d--------
πάλαι	pa/lai	πάλη	pa/lh	n-p---fn-
πάλαι	pa/lai	πάλη	pa/lh	n-p---fv-
πάλαι	pa/lai	πάλη	pa/lh	n-s---fd-
πάλαι	pa/lai	πάλλω	pa/llw	v3saoa---
πάλιν	pa/lin	πάλιν	pa/lin	d--------
πάνθ’	pa/nq'	πάντῃ	pa/nth|	d--------
πάνθ’	pa/nq'	πᾶς	pa=s	n-s---ma-
πάνθ’	pa/nq'	πᾶς	pa=s	n-p---nn-
πάνθ’	pa/nq'	πᾶς	pa=s	n-p---nv-
πάνθ’	pa/nq'	πᾶς	pa=s	n-p---na-
πάντα	pa/nta	πᾶς	pa=s	n-s---ma-
πάντα	pa/nta	πᾶς	pa=s	n-p---nn-
πάντα	pa/nta	πᾶς	pa=s	n-p---nv-
πάντα	pa/nta	πᾶς	pa=s	n-p---na-
πάντες	pa/ntes	πᾶς	pa=s	n-p---mn-
πάντες	pa/ntes	πᾶς	pa=s	n-p---mv-
πάντων	pa/ntwn	πᾶς	pa=s	n-p---mg-
πάντων	pa/ntwn	πᾶς	pa=s	n-p---ng-
πάντως	pa/ntws	πάντως	pa/ntws	d--------
πάντῃ	pa/nth|	πάντῃ	pa/nth|	d--------
πάνυ	pa/nu	πάνυ	pa/nu	d--------
πάππους	pa/ppous	πάππος	pa/ppos	n-p---ma-
πάρες	pa/res	παρίημι	pari/hmi	v2sama---
πάρεσθ’	pa/resq'	πάρειμι1	pa/reimi1	v3spia---
πάρεσθ’	pa/resq'	πάρειμι1	pa/reimi1	v2ppia---
πάρεσθ’	pa/resq'	πάρειμι1	pa/reimi1	v3sfim---
πάρεσθ’	pa/resq'	παρίημι	pari/hmi	v2pamm---
πάρεσθ’	pa/resq'	παρίημι	pari/hmi	v2paim---
πάρεστι	pa/resti	πάρειμι1	pa/reimi1	v3spia---
πάρεχε	pa/rexe	παρέχω	pare/xw	v2spma---
πάρεχε	pa/rexe	παρέχω	pare/xw	v3siia---
πάρεχ’	pa/rex'	παρέχω	pare/xw	v2spma---
πάρεχ’	pa/rex'	παρέχω	pare/xw	v3siia---
πάρνοπι	pa/rnopi	πάρνοψ	pa/rnoy	n-s---md-
πάρος	pa/ros	πάρος	pa/ros	d--------
πάρος	pa/ros	πάρος	pa/ros	r--------
πάσας	pa/sas	πάσσω	pa/ssw	v-sapamn-
πάσας	pa/sas	πάσσω	pa/ssw	v-sapamv-
πάσας	pa/sas	πάσσω	pa/ssw	v2saia---
πάσας	pa/sas	πᾶς	pa=s	n-p---fa-
πάσας	pa/sas	πᾶς	pa=s	n-s---fg-
πάσας	pa/sas	πᾶς	pa=s	n-p---fa-
πάσης	pa/shs	πᾶς	pa=s	n-s---fg-
πάσης	pa/shs	πᾶσις	pa=sis	n-p---fn-
πάσης	pa/shs	πᾶσις	pa=sis	n-p---fv-
πάσχειν	pa/sxein	πάσχω	pa/sxw	v--pna---
πάσχεις	pa/sxeis	πάσχω	pa/sxw	v2spia---
πάτερ	pa/ter	πατήρ	path/r	n-s---mv-
πέδαις	pe/dais	πέδη	pe/dh	n-p---fd-
πέει	pe/ei	πέος	pe/os	n-d---nn-
πέει	pe/ei	πέος	pe/os	n-d---nv-
πέει	pe/ei	πέος	pe/os	n-d---na-
πέει	pe/ei	πέος	pe/os	n-s---nd-
πέει	pe/ei	πέος	pe/os	n-s---nd-
πένησιν	pe/nhsin	πένης	pe/nhs	n-p---md-
πένησιν	pe/nhsin	πένομαι	pe/nomai	v2spse---
πένητ’	pe/nht'	πένης	pe/nhs	n-s---ma-
πένητ’	pe/nht'	πένης	pe/nhs	n-s---md-
πένητ’	pe/nht'	πένης	pe/nhs	n-d---mn-
πένητ’	pe/nht'	πένης	pe/nhs	n-d---mv-
πένητ’	pe/nht'	πένης	pe/nhs	n-d---ma-
πένητ’	pe/nht'	πένομαι	pe/nomai	v3spse---
πέντε	pe/nte	πέντε	pe/nte	m--------
πέος	pe/os	πέος	pe/os	n-s---nn-
πέος	pe/os	πέος	pe/os	n-s---nv-
πέος	pe/os	πέος	pe/os	n-s---na-
πέπονθας	pe/ponqas	πάσχω	pa/sxw	v2sria---
πέπονθεν	pe/ponqen	πάσχω	pa/sxw	v3sria---
πέπονθεν	pe/ponqen	πάσχω	pa/sxw	v3plia---
πέπονθ’	pe/ponq'	πάσχω	pa/sxw	v1sria---
πέπονθ’	pe/ponq'	πάσχω	pa/sxw	v2srma---
πέπονθ’	pe/ponq'	πάσχω	pa/sxw	v3sria---
πέπονθ’	pe/ponq'	πίνω	pi/nw	v3prie---
πέπονθ’	pe/ponq'	πίνω	pi/nw	v3plie---
πέρυσιν	pe/rusin	πέρυσι	pe/rusi	d--------
πέσῃ	pe/sh|	πίπτω	pi/ptw	v3sasa---
πέτεται	pe/tetai	πέτομαι	pe/tomai	v3spie---
πέφαρκται	pe/farktai	φράσσω	fra/ssw	v3srie---
πίθωμαι	pi/qwmai	πείθω	pei/qw	v1sase---
πίνειν	pi/nein	πίνω	pi/nw	v--pna---
πίνων	pi/nwn	πίνος	pi/nos	n-p---mg-
πίνων	pi/nwn	πίνω	pi/nw	v-sppamn-
πίνων	pi/nwn	πῖνον	pi=non	n-p---ng-
πίνων	pi/nwn	πινάω	pina/w	v3piia---
πίνων	pi/nwn	πινάω	pina/w	v1siia---
πίοιμ’	pi/oim'	πίνω	pi/nw	v1saoa---
πίσυνος	pi/sunos	πίσυνος	pi/sunos	n-s---mn-
πίσυνος	pi/sunos	πίσυνος	pi/sunos	n-s---fn-
πίττα	pi/tta	πίσσα	pi/ssa	n-d---fn-
πίττα	pi/tta	πίσσα	pi/ssa	n-d---fv-
πίττα	pi/tta	πίσσα	pi/ssa	n-d---fa-
πίττα	pi/tta	πίσσα	pi/ssa	n-s---fn-
πίττα	pi/tta	πίσσα	pi/ssa	n-s---fv-
πόδα	po/da	πούς	pou/s	n-s---ma-
πόδας	po/das	πούς	pou/s	n-p---ma-
πόδ’	po/d'	πούς	pou/s	n-s---ma-
πόδ’	po/d'	πούς	pou/s	n-d---mn-
πόδ’	po/d'	πούς	pou/s	n-d---mv-
πόδ’	po/d'	πούς	pou/s	n-d---ma-
πόθεν	po/qen	πίνω	pi/nw	v3paip---
πόθεν	po/qen	πόθεν	po/qen	d--------
πόθεν	po/qen	ποθεν	poqen	g--------
πόλει	po/lei	πόλις	po/lis	n-d---fn-
πόλει	po/lei	πόλις	po/lis	n-d---fv-
πόλει	po/lei	πόλις	po/lis	n-d---fa-
πόλει	po/lei	πόλις	po/lis	n-s---fd-
πόλει	po/lei	πόλις	po/lis	n-s---fd-
πόλει	po/lei	πολέω	pole/w	v2spma---
πόλει	po/lei	πολέω	pole/w	v3siia---
πόλεις	po/leis	πόλις	po/lis	n-p---fn-
πόλεις	po/leis	πόλις	po/lis	n-p---fv-
πόλεις	po/leis	πόλις	po/lis	n-p---fn-
πόλεις	po/leis	πόλις	po/lis	n-p---fa-
πόλεις	po/leis	πόλις	po/lis	n-p---fn-
πόλεις	po/leis	πολέω	pole/w	v2siia---
πόλεις	po/leis	πολύς	polu/s	n-p---mn-
πόλεις	po/leis	πολύς	polu/s	n-p---ma-
πόλεων	po/lewn	πόλις	po/lis	n-p---fg-
πόλεων	po/lewn	πολύς	polu/s	n-p---mg-
πόλεως	po/lews	πόλις	po/lis	n-s---fg-
πόλιν	po/lin	πόλις	po/lis	n-s---fa-
πόλις	po/lis	πόλις	po/lis	n-p---fa-
πόλις	po/lis	πόλις	po/lis	n-s---fn-
πόνηρα	po/nhra	πονηρός	ponhro/s	a-p---nn-
πόνηρα	po/nhra	πονηρός	ponhro/s	a-p---nv-
πόνηρα	po/nhra	πονηρός	ponhro/s	a-p---na-
πόνηρε	po/nhre	πονηρός	ponhro/s	a-s---mv-
πόνηροι	po/nhroi	πονηρός	ponhro/s	a-p---mn-
πόνηροι	po/nhroi	πονηρός	ponhro/s	a-p---mv-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-p---nn-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-p---nv-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-p---na-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-s---mv-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-p---fn-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	a-p---fv-
πόνον	po/non	πόνος	po/nos	n-s---ma-
πόνῳ	po/nw|	πόνος	po/nos	n-s---md-
πόρνη	po/rnh	πόρνη	po/rnh	n-s---fn-
πόρνη	po/rnh	πόρνη	po/rnh	n-s---fv-
πόρνην	po/rnhn	πόρνη	po/rnh	n-s---fa-
πόρον	po/ron	πόρος	po/ros	n-s---ma-
πόρον	po/ron	πόρω	po/rw	v3paia---
πόρον	po/ron	πόρω	po/rw	v1saia---
πόρρω	po/rrw	πρόσω	pro/sw	d--------
πότε	po/te	πότε	po/te	x--------
πότε	po/te	πότος	po/tos	n-s---mv-
πότε	po/te	ποτέ	pote/	g--------
πότερον	po/teron	πότερος	po/teros	a-s---ma-
πότερον	po/teron	πότερος	po/teros	a-s---nn-
πότερον	po/teron	πότερος	po/teros	a-s---nv-
πότερον	po/teron	πότερος	po/teros	a-s---na-
πύθοιθ’	pu/qoiq'	πύθω	pu/qw	v3spop---
πύθοιθ’	pu/qoiq'	πυνθάνομαι	punqa/nomai	v3saom---
πύθοιθ’	pu/qoiq'	πυνθάνομαι	punqa/nomai	v2paoa---
πώποθ’	pw/poq'	πώποτε	pw/pote	d--------
πώποτε	pw/pote	πώποτε	pw/pote	d--------
πώποτέ	pw/pote/	πώποτε	pw/pote	d--------
πᾶν	pa=n	πᾶς	pa=s	n-s---ma-
πᾶν	pa=n	πᾶς	pa=s	n-s---nn-
πᾶν	pa=n	πᾶς	pa=s	n-s---nv-
πᾶν	pa=n	πᾶς	pa=s	n-s---na-
πᾶς	pa=s	πᾶς	pa=s	n-s---mn-
πᾶς	pa=s	πᾶς	pa=s	n-s---mv-
πᾶσαν	pa=san	πᾶς	pa=s	n-s---fa-
πᾶσι	pa=si	πᾶς	pa=s	n-p---md-
πᾶσι	pa=si	πᾶς	pa=s	n-p---nd-
πᾶσι	pa=si	πᾶσις	pa=sis	n-s---fv-
πῖθ’	pi=q'	πίνω	pi/nw	v2sama---
πῦρ	pu=r	πῦρ	pu=r	n-s---nn-
πῦρ	pu=r	πῦρ	pu=r	n-s---nv-
πῦρ	pu=r	πῦρ	pu=r	n-s---na-
πῶς	pw=s	πῶς	pw=s	x--------
πῶς	pw=s	πῶσ2	pw=s2	d--------
πῶς	pw=s	πως	pws	g--------
σανίδας	sani/das	σανίς	sani/s	n-p---fa-
σανίδων	sani/dwn	σανίς	sani/s	n-p---fg-
σανίδων	sani/dwn	σανιδόω	sanido/w	v3piia---
σανίδων	sani/dwn	σανιδόω	sanido/w	v1siia---
σαπρόν	sapro/n	σαπρός	sapro/s	a-s---ma-
σαπρόν	sapro/n	σαπρός	sapro/s	a-s---nn-
σαπρόν	sapro/n	σαπρός	sapro/s	a-s---nv-
σαπρόν	sapro/n	σαπρός	sapro/s	a-s---na-
σαπρᾶς	sapra=s	σαπρός	sapro/s	a-s---fg-
σαυλοπρωκτιᾶν	sauloprwktia=n	σαυλοπρωκτιάω	sauloprwktia/w	v-sppamv-
σαυλοπρωκτιᾶν	sauloprwktia=n	σαυλοπρωκτιάω	sauloprwktia/w	v-sppann-
σαυλοπρωκτιᾶν	sauloprwktia=n	σαυλοπρωκτιάω	sauloprwktia/w	v-sppanv-
σαυλοπρωκτιᾶν	sauloprwktia=n	σαυλοπρωκτιάω	sauloprwktia/w	v-sppana-
σαυλοπρωκτιᾶν	sauloprwktia=n	σαυλοπρωκτιάω	sauloprwktia/w	v-sppamn-
σαυλοπρωκτιᾶν	sauloprwktia=n	σαυλοπρωκτιάω	sauloprwktia/w	v--pna---
σαυλοπρωκτιᾶν	sauloprwktia=n	σαυλοπρωκτιάω	sauloprwktia/w	v--pna---
σαυτοῦ	sautou=	σαυτοῦ	sautou=	p-s---mg-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	p-s---ng-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	n-s---ng-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	n-s---mg-
σαυτόν	sauto/n	σαυτοῦ	sautou=	p-s---ma-
σαυτόν	sauto/n	σαυτοῦ	sautou=	p-s---na-
σαυτόν	sauto/n	σαυτοῦ	sautou=	n-s---ma-
σαφῶς	safw=s	σαφής	safh/s	x--------
σε	se	σύ	su/	p-s----a-
σεαυτοῦ	seautou=	σαυτοῦ	sautou=	p-s---mg-
σεαυτοῦ	seautou=	σαυτοῦ	sautou=	p-s---ng-
σεαυτοῦ	seautou=	σαυτοῦ	sautou=	n-s---ng-
σεαυτοῦ	seautou=	σαυτοῦ	sautou=	n-s---mg-
σεαυτόν	seauto/n	σαυτοῦ	sautou=	p-s---ma-
σεαυτόν	seauto/n	σαυτοῦ	sautou=	p-s---na-
σεαυτόν	seauto/n	σαυτοῦ	sautou=	n-s---ma-
σελίνῳ	seli/nw|	σέλινον	se/linon	n-s---nd-
σεμνοτέροις	semnote/rois	σεμνός	semno/s	a-p---md-
σεμνοτέροις	semnote/rois	σεμνός	semno/s	a-p---nd-
σεμνοί	semnoi/	σεμνός	semno/s	a-p---mn-
σεμνοί	semnoi/	σεμνός	semno/s	a-p---mv-
σεμνοί	semnoi/	σεμνόω	semno/w	v2spse---
σεμνοί	semnoi/	σεμνόω	semno/w	v2spie---
σεμνοί	semnoi/	σεμνόω	semno/w	v3spsa---
σεμνούς	semnou/s	σεμνός	semno/s	a-p---ma-
σεμνόν	semno/n	σεμνόν	semno/n	n-s---nn-
σεμνόν	semno/n	σεμνόν	semno/n	n-s---nv-
σεμνόν	semno/n	σεμνόν	semno/n	n-s---na-
σεμνόν	semno/n	σεμνός	semno/s	a-s---ma-
σεμνόν	semno/n	σεμνός	semno/s	a-s---nn-
σεμνόν	semno/n	σεμνός	semno/s	a-s---nv-
σεμνόν	semno/n	σεμνός	semno/s	a-s---na-
σεμνῶς	semnw=s	σεμνός	semno/s	x--------
σεμνῶς	semnw=s	σεμνόω	semno/w	v2spia---
σεσηρώς	seshrw/s	σαίρω	sai/rw	v-srpamn-
σεσηρώς	seshrw/s	σαίρω	sai/rw	v-srpamv-
σεσιώπηκας	sesiw/phkas	σιωπάω	siwpa/w	v2sria---
σεσοβήκαμεν	sesobh/kamen	σοβέω	sobe/w	v1pria---
σηκίς	shki/s	σηκίς	shki/s	n-s---fn-
σημείοισιν	shmei/oisin	σημεῖον	shmei=on	n-p---nd-
σημείου	shmei/ou	σημεῖον	shmei=on	n-s---ng-
σημείου	shmei/ou	σημειόω	shmeio/w	v2spma---
σημείου	shmei/ou	σημειόω	shmeio/w	v3siia---
σιγᾶτε	siga=te	σιγάω	siga/w	v2ppma---
σιγᾶτε	siga=te	σιγάω	siga/w	v2ppsa---
σιγᾶτε	siga=te	σιγάω	siga/w	v2ppia---
σιγᾶτε	siga=te	σιγάω	siga/w	v2piia---
σιγᾶτε	siga=te	σιγάζω	siga/zw	v2pfia---
σιγᾷ	siga=|	σιγάω	siga/w	v2spse---
σιγᾷ	siga=|	σιγάω	siga/w	v2spie---
σιγᾷ	siga=|	σιγάω	siga/w	v3spsa---
σιγᾷ	siga=|	σιγάω	siga/w	v3spia---
σιγᾷ	siga=|	σιγάζω	siga/zw	v2sfim---
σιγᾷ	siga=|	σιγάζω	siga/zw	v3sfia---
σιγᾷ	siga=|	σιγή	sigh/	n-s---fd-
σιγῶν	sigw=n	σῖγος	si=gos	n-p---ng-
σιγῶν	sigw=n	σιγάω	siga/w	v-sppamv-
σιγῶν	sigw=n	σιγάω	siga/w	v-sppann-
σιγῶν	sigw=n	σιγάω	siga/w	v-sppanv-
σιγῶν	sigw=n	σιγάω	siga/w	v-sppana-
σιγῶν	sigw=n	σιγάω	siga/w	v-sppamn-
σιγῶν	sigw=n	σιγάω	siga/w	v-sppamn-
σιγῶν	sigw=n	σιγάζω	siga/zw	v-sfpamv-
σιγῶν	sigw=n	σιγάζω	siga/zw	v-sfpann-
σιγῶν	sigw=n	σιγάζω	siga/zw	v-sfpanv-
σιγῶν	sigw=n	σιγάζω	siga/zw	v-sfpana-
σιγῶν	sigw=n	σιγάζω	siga/zw	v-sfpamn-
σιγῶν	sigw=n	σιγή	sigh/	n-p---fg-
σιραίου	sirai/ou	σίραιον	si/raion	n-s---ng-
σισύραν	sisu/ran	σισύρα	sisu/ra	n-s---fa-
σκαιέ	skaie/	σκαιός	skaio/s	a-s---mv-
σκαιός	skaio/s	σκαιός	skaio/s	a-s---mn-
σκαιῶν	skaiw=n	σκαιός	skaio/s	a-p---fg-
σκαιῶν	skaiw=n	σκαιός	skaio/s	a-p---mg-
σκαιῶν	skaiw=n	σκαιός	skaio/s	a-p---ng-
σκευάρια	skeua/ria	σκευάριον	skeua/rion	n-p---nn-
σκευάρια	skeua/ria	σκευάριον	skeua/rion	n-p---nv-
σκευάρια	skeua/ria	σκευάριον	skeua/rion	n-p---na-
σκευάσω	skeua/sw	σκευάζω	skeua/zw	v1sasa---
σκευάσω	skeua/sw	σκευάζω	skeua/zw	v1sfia---
σκευάσω	skeua/sw	σκευάζω	skeua/zw	v2saim---
σκευήν	skeuh/n	σκευή	skeuh/	n-s---fa-
σκεύη	skeu/h	σκεῦος	skeu=os	n-p---nn-
σκεύη	skeu/h	σκεῦος	skeu=os	n-p---nv-
σκεύη	skeu/h	σκεῦος	skeu=os	n-p---na-
σκεύη	skeu/h	σκεῦος	skeu=os	n-d---nn-
σκεύη	skeu/h	σκεῦος	skeu=os	n-d---nv-
σκεύη	skeu/h	σκεῦος	skeu=os	n-d---na-
σκιερά	skiera/	σκιερός	skiero/s	a-p---nn-
σκιερά	skiera/	σκιερός	skiero/s	a-p---nv-
σκιερά	skiera/	σκιερός	skiero/s	a-p---na-
σκιερά	skiera/	σκιερός	skiero/s	a-d---fn-
σκιερά	skiera/	σκιερός	skiero/s	a-d---fv-
σκιερά	skiera/	σκιερός	skiero/s	a-d---fa-
σκιερά	skiera/	σκιερός	skiero/s	a-s---fn-
σκιερά	skiera/	σκιερός	skiero/s	a-s---fv-
σκιᾶς	skia=s	σκιά	skia/	n-s---fg-
σκιᾶς	skia=s	σκιάω	skia/w	v2spia---
σκιᾶς	skia=s	σκιάζω	skia/zw	v2sfia---
σκοπιωροῦνται	skopiwrou=ntai	σκοπιωρέομαι	skopiwre/omai	v3ppie---
σκοποῦντες	skopou=ntes	σκοπάω	skopa/w	v-pppamn-
σκοποῦντες	skopou=ntes	σκοπάω	skopa/w	v-pppamv-
σκοποῦντες	skopou=ntes	σκοπέω	skope/w	v-pppamn-
σκοποῦντες	skopou=ntes	σκοπέω	skope/w	v-pppamv-
σκορδινᾶται	skordina=tai	σκορδινάομαι	skordina/omai	v3spse---
σκορδινᾶται	skordina=tai	σκορδινάομαι	skordina/omai	v3spie---
σκορόδου	skoro/dou	σκόροδον	sko/rodon	n-s---ng-
σκορόδου	skoro/dou	σκοροδόω	skorodo/w	v2spma---
σκορόδου	skoro/dou	σκοροδόω	skorodo/w	v3siia---
σκωμμάτιον	skwmma/tion	σκωμμάτιον	skwmma/tion	n-s---nn-
σκωμμάτιον	skwmma/tion	σκωμμάτιον	skwmma/tion	n-s---nv-
σκωμμάτιον	skwmma/tion	σκωμμάτιον	skwmma/tion	n-s---na-
σκωπτόλης	skwpto/lhs	σκωπτόλης	skwpto/lhs	n-s---mn-
σκωπτόμενοι	skwpto/menoi	σκώπτω	skw/ptw	v-pppemn-
σκωπτόμενοι	skwpto/menoi	σκώπτω	skw/ptw	v-pppemv-
σκάφους	ska/fous	σκάφοσ1	ska/fos1	n-p---ma-
σκάφους	ska/fous	σκάφοσ2	ska/fos2	n-s---ng-
σκέλος	ske/los	σκέλος	ske/los	n-s---nn-
σκέλος	ske/los	σκέλος	ske/los	n-s---nv-
σκέλος	ske/los	σκέλος	ske/los	n-s---na-
σκέψαι	ske/yai	σκέπτομαι	ske/ptomai	v2same---
σκίπωνας	ski/pwnas	σκίπων	ski/pwn	n-p---ma-
σκόλι’	sko/li'	σκόλιον	sko/lion	n-p---nn-
σκόλι’	sko/li'	σκόλιον	sko/lion	n-p---nv-
σκόλι’	sko/li'	σκόλιον	sko/lion	n-p---na-
σκόροδον	sko/rodon	σκόροδον	sko/rodon	n-s---nn-
σκόροδον	sko/rodon	σκόροδον	sko/rodon	n-s---nv-
σκόροδον	sko/rodon	σκόροδον	sko/rodon	n-s---na-
σκότῳ	sko/tw|	σκότος	sko/tos	n-s---md-
σκύτη	sku/th	σκῦτος	sku=tos	n-p---nn-
σκύτη	sku/th	σκῦτος	sku=tos	n-p---nv-
σκύτη	sku/th	σκῦτος	sku=tos	n-p---na-
σκύτη	sku/th	σκῦτος	sku=tos	n-d---nn-
σκύτη	sku/th	σκῦτος	sku=tos	n-d---nv-
σκύτη	sku/th	σκῦτος	sku=tos	n-d---na-
σκύτη	sku/th	σκυτέω	skute/w	v2spma---
σκύτη	sku/th	σκυτέω	skute/w	v3siia---
σκώληκες	skw/lhkes	σκώληξ	skw/lhc	n-p---mn-
σκώληκες	skw/lhkes	σκώληξ	skw/lhc	n-p---mv-
σκώπτουσ’	skw/ptous'	σκώπτω	skw/ptw	v-sppafn-
σκώπτουσ’	skw/ptous'	σκώπτω	skw/ptw	v-sppafv-
σκώπτουσ’	skw/ptous'	σκώπτω	skw/ptw	v-pppamd-
σκώπτουσ’	skw/ptous'	σκώπτω	skw/ptw	v-pppand-
σκώπτουσ’	skw/ptous'	σκώπτω	skw/ptw	v3ppia---
σκώπτουσ’	skw/ptous'	σκώπτω	skw/ptw	v-pppafn-
σκώπτουσ’	skw/ptous'	σκώπτω	skw/ptw	v-pppafv-
σκώπτων	skw/ptwn	σκώπτω	skw/ptw	v-sppamn-
σκῖρον	ski=ron	σκῖρον	ski=ron	n-s---nn-
σκῖρον	ski=ron	σκῖρον	ski=ron	n-s---nv-
σκῖρον	ski=ron	σκῖρον	ski=ron	n-s---na-
σκῖρον	ski=ron	σκῖρος	ski=ros	n-s---ma-
σμικρόν	smikro/n	μικρός	mikro/s	a-s---ma-
σμικρόν	smikro/n	μικρός	mikro/s	a-s---nn-
σμικρόν	smikro/n	μικρός	mikro/s	a-s---nv-
σμικρόν	smikro/n	μικρός	mikro/s	a-s---na-
σμικρόν	smikro/n	σμικρός	smikro/s	a-s---ma-
σμικρόν	smikro/n	σμικρός	smikro/s	a-s---nn-
σμικρόν	smikro/n	σμικρός	smikro/s	a-s---nv-
σμικρόν	smikro/n	σμικρός	smikro/s	a-s---na-
σμικρότατος	smikro/tatos	μικρός	mikro/s	a-s---mns
σμικρότατος	smikro/tatos	σμικρός	smikro/s	a-s---mns
σμῆνος	smh=nos	σμῆνος	smh=nos	n-s---nn-
σμῆνος	smh=nos	σμῆνος	smh=nos	n-s---nv-
σμῆνος	smh=nos	σμῆνος	smh=nos	n-s---na-
σοι	soi	σύ	su/	p-s----d-
σοροῦ	sorou=	σορός	soro/s	n-s---fg-
σου	sou	σύ	su/	p-s----g-
σοφοί	sofoi/	σοφός	sofo/s	a-p---mn-
σοφοί	sofoi/	σοφός	sofo/s	a-p---mv-
σοφοί	sofoi/	σοφόω	sofo/w	v2spse---
σοφοί	sofoi/	σοφόω	sofo/w	v2spie---
σοφοί	sofoi/	σοφόω	sofo/w	v3spsa---
σοφοῖς	sofoi=s	σοφός	sofo/s	a-p---md-
σοφοῖς	sofoi=s	σοφός	sofo/s	a-p---nd-
σοφοῖς	sofoi=s	σοφόω	sofo/w	v2spoa---
σοφοῖς	sofoi=s	σοφόω	sofo/w	v2spsa---
σοφοῖς	sofoi=s	σοφόω	sofo/w	v2spia---
σοφίαν	sofi/an	σοφία	sofi/a	n-s---fa-
σοφόν	sofo/n	σοφός	sofo/s	a-s---ma-
σοφόν	sofo/n	σοφός	sofo/s	a-s---nn-
σοφόν	sofo/n	σοφός	sofo/s	a-s---nv-
σοφόν	sofo/n	σοφός	sofo/s	a-s---na-
σοφός	sofo/s	σοφός	sofo/s	a-s---mn-
σοφώτατον	sofw/taton	σοφός	sofo/s	a-s---mas
σοφώτατον	sofw/taton	σοφός	sofo/s	a-s---nns
σοφώτατον	sofw/taton	σοφός	sofo/s	a-s---nvs
σοφώτατον	sofw/taton	σοφός	sofo/s	a-s---nas
