Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
πνεῦμα	pneu=ma	πνεῦμα	pneu=ma	n-s---na-
πνοαί	pnoai/	πνοή	pnoh/	n-p---fn-
πνοαί	pnoai/	πνοή	pnoh/	n-p---fv-
πνοάς	pnoa/s	πνοή	pnoh/	n-p---fa-
πνοᾷ	pnoa=|	πνοή	pnoh/	n-s---fd-
ποδαπός	podapo/s	ποδαπός	podapo/s	a-s---mn-
ποδί	podi/	ποδίς	podi/s	n-s---fv-
ποδί	podi/	πούς	pou/s	n-s---md-
ποθεινός	poqeino/s	ποθεινός	poqeino/s	a-s---mn-
ποθεινός	poqeino/s	ποθεινός	poqeino/s	n-s---mn-
ποθεινός	poqeino/s	ποθεινός	poqeino/s	n-s---fn-
ποθῶ	poqw=	πίνω	pi/nw	v1sasp---
ποθῶ	poqw=	ποθέω	poqe/w	v1spsa---
ποθῶ	poqw=	ποθέω	poqe/w	v1spia---
ποιητῷ	poihtw=|	ποιητός	poihto/s	a-s---md-
ποιητῷ	poihtw=|	ποιητός	poihto/s	a-s---nd-
ποικίλματα	poiki/lmata	ποίκιλμα	poi/kilma	n-p---nn-
ποικίλματα	poiki/lmata	ποίκιλμα	poi/kilma	n-p---nv-
ποικίλματα	poiki/lmata	ποίκιλμα	poi/kilma	n-p---na-
ποικίλον	poiki/lon	ποικίλος	poiki/los	a-s---ma-
ποικίλον	poiki/lon	ποικίλος	poiki/los	a-s---nn-
ποικίλον	poiki/lon	ποικίλος	poiki/los	a-s---nv-
ποικίλον	poiki/lon	ποικίλος	poiki/los	a-s---na-
ποικίλων	poiki/lwn	ποικίλος	poiki/los	a-p---fg-
ποικίλων	poiki/lwn	ποικίλος	poiki/los	a-p---mg-
ποικίλων	poiki/lwn	ποικίλος	poiki/los	a-p---ng-
ποικίλων	poiki/lwn	ποικιλόω	poikilo/w	v3piia---
ποικίλων	poiki/lwn	ποικιλόω	poikilo/w	v1siia---
ποιμένος	poime/nos	ποιμήν	poimh/n	n-s---mg-
ποιναθεῖσ’	poinaqei=s'	ποινάομαι	poina/omai	v-sapefn-
ποιναθεῖσ’	poinaqei=s'	ποινάομαι	poina/omai	v-sapefv-
ποιναθεῖσ’	poinaqei=s'	ποινάομαι	poina/omai	v-papemd-
ποιναθεῖσ’	poinaqei=s'	ποινάομαι	poina/omai	v-papend-
ποιναθεῖσ’	poinaqei=s'	ποινάομαι	poina/omai	v-papefn-
ποιναθεῖσ’	poinaqei=s'	ποινάομαι	poina/omai	v-papefv-
ποιναθεῖσ’	poinaqei=s'	ποινάω	poina/w	v-sappfn-
ποιναθεῖσ’	poinaqei=s'	ποινάω	poina/w	v-sappfv-
ποιναθεῖσ’	poinaqei=s'	ποινάω	poina/w	v-pappmd-
ποιναθεῖσ’	poinaqei=s'	ποινάω	poina/w	v-pappnd-
ποιναθεῖσ’	poinaqei=s'	ποινάω	poina/w	v-pappfn-
ποιναθεῖσ’	poinaqei=s'	ποινάω	poina/w	v-pappfv-
πολεμιώτατος	polemiw/tatos	πολέμιος	pole/mios	a-s---mns
πολεμιώτατος	polemiw/tatos	πολέμιος	pole/mios	a-s---mns
πολεμίων	polemi/wn	πολέμιος	pole/mios	a-p---fg-
πολεμίων	polemi/wn	πολέμιος	pole/mios	a-p---mg-
πολεμίων	polemi/wn	πολέμιος	pole/mios	a-p---ng-
πολεμίων	polemi/wn	πολέμιος	pole/mios	n-p---mg-
πολεμίων	polemi/wn	πολέμιος	pole/mios	n-p---fg-
πολεμίων	polemi/wn	πολέμιος	pole/mios	n-p---ng-
πολεμίων	polemi/wn	πολεμέω	poleme/w	v-sppamn-
πολιά	polia/	πολιά	polia/	n-d---fn-
πολιά	polia/	πολιά	polia/	n-d---fv-
πολιά	polia/	πολιά	polia/	n-d---fa-
πολιά	polia/	πολιά	polia/	n-s---fn-
πολιά	polia/	πολιά	polia/	n-s---fv-
πολιά	polia/	πολιάς	polia/s	n-s---fv-
πολιά	polia/	πολιός	polio/s	a-p---nn-
πολιά	polia/	πολιός	polio/s	a-p---nv-
πολιά	polia/	πολιός	polio/s	a-p---na-
πολιά	polia/	πολιός	polio/s	a-d---fn-
πολιά	polia/	πολιός	polio/s	a-d---fv-
πολιά	polia/	πολιός	polio/s	a-d---fa-
πολιά	polia/	πολιός	polio/s	a-s---fn-
πολιά	polia/	πολιός	polio/s	a-s---fv-
πολιά	polia/	πολιός	polio/s	n-p---nn-
πολιά	polia/	πολιός	polio/s	n-p---nv-
πολιά	polia/	πολιός	polio/s	n-p---na-
πολλαχοῦ	pollaxou=	πολλαχοῦ	pollaxou=	d--------
πολλαί	pollai/	πολύς	polu/s	a-p---fn-
πολλαί	pollai/	πολύς	polu/s	a-p---fv-
πολλαῖς	pollai=s	πολύς	polu/s	a-p---fd-
πολλοί	polloi/	πολύς	polu/s	a-p---mn-
πολλοί	polloi/	πολύς	polu/s	a-p---mv-
πολλούς	pollou/s	πολύς	polu/s	a-p---ma-
πολλά	polla/	πολύς	polu/s	a-d---fn-
πολλά	polla/	πολύς	polu/s	a-d---fv-
πολλά	polla/	πολύς	polu/s	a-d---fa-
πολλά	polla/	πολύς	polu/s	a-s---fn-
πολλά	polla/	πολύς	polu/s	a-s---fv-
πολλά	polla/	πολύς	polu/s	a-p---nn-
πολλά	polla/	πολύς	polu/s	a-p---nv-
πολλά	polla/	πολύς	polu/s	a-p---na-
πολλάκις	polla/kis	πολλάκις	polla/kis	d--------
πολλάς	polla/s	πολύς	polu/s	a-p---fa-
πολλῇ	pollh=|	πολύς	polu/s	a-s---fd-
πολυετῆ	polueth=	πολυετής	polueth/s	n-p---nn-
πολυετῆ	polueth=	πολυετής	polueth/s	n-p---nv-
πολυετῆ	polueth=	πολυετής	polueth/s	n-p---na-
πολυετῆ	polueth=	πολυετής	polueth/s	n-d---mn-
πολυετῆ	polueth=	πολυετής	polueth/s	n-d---mv-
πολυετῆ	polueth=	πολυετής	polueth/s	n-d---ma-
πολυετῆ	polueth=	πολυετής	polueth/s	n-d---fn-
πολυετῆ	polueth=	πολυετής	polueth/s	n-d---fv-
πολυετῆ	polueth=	πολυετής	polueth/s	n-d---fa-
πολυετῆ	polueth=	πολυετής	polueth/s	n-d---nn-
πολυετῆ	polueth=	πολυετής	polueth/s	n-d---nv-
πολυετῆ	polueth=	πολυετής	polueth/s	n-d---na-
πολυετῆ	polueth=	πολυετής	polueth/s	n-s---ma-
πολυετῆ	polueth=	πολυετής	polueth/s	n-s---fa-
πολυκτόνον	polukto/non	πολυκτόνος	polukto/nos	n-s---ma-
πολυκτόνον	polukto/non	πολυκτόνος	polukto/nos	n-s---fa-
πολυκτόνον	polukto/non	πολυκτόνος	polukto/nos	n-s---nn-
πολυκτόνον	polukto/non	πολυκτόνος	polukto/nos	n-s---nv-
πολυκτόνον	polukto/non	πολυκτόνος	polukto/nos	n-s---na-
πολυκτόνος	polukto/nos	πολυκτόνος	polukto/nos	n-s---mn-
πολυκτόνος	polukto/nos	πολυκτόνος	polukto/nos	n-s---fn-
πολυνιφέα	polunife/a	πολυνιφής	polunifh/s	n-p---nn-
πολυνιφέα	polunife/a	πολυνιφής	polunifh/s	n-p---nv-
πολυνιφέα	polunife/a	πολυνιφής	polunifh/s	n-p---na-
πολυνιφέα	polunife/a	πολυνιφής	polunifh/s	n-s---ma-
πολυνιφέα	polunife/a	πολυνιφής	polunifh/s	n-s---fa-
πολυπλανής	poluplanh/s	πολυπλανής	poluplanh/s	n-s---mn-
πολυπλανής	poluplanh/s	πολυπλανής	poluplanh/s	n-s---fn-
πολυπλάνητον	polupla/nhton	πολυπλάνητος	polupla/nhtos	n-s---ma-
πολυπλάνητον	polupla/nhton	πολυπλάνητος	polupla/nhtos	n-s---fa-
πολυπλάνητον	polupla/nhton	πολυπλάνητος	polupla/nhtos	n-s---nn-
πολυπλάνητον	polupla/nhton	πολυπλάνητος	polupla/nhtos	n-s---nv-
πολυπλάνητον	polupla/nhton	πολυπλάνητος	polupla/nhtos	n-s---na-
πολυστόνου	polusto/nou	πολύστονος	polu/stonos	n-s---mg-
πολυστόνου	polusto/nou	πολύστονος	polu/stonos	n-s---fg-
πολυστόνου	polusto/nou	πολύστονος	polu/stonos	n-s---ng-
πολυχρύσους	poluxru/sous	πολύχρυσος	polu/xrusos	n-p---ma-
πολυχρύσους	poluxru/sous	πολύχρυσος	polu/xrusos	n-p---fa-
πολέμῳ	pole/mw|	πόλεμος	po/lemos	n-s---md-
πολύ	polu/	πολύς	polu/s	n-s---nn-
πολύ	polu/	πολύς	polu/s	n-s---nv-
πολύ	polu/	πολύς	polu/s	n-s---na-
πολύν	polu/n	πολύς	polu/s	n-s---ma-
πολύπονον	polu/ponon	πολύπονος	polu/ponos	n-s---ma-
πολύπονον	polu/ponon	πολύπονος	polu/ponos	n-s---fa-
πολύπονον	polu/ponon	πολύπονος	polu/ponos	n-s---nn-
πολύπονον	polu/ponon	πολύπονος	polu/ponos	n-s---nv-
πολύπονον	polu/ponon	πολύπονος	polu/ponos	n-s---na-
πομπαῖσιν	pompai=sin	πομπή	pomph/	n-p---fd-
πονεῖ	ponei=	πονέομαι	pone/omai	v2spie---
πονεῖ	ponei=	πονέω	pone/w	v2spie---
πονεῖ	ponei=	πονέω	pone/w	v3spia---
πονηράς	ponhra/s	πονηρός	ponhro/s	a-p---fa-
ποντίας	ponti/as	πόντιος	po/ntios	a-p---fa-
ποντίας	ponti/as	πόντιος	po/ntios	a-s---fg-
ποντίσματα	ponti/smata	πόντισμα	po/ntisma	n-p---nn-
ποντίσματα	ponti/smata	πόντισμα	po/ntisma	n-p---nv-
ποντίσματα	ponti/smata	πόντισμα	po/ntisma	n-p---na-
πονήσας	ponh/sas	πονέω	pone/w	v-sapamn-
πονήσας	ponh/sas	πονέω	pone/w	v-sapamv-
πορευθείς	poreuqei/s	πορεύω	poreu/w	v-sappmn-
πορευθείς	poreuqei/s	πορεύω	poreu/w	v-sappmv-
πορθμούς	porqmou/s	πορθμός	porqmo/s	n-p---ma-
πορθμίδ’	porqmi/d'	πορθμίς	porqmi/s	n-s---fa-
πορθμίδ’	porqmi/d'	πορθμίς	porqmi/s	n-s---fd-
πορθμίδ’	porqmi/d'	πορθμίς	porqmi/s	n-d---fn-
πορθμίδ’	porqmi/d'	πορθμίς	porqmi/s	n-d---fv-
πορθμίδ’	porqmi/d'	πορθμίς	porqmi/s	n-d---fa-
πορθμός	porqmo/s	πορθμός	porqmo/s	n-s---mn-
ποταμοῦ	potamou=	ποταμός	potamo/s	n-s---mg-
ποταμίας	potami/as	ποτάμιος	pota/mios	a-p---fa-
ποταμίας	potami/as	ποτάμιος	pota/mios	a-s---fg-
ποτανοί	potanoi/	ποτανός	potano/s	a-p---mn-
ποτανοί	potanoi/	ποτανός	potano/s	a-p---mv-
ποτε	pote	ποτέ	pote/	g--------
ποτνίας	potni/as	πότνια	po/tnia	n-p---fa-
ποτνίας	potni/as	πότνια	po/tnia	n-s---fg-
ποτάμιόν	pota/mio/n	ποτάμιον	pota/mion	n-s---nn-
ποτάμιόν	pota/mio/n	ποτάμιον	pota/mion	n-s---nv-
ποτάμιόν	pota/mio/n	ποτάμιον	pota/mion	n-s---na-
ποτάμιόν	pota/mio/n	ποτάμιος	pota/mios	a-s---ma-
ποτάμιόν	pota/mio/n	ποτάμιος	pota/mios	a-s---nn-
ποτάμιόν	pota/mio/n	ποτάμιος	pota/mios	a-s---nv-
ποτάμιόν	pota/mio/n	ποτάμιος	pota/mios	a-s---na-
ποτάμιόν	pota/mio/n	ποτάμιος	pota/mios	n-s---ma-
ποτάμιόν	pota/mio/n	ποτάμιος	pota/mios	n-s---fa-
ποτάμιόν	pota/mio/n	ποτάμιος	pota/mios	n-s---nn-
ποτάμιόν	pota/mio/n	ποτάμιος	pota/mios	n-s---nv-
ποτάμιόν	pota/mio/n	ποτάμιος	pota/mios	n-s---na-
ποτέ	pote/	ποτέ	pote/	g--------
ποτέ	pote/	ποτός	poto/s	a-s---mv-
που	pou	πού	pou/	d--------
ποίας	poi/as	πόα	po/a	n-p---fa-
ποίας	poi/as	πόα	po/a	n-s---fg-
ποίας	poi/as	ποῖος	poi=os	a-p---fa-
ποίας	poi/as	ποῖος	poi=os	a-s---fg-
ποίμναις	poi/mnais	ποίμνη	poi/mnh	n-p---fd-
ποίοις	poi/ois	ποῖος	poi=os	a-p---md-
ποίοις	poi/ois	ποῖος	poi=os	a-p---nd-
ποίοις	poi/ois	ποιέω	poie/w	v2spoa---
ποίοισιν	poi/oisin	ποῖος	poi=os	a-p---md-
ποίοισιν	poi/oisin	ποῖος	poi=os	a-p---nd-
ποίοισιν	poi/oisin	ποιέω	poie/w	v-pppamd-
ποίοισιν	poi/oisin	ποιέω	poie/w	v-pppand-
ποίων	poi/wn	ποῖος	poi=os	a-p---fg-
ποίων	poi/wn	ποῖος	poi=os	a-p---mg-
ποίων	poi/wn	ποῖος	poi=os	a-p---ng-
ποίων	poi/wn	ποιέω	poie/w	v-sppamn-
ποίων	poi/wn	ποιόω	poio/w	v3piia---
ποίων	poi/wn	ποιόω	poio/w	v1siia---
ποίῳ	poi/w|	ποῖος	poi=os	a-s---md-
ποίῳ	poi/w|	ποῖος	poi=os	a-s---nd-
πού	pou/	πού	pou/	d--------
πούς	pou/s	πούς	pou/s	n-s---mn-
ποῖ	poi=	ποι	poi	d--------
ποῖ	poi=	ποῖ	poi=	d--------
ποῖον	poi=on	ποῖος	poi=os	a-s---ma-
ποῖον	poi=on	ποῖος	poi=os	a-s---nn-
ποῖον	poi=on	ποῖος	poi=os	a-s---nv-
ποῖον	poi=on	ποῖος	poi=os	a-s---na-
ποῦ	pou=	πού	pou/	d--------
ποῦ	pou=	ποῦ	pou=	x--------
πρεσβυτάτᾳ	presbuta/ta|	πρέσβυς	pre/sbus	a-s---fd-
πριαμένη	priame/nh	πρίαμαι	pri/amai	v-sppmfn-
πριαμένη	priame/nh	πρίαμαι	pri/amai	v-sppmfv-
προγόνου	progo/nou	πρόγονος	pro/gonos	n-s---mg-
προδοσίαν	prodosi/an	προδοσία	prodosi/a	n-s---fa-
προδοῦσαν	prodou=san	προδίδωμι	prodi/dwmi	v-sapafa-
προδοῦσαν	prodou=san	προδίδωμι	prodi/dwmi	v-sapafa-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-sapafn-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-sapafv-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-sapafn-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-sapafv-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-papamd-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-papand-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-papamd-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-papand-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-papafn-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-papafv-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-papafn-
προδοῦσ’	prodou=s'	προδίδωμι	prodi/dwmi	v-papafv-
προδότις	prodo/tis	προδότις	prodo/tis	n-s---fn-
προδῷς	prodw=|s	προδίδωμι	prodi/dwmi	v2sasa---
προδῷς	prodw=|s	προδίδωμι	prodi/dwmi	v2sasa---
προθυμίᾳ	proqumi/a|	προθυμία	proqumi/a	n-p---fn-
προθυμίᾳ	proqumi/a|	προθυμία	proqumi/a	n-p---fv-
προθυμίᾳ	proqumi/a|	προθυμία	proqumi/a	n-s---fd-
προκρίνας	prokri/nas	προκρίνω	prokri/nw	v-sapamn-
προκρίνας	prokri/nas	προκρίνω	prokri/nw	v-sapamv-
προλάμβαν’	prola/mban'	προλαμβάνω	prolamba/nw	v2spma---
προλάμβαν’	prola/mban'	προλαμβάνω	prolamba/nw	v3siia---
προξένησον	proce/nhson	προξενέω	procene/w	v2sama---
προσαιτεῖν	prosaitei=n	προσαιτέω	prosaite/w	v--pna---
προσαιτεῖν	prosaitei=n	προσαιτέω	prosaite/w	v--pna---
προσβῆναι	prosbh=nai	προσβαίνω	prosbai/nw	v--ana---
προσδέρκομαι	prosde/rkomai	προσδέρκομαι	prosde/rkomai	v1spim---
προσεικάσαι	proseika/sai	προσεικάζω	proseika/zw	v-sfpafd-
προσεικάσαι	proseika/sai	προσεικάζω	proseika/zw	v-sfpafd-
προσεικάσαι	proseika/sai	προσεικάζω	proseika/zw	v--ana---
προσεικάσαι	proseika/sai	προσεικάζω	proseika/zw	v3saoa---
προσεικάσαι	proseika/sai	προσεικάζω	proseika/zw	v--ana---
προσεικάσαι	proseika/sai	προσεικάζω	proseika/zw	v3saoa---
προσεννέπει	prosenne/pei	προσεννέπω	prosenne/pw	v2spie---
προσεννέπει	prosenne/pei	προσεννέπω	prosenne/pw	v3spia---
προσείλει	prosei/lei	προσειλέω	proseile/w	v2spma---
προσείλει	prosei/lei	προσειλέω	proseile/w	v3sasa---
προσείλει	prosei/lei	προσειλέω	proseile/w	v3siia---
προσείλει	prosei/lei	προσειλέω	proseile/w	v2spma---
προσείλει	prosei/lei	προσειλέω	proseile/w	v2spie---
προσείλει	prosei/lei	προσειλέω	proseile/w	v3spia---
προσείλει	prosei/lei	προσειλέω	proseile/w	v3siia---
προσείλει	prosei/lei	προσειλέω	proseile/w	v3siia---
προσεῖπε	prosei=pe	προσεῖπον	prosei=pon	v3saia---
προσεῖπε	prosei=pe	προσεῖπον	prosei=pon	v3saia---
προσθεῖναι	prosqei=nai	προστίθημι	prosti/qhmi	v--ana---
προσκαθίζω	proskaqi/zw	προσκαθίζω	proskaqi/zw	v1spsa---
προσκαθίζω	proskaqi/zw	προσκαθίζω	proskaqi/zw	v1spia---
προσκαθίζω	proskaqi/zw	προσκαθίζω	proskaqi/zw	v1spia---
προσμενῶ	prosmenw=	προσμένω	prosme/nw	v1sfia---
προσπεσεῖν	prospesei=n	προσπίτνω	prospi/tnw	v--ana---
προσποιούμεθα	prospoiou/meqa	προσποιέω	prospoie/w	v1ppie---
προσποιούμεθα	prospoiou/meqa	προσποιέω	prospoie/w	v1ppie---
προσποιούμεθα	prospoiou/meqa	προσποιέω	prospoie/w	v1piie---
προσποιούμεθα	prospoiou/meqa	προσποιέω	prospoie/w	v1piie---
προσπίτνω	prospi/tnw	προσπίτνω	prospi/tnw	v1spsa---
προσπίτνω	prospi/tnw	προσπίτνω	prospi/tnw	v1spia---
προσπόλοισι	prospo/loisi	πρόσπολος	pro/spolos	n-p---md-
προσπόλου	prospo/lou	πρόσπολος	pro/spolos	n-s---mg-
προσρήσεως	prosrh/sews	πρόσρησις	pro/srhsis	n-s---fg-
προστάσσει	prosta/ssei	προσστάζω	prossta/zw	v3sasa---
προστάσσει	prosta/ssei	προσστάζω	prossta/zw	v2sfim---
προστάσσει	prosta/ssei	προσστάζω	prossta/zw	v3sfia---
προστάσσει	prosta/ssei	προστάσσω	prosta/ssw	v2spie---
προστάσσει	prosta/ssei	προστάσσω	prosta/ssw	v3spia---
προστάσσει	prosta/ssei	προστάσσω	prosta/ssw	v2spie---
προστάσσει	prosta/ssei	προστάσσω	prosta/ssw	v3spia---
προστίθης	prosti/qhs	προστίθημι	prosti/qhmi	v2spia---
προστίθης	prosti/qhs	προστίθημι	prosti/qhmi	v2siia---
προσφερέστερον	prosfere/steron	προσφερής	prosferh/s	x--------
προσφερέστερον	prosfere/steron	προσφερής	prosferh/s	n-s---ma-
προσφερέστερον	prosfere/steron	προσφερής	prosferh/s	n-s---nn-
προσφερέστερον	prosfere/steron	προσφερής	prosferh/s	n-s---nv-
προσφερέστερον	prosfere/steron	προσφερής	prosferh/s	n-s---na-
προσφερής	prosferh/s	προσφερής	prosferh/s	n-s---mn-
προσφερής	prosferh/s	προσφερής	prosferh/s	n-s---fn-
προσφάζεται	prosfa/zetai	προσφάζω	prosfa/zw	v3spie---
προσφάζεται	prosfa/zetai	προσφάζω	prosfa/zw	v3spie---
προσφέρειν	prosfe/rein	προσφέρω	prosfe/rw	v--pna---
προσόντα	proso/nta	πρόσειμι1	pro/seimi1	v-sppama-
προσόντα	proso/nta	πρόσειμι1	pro/seimi1	v-pppann-
προσόντα	proso/nta	πρόσειμι1	pro/seimi1	v-pppanv-
προσόντα	proso/nta	πρόσειμι1	pro/seimi1	v-pppana-
προσῄτεις	prosh/|teis	προσαιτέω	prosaite/w	v2siia---
προσῆγε	prosh=ge	προσάγω	prosa/gw	v3siia---
προσῆλθον	prosh=lqon	προσέρχομαι	prose/rxomai	v3paia---
προσῆλθον	prosh=lqon	προσέρχομαι	prose/rxomai	v1saia---
προτείνασ’	protei/nas'	προτείνω	protei/nw	v-sapafn-
προτείνασ’	protei/nas'	προτείνω	protei/nw	v-sapafv-
προτείνασ’	protei/nas'	προτείνω	protei/nw	v-papamd-
προτείνασ’	protei/nas'	προτείνω	protei/nw	v-papand-
προτείνασ’	protei/nas'	προτείνω	protei/nw	v-papafn-
προτείνασ’	protei/nas'	προτείνω	protei/nw	v-papafv-
προυτέθην	proute/qhn	προτίθημι	proti/qhmi	v3paip---
προυτέθην	proute/qhn	προτίθημι	proti/qhmi	v1saip---
προύδωκεν	prou/dwken	προδίδωμι	prodi/dwmi	v3saia---
προύργου	prou/rgou	προὔργου	prou)/rgou	d--------
πρωτόπλουν	prwto/ploun	πρωτόπλους	prwto/plous	n-s---ma-
πρωτόπλουν	prwto/ploun	πρωτόπλους	prwto/plous	n-s---fa-
πρωτόπλουν	prwto/ploun	πρωτόπλους	prwto/plous	n-s---nn-
πρωτόπλουν	prwto/ploun	πρωτόπλους	prwto/plous	n-s---nv-
πρωτόπλουν	prwto/ploun	πρωτόπλους	prwto/plous	n-s---na-
πράγμασιν	pra/gmasin	πρᾶγμα	pra=gma	n-p---nd-
πράγματ’	pra/gmat'	πρᾶγμα	pra=gma	n-p---nn-
πράγματ’	pra/gmat'	πρᾶγμα	pra=gma	n-p---nv-
πράγματ’	pra/gmat'	πρᾶγμα	pra=gma	n-p---na-
πράγματ’	pra/gmat'	πρᾶγμα	pra=gma	n-s---nd-
πράγματ’	pra/gmat'	πρᾶγμα	pra=gma	n-d---nn-
πράγματ’	pra/gmat'	πρᾶγμα	pra=gma	n-d---nv-
πράγματ’	pra/gmat'	πρᾶγμα	pra=gma	n-d---na-
πράξας	pra/cas	πράσσω	pra/ssw	v-sapamn-
πράξας	pra/cas	πράσσω	pra/ssw	v-sapamv-
πράξας	pra/cas	πράσσω	pra/ssw	v-sapamn-
πράξας	pra/cas	πράσσω	pra/ssw	v-sapamv-
πράξας	pra/cas	πράσσω	pra/ssw	v2saia---
πράξεις	pra/ceis	πράσσω	pra/ssw	v2sasa---
πράξεις	pra/ceis	πράσσω	pra/ssw	v2sasa---
πράξεις	pra/ceis	πράσσω	pra/ssw	v2sfia---
πράξεις	pra/ceis	πρᾶξις	pra=cis	n-p---fn-
πράξεις	pra/ceis	πρᾶξις	pra=cis	n-p---fv-
πράξεις	pra/ceis	πρᾶξις	pra=cis	n-p---fn-
πράξεις	pra/ceis	πρᾶξις	pra=cis	n-p---fa-
πράξῃ	pra/ch|	πράσσω	pra/ssw	v2sasm---
πράξῃ	pra/ch|	πράσσω	pra/ssw	v3sasa---
πράξῃ	pra/ch|	πράσσω	pra/ssw	v2sasm---
πράξῃ	pra/ch|	πράσσω	pra/ssw	v3sasa---
πράξῃ	pra/ch|	πράσσω	pra/ssw	v2sfim---
πράξῃ	pra/ch|	πρᾶξις	pra=cis	n-s---fd-
πράσσειν	pra/ssein	πράσσω	pra/ssw	v--pna---
πράσσουσιν	pra/ssousin	πράσσω	pra/ssw	v-pppamd-
πράσσουσιν	pra/ssousin	πράσσω	pra/ssw	v-pppand-
πράσσουσιν	pra/ssousin	πράσσω	pra/ssw	v3ppia---
πρέπει	pre/pei	πρέπω	pre/pw	v2spie---
πρέπει	pre/pei	πρέπω	pre/pw	v3spia---
πρέπων	pre/pwn	πρέπω	pre/pw	v-sppamn-
πρέπων	pre/pwn	πρέπων	pre/pwn	n-s---mn-
πρίν	pri/n	πρίν	pri/n	d--------
πρό	pro/	πρό	pro/	r--------
πρόθυμος	pro/qumos	πρόθυμος	pro/qumos	n-s---mn-
πρόθυμος	pro/qumos	πρόθυμος	pro/qumos	n-s---fn-
πρόμαντις	pro/mantis	πρόμαντις	pro/mantis	n-s---fn-
πρόμαντις	pro/mantis	πρόμαντις	pro/mantis	n-s---fn-
πρόπολον	pro/polon	πρόπολος	pro/polos	n-s---ma-
πρόπολον	pro/polon	πρόπολος	pro/polos	n-s---fa-
πρόπολον	pro/polon	πρόπολος	pro/polos	n-s---nn-
πρόπολον	pro/polon	πρόπολος	pro/polos	n-s---nv-
πρόπολον	pro/polon	πρόπολος	pro/polos	n-s---na-
πρός	pro/s	πρός	pro/s	r--------
πρόσδοτον	pro/sdoton	προσδίδωμι	prosdi/dwmi	v2dama---
πρόσδοτον	pro/sdoton	προσδίδωμι	prosdi/dwmi	v2daia---
πρόσθε	pro/sqe	πρόσθεν	pro/sqen	d--------
πρόσθεν	pro/sqen	πρόσθεν	pro/sqen	d--------
πρόσκειται	pro/skeitai	πρόσκειμαι	pro/skeimai	v3spie---
πρόσοψις	pro/soyis	πρόσοψις	pro/soyis	n-s---fn-
πρόσταξον	pro/stacon	προσστάζω	prossta/zw	v2sama---
πρόσταξον	pro/stacon	προστάσσω	prosta/ssw	v2sama---
πρόσταξον	pro/stacon	προστάσσω	prosta/ssw	v2sama---
πρόσφορα	pro/sfora	πρόσφορος	pro/sforos	n-p---nn-
πρόσφορα	pro/sfora	πρόσφορος	pro/sforos	n-p---nv-
πρόσφορα	pro/sfora	πρόσφορος	pro/sforos	n-p---na-
πρόσφορον	pro/sforon	πρόσφορος	pro/sforos	n-s---ma-
πρόσφορον	pro/sforon	πρόσφορος	pro/sforos	n-s---fa-
πρόσφορον	pro/sforon	πρόσφορος	pro/sforos	n-s---nn-
πρόσφορον	pro/sforon	πρόσφορος	pro/sforos	n-s---nv-
πρόσφορον	pro/sforon	πρόσφορος	pro/sforos	n-s---na-
πρόσφορ’	pro/sfor'	πρόσφορος	pro/sforos	n-p---nn-
πρόσφορ’	pro/sfor'	πρόσφορος	pro/sforos	n-p---nv-
πρόσφορ’	pro/sfor'	πρόσφορος	pro/sforos	n-p---na-
πρόσφορ’	pro/sfor'	πρόσφορος	pro/sforos	n-s---mv-
πρόσφορ’	pro/sfor'	πρόσφορος	pro/sforos	n-s---fv-
πρόσω	pro/sw	πρόσω	pro/sw	d--------
πρόχειρον	pro/xeiron	πρόχειρον	pro/xeiron	n-s---nn-
πρόχειρον	pro/xeiron	πρόχειρον	pro/xeiron	n-s---nv-
πρόχειρον	pro/xeiron	πρόχειρον	pro/xeiron	n-s---na-
πρόχειρον	pro/xeiron	πρόχειρος	pro/xeiros	n-s---ma-
πρόχειρον	pro/xeiron	πρόχειρος	pro/xeiros	n-s---fa-
πρόχειρον	pro/xeiron	πρόχειρος	pro/xeiros	n-s---nn-
πρόχειρον	pro/xeiron	πρόχειρος	pro/xeiros	n-s---nv-
πρόχειρον	pro/xeiron	πρόχειρος	pro/xeiros	n-s---na-
πρύμνηθεν	pru/mnhqen	πρύμνηθεν	pru/mnhqen	d--------
πρᾶγμα	pra=gma	πρᾶγμα	pra=gma	n-s---nn-
πρᾶγμα	pra=gma	πρᾶγμα	pra=gma	n-s---nv-
πρᾶγμα	pra=gma	πρᾶγμα	pra=gma	n-s---na-
πρᾶγμ’	pra=gm'	πρᾶγμα	pra=gma	n-s---nn-
