Αἰσχύλον	*ai)sxu/lon	Αἰσχύλος	*ai)sxu/los	n-s---ma-
στρώματα	strw/mata	στρῶμα	strw=ma	n-p---na-
στρώματ’	strw/mat'	στρῶμα	strw=ma	n-p---nn-
στρώματ’	strw/mat'	στρῶμα	strw=ma	n-p---nv-
στρώματ’	strw/mat'	στρῶμα	strw=ma	n-p---na-
στρώματ’	strw/mat'	στρῶμα	strw=ma	n-s---nd-
στρώματ’	strw/mat'	στρῶμα	strw=ma	n-d---nn-
στρώματ’	strw/mat'	στρῶμα	strw=ma	n-d---nv-
στρώματ’	strw/mat'	στρῶμα	strw=ma	n-d---na-
στυγερά	stugera/	στυγερός	stugero/s	a-p---nn-
στυγερά	stugera/	στυγερός	stugero/s	a-p---nv-
στυγερά	stugera/	στυγερός	stugero/s	a-p---na-
στυγερά	stugera/	στυγερός	stugero/s	a-d---fn-
στυγερά	stugera/	στυγερός	stugero/s	a-d---fv-
στυγερά	stugera/	στυγερός	stugero/s	a-d---fa-
στυγερά	stugera/	στυγερός	stugero/s	a-s---fn-
στυγερά	stugera/	στυγερός	stugero/s	a-s---fv-
στυγερός	stugero/s	στυγερός	stugero/s	a-s---mn-
στυγεῖν	stugei=n	στυγέω	stuge/w	v--ana---
στυγεῖν	stugei=n	στυγέω	stuge/w	v--pna---
στυγῶν	stugw=n	στύγος	stu/gos	n-p---ng-
στυγῶν	stugw=n	στυγέω	stuge/w	v-sppamn-
στωμύλος	stwmu/los	στωμύλος	stwmu/los	a-s---mn-
στωμύλος	stwmu/los	στωμύλος	stwmu/los	n-s---mn-
στωμύλος	stwmu/los	στωμύλος	stwmu/los	n-s---fn-
στάθευε	sta/qeue	σταθεύω	staqeu/w	v2spma---
στάθευε	sta/qeue	σταθεύω	staqeu/w	v3siia---
στένω	ste/nw	στένω	ste/nw	v1spsa---
στένω	ste/nw	στένω	ste/nw	v1spia---
στένω	ste/nw	στενόω	steno/w	v2spma---
στένω	ste/nw	στενόω	steno/w	v3siia---
στέφανοι	ste/fanoi	στέφανος	ste/fanos	n-p---mn-
στέφανοι	ste/fanoi	στέφανος	ste/fanos	n-p---mv-
στέφανον	ste/fanon	στέφανος	ste/fanos	n-s---ma-
στήλην	sth/lhn	στήλη	sth/lh	n-s---fa-
στήσω	sth/sw	ἵστημι	i(/sthmi	v1sasa---
στήσω	sth/sw	ἵστημι	i(/sthmi	v1sfia---
στήσω	sth/sw	ἵστημι	i(/sthmi	v2saim---
στόμα	sto/ma	στόμα	sto/ma	n-s---nn-
στόμα	sto/ma	στόμα	sto/ma	n-s---nv-
στόμα	sto/ma	στόμα	sto/ma	n-s---na-
στόματι	sto/mati	στόμα	sto/ma	n-s---nd-
στύομαι	stu/omai	στύω	stu/w	v1spie---
στῶ	stw=	ἵστημι	i(/sthmi	v2samm---
στῶ	stw=	ἵστημι	i(/sthmi	v1sasa---
στῶ	stw=	ἵστημι	i(/sthmi	v2saim---
στῶ	stw=	στάζω	sta/zw	v1sfia---
συγγνώμην	suggnw/mhn	συγγνώμη	suggnw/mh	n-s---fa-
συκοφαντήσεις	sukofanth/seis	συκοφαντέω	sukofante/w	v2sasa---
συκοφαντήσεις	sukofanth/seis	συκοφαντέω	sukofante/w	v2sfia---
συκοφαντῶν	sukofantw=n	συκοφάντης	sukofa/nths	n-p---mg-
συκοφαντῶν	sukofantw=n	συκοφαντέω	sukofante/w	v-sppamn-
συκοφάντας	sukofa/ntas	συκοφάντης	sukofa/nths	n-p---ma-
συκοφάντας	sukofa/ntas	συκοφάντης	sukofa/nths	n-s---mn-
συκοφάντην	sukofa/nthn	συκοφάντης	sukofa/nths	n-s---ma-
συκοφάντης	sukofa/nths	συκοφάντης	sukofa/nths	n-s---mn-
συκοφάντης	sukofa/nths	συκοφαντέω	sukofante/w	v2siia---
συκίδων	suki/dwn	συκίς	suki/s	n-p---fg-
συμπλακέντα	sumplake/nta	συμπλέκω	sumple/kw	v-pappnn-
συμπλακέντα	sumplake/nta	συμπλέκω	sumple/kw	v-pappnv-
συμπλακέντα	sumplake/nta	συμπλέκω	sumple/kw	v-pappna-
συμπλακέντα	sumplake/nta	συμπλέκω	sumple/kw	v-sappma-
συμποτικά	sumpotika/	συμποτικός	sumpotiko/s	a-p---nn-
συμποτικά	sumpotika/	συμποτικός	sumpotiko/s	a-p---nv-
συμποτικά	sumpotika/	συμποτικός	sumpotiko/s	a-p---na-
συμποτικά	sumpotika/	συμποτικός	sumpotiko/s	a-d---fn-
συμποτικά	sumpotika/	συμποτικός	sumpotiko/s	a-d---fv-
συμποτικά	sumpotika/	συμποτικός	sumpotiko/s	a-d---fa-
συμποτικά	sumpotika/	συμποτικός	sumpotiko/s	a-s---fn-
συμποτικά	sumpotika/	συμποτικός	sumpotiko/s	a-s---fv-
συμπότας	sumpo/tas	συμπότης	sumpo/ths	n-p---ma-
συμπότας	sumpo/tas	συμπότης	sumpo/ths	n-s---mn-
συμφορά	sumfora/	συμφορά	sumfora/	n-d---fn-
συμφορά	sumfora/	συμφορά	sumfora/	n-d---fv-
συμφορά	sumfora/	συμφορά	sumfora/	n-d---fa-
συμφορά	sumfora/	συμφορά	sumfora/	n-s---fn-
συμφορά	sumfora/	συμφορά	sumfora/	n-s---fv-
συνθέριζε	sunqe/rize	συνθερίζω	sunqeri/zw	v2spma---
συνθέριζε	sunqe/rize	συνθερίζω	sunqeri/zw	v2spma---
συνθέριζε	sunqe/rize	συνθερίζω	sunqeri/zw	v3siia---
συνθέριζε	sunqe/rize	συνθερίζω	sunqeri/zw	v3siia---
συντρίψετε	suntri/yete	συντρίβω	suntri/bw	v2pasa---
συντρίψετε	suntri/yete	συντρίβω	suntri/bw	v2pfia---
συριγμάτων	surigma/twn	σύριγμα	su/rigma	n-p---ng-
συχνήν	suxnh/n	συχνός	suxno/s	a-s---fa-
σφενδάμνινοι	sfenda/mninoi	σφενδάμνινος	sfenda/mninos	a-p---mn-
σφενδάμνινοι	sfenda/mninoi	σφενδάμνινος	sfenda/mninos	a-p---mv-
σφογγίῳ	sfoggi/w|	σφογγίον	sfoggi/on	n-s---nd-
σφυρόν	sfuro/n	σφυρόν	sfuro/n	n-s---nn-
σφυρόν	sfuro/n	σφυρόν	sfuro/n	n-s---nv-
σφυρόν	sfuro/n	σφυρόν	sfuro/n	n-s---na-
σφόδρα	sfo/dra	σφόδρα	sfo/dra	d--------
σφώ	sfw/	σφεῖς	sfei=s	n-d---mn-
σφώ	sfw/	σφεῖς	sfei=s	n-d---mv-
σφώ	sfw/	σφεῖς	sfei=s	n-d---ma-
σφώ	sfw/	σφεῖς	sfei=s	n-d---fn-
σφώ	sfw/	σφεῖς	sfei=s	n-d---fv-
σφώ	sfw/	σφεῖς	sfei=s	n-d---fa-
σφώ	sfw/	σφός	sfo/s	a-d---mn-
σφώ	sfw/	σφός	sfo/s	a-d---mv-
σφώ	sfw/	σφός	sfo/s	a-d---ma-
σφώ	sfw/	σφός	sfo/s	a-d---nn-
σφώ	sfw/	σφός	sfo/s	a-d---nv-
σφώ	sfw/	σφός	sfo/s	a-d---na-
σφώ	sfw/	σύ	su/	p-d----n-
σφώ	sfw/	σύ	su/	p-d----a-
σφῆκες	sfh=kes	σφήξ	sfh/c	n-p---mn-
σφῆκες	sfh=kes	σφήξ	sfh/c	n-p---mv-
σφῷν	sfw=|n	σφεῖς	sfei=s	n-p---mg-
σφῷν	sfw=|n	σφεῖς	sfei=s	n-p---fg-
σφῷν	sfw=|n	σύ	su/	p-d----g-
σφῷν	sfw=|n	σύ	su/	p-d----d-
σφῷν	sfw=|n	σύ	su/	p-d----g-
σφῷν	sfw=|n	σύ	su/	p-d----d-
σχοινίον	sxoini/on	σχοινίον	sxoini/on	n-s---nn-
σχοινίον	sxoini/on	σχοινίον	sxoini/on	n-s---nv-
σχοινίον	sxoini/on	σχοινίον	sxoini/on	n-s---na-
σχολή	sxolh/	σχολή	sxolh/	n-s---fn-
σχολή	sxolh/	σχολή	sxolh/	n-s---fv-
σχοῖνος	sxoi=nos	σχοῖνος	sxoi=nos	n-s---mn-
σχέτλιε	sxe/tlie	σχέτλιος	sxe/tlios	a-s---mv-
σχήματος	sxh/matos	σχῆμα	sxh=ma	n-s---ng-
σωσίπολις	swsi/polis	σωσίπολις	swsi/polis	n-s---mn-
σωσίπολις	swsi/polis	σωσίπολις	swsi/polis	n-s---fn-
σά	sa/	σός	so/s	a-p---nn-
σά	sa/	σός	so/s	a-p---nv-
σά	sa/	σός	so/s	a-p---na-
σά	sa/	σός	so/s	a-d---fn-
σά	sa/	σός	so/s	a-d---fv-
σά	sa/	σός	so/s	a-d---fa-
σά	sa/	σός	so/s	a-s---fn-
σά	sa/	σός	so/s	a-s---fv-
σάγματος	sa/gmatos	σάγμα	sa/gma	n-s---ng-
σάκκον	sa/kkon	σάκκος	sa/kkos	n-s---ma-
σάκον	sa/kon	σάκκος	sa/kkos	n-s---ma-
σάλπιγγος	sa/lpiggos	σάλπιγξ	sa/lpigc	n-s---fg-
σάτρα	sa/tra	σάτρα	sa/tra	n-d---fn-
σάτρα	sa/tra	σάτρα	sa/tra	n-d---fv-
σάτρα	sa/tra	σάτρα	sa/tra	n-d---fa-
σάτρα	sa/tra	σάτρα	sa/tra	n-s---fn-
σάτρα	sa/tra	σάτρα	sa/tra	n-s---fv-
σάτρα	sa/tra	σάτρης	sa/trhs	n-d---mn-
σάτρα	sa/tra	σάτρης	sa/trhs	n-d---mv-
σάτρα	sa/tra	σάτρης	sa/trhs	n-d---ma-
σάτρα	sa/tra	σάτρης	sa/trhs	n-s---mv-
σάτρα	sa/tra	σάτρης	sa/trhs	n-s---mv-
σάτρα	sa/tra	σάτρης	sa/trhs	n-s---mg-
σάτρα	sa/tra	σάτρης	sa/trhs	n-s---mn-
σάφ’	sa/f'	σάφα	sa/fa	d--------
σέ	se/	σός	so/s	a-s---mv-
σέ	se/	σύ	su/	p-s----a-
σέ	se/	σύ	su/	p-s----a-
σήν	sh/n	σής	sh/s	n-s---ma-
σήν	sh/n	σός	so/s	a-s---fa-
σίγα	si/ga	σῖγος	si=gos	n-p---nn-
σίγα	si/ga	σῖγος	si=gos	n-p---nv-
σίγα	si/ga	σῖγος	si=gos	n-p---na-
σίγα	si/ga	σιγάω	siga/w	v2spma---
σίγα	si/ga	σιγάω	siga/w	v3siia---
σίζουσα	si/zousa	σίζω	si/zw	v-sppafn-
σίζουσα	si/zousa	σίζω	si/zw	v-sppafv-
σίκυον	si/kuon	σίκυος	si/kuos	n-s---ma-
σόν	so/n	σός	so/s	a-s---ma-
σόν	so/n	σός	so/s	a-s---nn-
σόν	so/n	σός	so/s	a-s---nv-
σόν	so/n	σός	so/s	a-s---na-
σύ	su/	σύ	su/	p-s----n-
σύγκλῃε	su/gklh|e	συγκλείω	sugklei/w	v2spma---
σύγκλῃε	su/gklh|e	συγκλείω	sugklei/w	v3siia---
σώφρων	sw/frwn	σώφρων	sw/frwn	n-s---mn-
σώφρων	sw/frwn	σώφρων	sw/frwn	n-s---fn-
σῖγα	si=ga	σῖγα	si=ga	d--------
σῖτος	si=tos	σῖτος	si=tos	n-s---mn-
ταδί	tadi/	ὅδε	o(/de	n-p---mn-
ταλαύρινος	talau/rinos	ταλαύρινος	talau/rinos	n-s---mn-
ταλαύρινος	talau/rinos	ταλαύρινος	talau/rinos	n-s---fn-
ταλάντοις	tala/ntois	τάλαντον	ta/lanton	n-p---nd-
ταξίαρχος	taci/arxos	ταξίαρχος	taci/arxos	n-s---mn-
ταραξικάρδιον	taracika/rdion	ταραξικάρδιος	taracika/rdios	n-s---ma-
ταραξικάρδιον	taracika/rdion	ταραξικάρδιος	taracika/rdios	n-s---fa-
ταραξικάρδιον	taracika/rdion	ταραξικάρδιος	taracika/rdios	n-s---nn-
ταραξικάρδιον	taracika/rdion	ταραξικάρδιος	taracika/rdios	n-s---nv-
ταραξικάρδιον	taracika/rdion	ταραξικάρδιος	taracika/rdios	n-s---na-
ταράξω	tara/cw	ταράσσω	tara/ssw	v1sasa---
ταράξω	tara/cw	ταράσσω	tara/ssw	v1sfia---
ταράξω	tara/cw	ταράσσω	tara/ssw	v2saim---
ταράττων	tara/ttwn	ταράσσω	tara/ssw	v-sppamn-
ταρίχει	tari/xei	τάριχοσ2	ta/rixos2	n-d---nn-
ταρίχει	tari/xei	τάριχοσ2	ta/rixos2	n-d---nv-
ταρίχει	tari/xei	τάριχοσ2	ta/rixos2	n-d---na-
ταρίχει	tari/xei	τάριχοσ2	ta/rixos2	n-s---nd-
ταρίχει	tari/xei	τάριχοσ2	ta/rixos2	n-s---nd-
ταρίχους	tari/xous	τάριχοσ1	ta/rixos1	n-p---ma-
ταρίχους	tari/xous	τάριχοσ2	ta/rixos2	n-s---ng-
τασδί	tasdi/	ὅδε	o(/de	n-p---fa-
ταυτασί	tautasi/	οὗτος	ou(=tos	n-p---fa-
ταυτηνί	tauthni/	οὗτος	ou(=tos	n-s---fa-
ταυτησί	tauthsi/	οὗτος	ou(=tos	n-s---fg-
ταυτί	tauti/	οὗτος	ou(=tos	n-p---nn-
ταυτί	tauti/	οὗτος	ou(=tos	n-p---nv-
ταυτί	tauti/	οὗτος	ou(=tos	n-p---na-
ταχυβούλοις	taxubou/lois	ταχύβουλος	taxu/boulos	n-p---md-
ταχυβούλοις	taxubou/lois	ταχύβουλος	taxu/boulos	n-p---fd-
ταχυβούλοις	taxubou/lois	ταχύβουλος	taxu/boulos	n-p---nd-
ταχέως	taxe/ws	ταχέως	taxe/ws	d--------
ταχέως	taxe/ws	ταχύς	taxu/s	x--------
ταχύ	taxu/	ταχύς	taxu/s	a-s---mv-
ταχύ	taxu/	ταχύς	taxu/s	a-s---nn-
ταχύ	taxu/	ταχύς	taxu/s	a-s---nv-
ταχύ	taxu/	ταχύς	taxu/s	a-s---na-
ταχύς	taxu/s	ταχύς	taxu/s	a-s---mn-
ταύτας	tau/tas	οὗτος	ou(=tos	n-p---fa-
ταύτας	tau/tas	οὗτος	ou(=tos	n-s---fg-
ταύτην	tau/thn	οὗτος	ou(=tos	n-s---fa-
ταῖς	tai=s	ὁ	o(	l-p---fd-
ταῦθ’	tau=q'	οὗτος	ou(=tos	n-p---nn-
ταῦθ’	tau=q'	οὗτος	ou(=tos	n-p---nv-
ταῦθ’	tau=q'	οὗτος	ou(=tos	n-p---na-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nn-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nv-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---na-
τε	te	τε	te	g--------
τεθνήξεις	teqnh/ceis	θνήσκω	qnh/skw	v2stia---
τεθνήξων	teqnh/cwn	θνήσκω	qnh/skw	v-stiamn-
τειχομάχας	teixoma/xas	τειχομάχης	teixoma/xhs	n-p---ma-
τειχομάχας	teixoma/xas	τειχομάχης	teixoma/xhs	n-s---mn-
τεκταινέσθω	tektaine/sqw	τεκταίνομαι	tektai/nomai	v3spme---
τεμάχη	tema/xh	τέμαχος	te/maxos	n-p---nn-
τεμάχη	tema/xh	τέμαχος	te/maxos	n-p---nv-
τεμάχη	tema/xh	τέμαχος	te/maxos	n-p---na-
τεμάχη	tema/xh	τέμαχος	te/maxos	n-d---nn-
τεμάχη	tema/xh	τέμαχος	te/maxos	n-d---nv-
τεμάχη	tema/xh	τέμαχος	te/maxos	n-d---na-
τερπνότατον	terpno/taton	τερπνός	terpno/s	a-s---mas
τερπνότατον	terpno/taton	τερπνός	terpno/s	a-s---nns
τερπνότατον	terpno/taton	τερπνός	terpno/s	a-s---nvs
τερπνότατον	terpno/taton	τερπνός	terpno/s	a-s---nas
τετμημένων	tetmhme/nwn	τέμνω	te/mnw	v-prpefg-
τετμημένων	tetmhme/nwn	τέμνω	te/mnw	v-prpemg-
τετμημένων	tetmhme/nwn	τέμνω	te/mnw	v-prpeng-
τετραπτερυλλίδων	tetrapterulli/dwn	τετραπτερυλλίς	tetrapterulli/s	n-p---fg-
τετραπτίλῳ	tetrapti/lw|	τετράπτιλος	tetra/ptilos	n-s---md-
τετραπτίλῳ	tetrapti/lw|	τετράπτιλος	tetra/ptilos	n-s---fd-
τετραπτίλῳ	tetrapti/lw|	τετράπτιλος	tetra/ptilos	n-s---nd-
τετρωμένον	tetrwme/non	τιτρώσκω	titrw/skw	v-srpema-
τετρωμένον	tetrwme/non	τιτρώσκω	titrw/skw	v-srpenn-
τετρωμένον	tetrwme/non	τιτρώσκω	titrw/skw	v-srpenv-
τετρωμένον	tetrwme/non	τιτρώσκω	titrw/skw	v-srpena-
τετάρτῳ	teta/rtw|	τέταρτος	te/tartos	a-s---md-
τετάρτῳ	teta/rtw|	τέταρτος	te/tartos	a-s---nd-
τευθίδος	teuqi/dos	τευθίς	teuqi/s	n-s---fg-
τεχνάζεις	texna/zeis	τεχνάζω	texna/zw	v2spia---
τηνῶθεν	thnw=qen	ἐκεῖθεν	e)kei=qen	d--------
τηνῶθεν	thnw=qen	τηνῶθεν	thnw=qen	d--------
τηρεῖν	threi=n	τηρέω	thre/w	v--pna---
τι	ti	τις	tis	p-s---nn-
τι	ti	τις	tis	p-s---nv-
τι	ti	τις	tis	p-s---na-
τιμωρήσομαι	timwrh/somai	τιμωρέω	timwre/w	v1sasm---
τιμωρήσομαι	timwrh/somai	τιμωρέω	timwre/w	v1sfim---
τιμά	tima/	τιμή	timh/	n-d---fn-
τιμά	tima/	τιμή	timh/	n-d---fv-
τιμά	tima/	τιμή	timh/	n-d---fa-
τιμά	tima/	τιμή	timh/	n-s---fn-
τιμά	tima/	τιμή	timh/	n-s---fv-
τιμήν	timh/n	τιμή	timh/	n-s---fa-
τιμῆς	timh=s	τιμάω	tima/w	v2spia---
τιμῆς	timh=s	τιμάω	tima/w	v2spia---
τιμῆς	timh=s	τιμέω	time/w	v2spia---
τιμῆς	timh=s	τιμή	timh/	n-s---fg-
τινα	tina	τις	tis	p-s---ma-
τινα	tina	τις	tis	p-s---fa-
τινα	tina	τις	tis	p-p---nn-
τινα	tina	τις	tis	p-p---nv-
τινα	tina	τις	tis	p-p---na-
τινες	tines	τις	tis	p-p---mn-
τινες	tines	τις	tis	p-p---mv-
τινες	tines	τις	tis	p-p---fn-
τινες	tines	τις	tis	p-p---fv-
τινί	tini/	τις	tis	p-s----d-
τις	tis	τις	tis	p-s---mn-
τις	tis	τις	tis	p-s---fn-
τιτθίων	titqi/wn	τιτθίον	titqi/on	n-p---ng-
τλήμονα	tlh/mona	τλήμων	tlh/mwn	n-p---nn-
τλήμονα	tlh/mona	τλήμων	tlh/mwn	n-p---nv-
τλήμονα	tlh/mona	τλήμων	tlh/mwn	n-p---na-
τλήμονα	tlh/mona	τλήμων	tlh/mwn	n-s---ma-
τλήμονα	tlh/mona	τλήμων	tlh/mwn	n-s---fa-
τοδί	todi/	ὅδε	o(/de	n-s---mg-
τοδί	todi/	ὅδε	o(/de	n-s---ng-
τοι	toi	σύ	su/	p-s----d-
τοι	toi	τοι	toi	g--------
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---na-
τοιγάρτοι	toiga/rtoi	τοιγάρ	toiga/r	g--------
τοιούτῳ	toiou/tw|	τοιοῦτος	toiou=tos	n-s---md-
τοιούτῳ	toiou/tw|	τοιοῦτος	toiou=tos	n-s---nd-
τοισδί	toisdi/	ὅδε	o(/de	n-p---md-
τοισδί	toisdi/	ὅδε	o(/de	n-p---nd-
τοιόνδε	toio/nde	τοιόσδε	toio/sde	n-s---ma-
τοιόνδε	toio/nde	τοιόσδε	toio/sde	n-s---na-
τοιόνδε	toio/nde	τοιόσδε	toio/sde	n-s---nn-
τολμήσει	tolmh/sei	τόλμησις	to/lmhsis	n-d---fn-
τολμήσει	tolmh/sei	τόλμησις	to/lmhsis	n-d---fv-
τολμήσει	tolmh/sei	τόλμησις	to/lmhsis	n-d---fa-
τολμήσει	tolmh/sei	τόλμησις	to/lmhsis	n-s---fd-
τολμήσει	tolmh/sei	τόλμησις	to/lmhsis	n-s---fd-
τολμήσει	tolmh/sei	τολμάω	tolma/w	v3sasa---
τολμήσει	tolmh/sei	τολμάω	tolma/w	v2sfim---
τολμήσει	tolmh/sei	τολμάω	tolma/w	v3sfia---
τολμήσεις	tolmh/seis	τόλμησις	to/lmhsis	n-p---fn-
τολμήσεις	tolmh/seis	τόλμησις	to/lmhsis	n-p---fv-
τολμήσεις	tolmh/seis	τόλμησις	to/lmhsis	n-p---fn-
τολμήσεις	tolmh/seis	τόλμησις	to/lmhsis	n-p---fa-
τολμήσεις	tolmh/seis	τολμάω	tolma/w	v2sasa---
τολμήσεις	tolmh/seis	τολμάω	tolma/w	v2sfia---
τολμᾷς	tolma=|s	τολμάω	tolma/w	v2spsa---
τολμᾷς	tolma=|s	τολμάω	tolma/w	v2spia---
τονθορύζοντες	tonqoru/zontes	τονθορύζω	tonqoru/zw	v-pppamn-
τονθορύζοντες	tonqoru/zontes	τονθορύζω	tonqoru/zw	v-pppamv-
τοξόται	toco/tai	τοξότης	toco/ths	n-p---mn-
τοξόται	toco/tai	τοξότης	toco/ths	n-p---mv-
τοξόται	toco/tai	τοξότης	toco/ths	n-s---md-
τοξότας	toco/tas	τοξότης	toco/ths	n-p---ma-
τοξότας	toco/tas	τοξότης	toco/ths	n-s---mn-
τοξότου	toco/tou	τοξότης	toco/ths	n-s---mg-
τοσαύτην	tosau/thn	τοσοῦτος	tosou=tos	n-s---fa-
τοσαῦτα	tosau=ta	τοσοῦτος	tosou=tos	n-p---nn-
τοσαῦτα	tosau=ta	τοσοῦτος	tosou=tos	n-p---nv-
τοσαῦτα	tosau=ta	τοσοῦτος	tosou=tos	n-p---na-
τοσόνδ’	toso/nd'	τοσόσδε	toso/sde	n-s---ma-
τοσόνδ’	toso/nd'	τοσόσδε	toso/sde	n-s---na-
τοσόνδ’	toso/nd'	τοσόσδε	toso/sde	n-s---nn-
του	tou	τις	tis	p-s----g-
τουτονί	toutoni/	οὗτος	ou(=tos	n-s---ma-
τουτουί	toutoui/	οὗτος	ou(=tos	n-s---mg-
τουτί	touti/	οὗτος	ou(=tos	n-s---nn-
τουτί	touti/	οὗτος	ou(=tos	n-s---nv-
τουτί	touti/	οὗτος	ou(=tos	n-s---na-
τουτῳί	toutw|i/	οὗτος	ou(=tos	n-s---md-
τοὐλατῆρος	tou)lath=ros	ἐλατήρ	e)lath/r	n-s---mg-
τοὐμόν	tou)mo/n	ἐμός	e)mo/s	a-s---ma-
τοὐμόν	tou)mo/n	ἐμός	e)mo/s	a-s---nn-
τοὐμόν	tou)mo/n	ἐμός	e)mo/s	a-s---nv-
τοὐμόν	tou)mo/n	ἐμός	e)mo/s	a-s---na-
τοὐξάλειπτρον	tou)ca/leiptron	ἐξάλειπτρον	e)ca/leiptron	n-s---nn-
τοὐξάλειπτρον	tou)ca/leiptron	ἐξάλειπτρον	e)ca/leiptron	n-s---nv-
τοὐξάλειπτρον	tou)ca/leiptron	ἐξάλειπτρον	e)ca/leiptron	n-s---na-
τοὐπίξηνον	tou)pi/chnon	ἐπίξηνον	e)pi/chnon	n-s---nn-
τοὐπίξηνον	tou)pi/chnon	ἐπίξηνον	e)pi/chnon	n-s---nv-
τοὐπίξηνον	tou)pi/chnon	ἐπίξηνον	e)pi/chnon	n-s---na-
τοὔλαιον	tou)/laion	ἔλαιον	e)/laion	n-s---nn-
τοὔλαιον	tou)/laion	ἔλαιον	e)/laion	n-s---nv-
τοὔλαιον	tou)/laion	ἔλαιον	e)/laion	n-s---na-
τοὔλαιον	tou)/laion	ἔλαιος	e)/laios	n-s---ma-
τοὔλυτρον	tou)/lutron	ἔλυτρον	e)/lutron	n-s---nn-
τοὔλυτρον	tou)/lutron	ἔλυτρον	e)/lutron	n-s---nv-
τοὔλυτρον	tou)/lutron	ἔλυτρον	e)/lutron	n-s---na-
τοὔπος	tou)/pos	ἔπος	e)/pos	n-s---nn-
τοὔπος	tou)/pos	ἔπος	e)/pos	n-s---nv-
τοὔπος	tou)/pos	ἔπος	e)/pos	n-s---na-
τοὔργον	tou)/rgon	ἔργνυμι	e)/rgnumi	v-sppamv-
τοὔργον	tou)/rgon	ἔργνυμι	e)/rgnumi	v-sppann-
τοὔργον	tou)/rgon	ἔργνυμι	e)/rgnumi	v-sppanv-
τοὔργον	tou)/rgon	ἔργνυμι	e)/rgnumi	v-sppana-
τοὔργον	tou)/rgon	ἔργον	e)/rgon	n-s---nn-
τοὔργον	tou)/rgon	ἔργον	e)/rgon	n-s---nv-
τοὔργον	tou)/rgon	ἔργον	e)/rgon	n-s---na-
τοί	toi/	ὁ	o(	l-p---mn-
τοί	toi/	σύ	su/	p-s----d-
τοί	toi/	σύ	su/	p-s----d-
τοί	toi/	τοι	toi	g--------
τοίνυν	toi/nun	τοίνυν	toi/nun	g--------
τοίχοις	toi/xois	τοῖχος	toi=xos	n-p---md-
τούς	tou/s	ὁ	o(	l-p---ma-
τούσδ’	tou/sd'	ὅδε	o(/de	n-p---ma-
τούτοις	tou/tois	οὗτος	ou(=tos	n-p---md-
τούτοις	tou/tois	οὗτος	ou(=tos	n-p---nd-
τούτοισιν	tou/toisin	οὗτος	ou(=tos	n-p---md-
τούτοισιν	tou/toisin	οὗτος	ou(=tos	n-p---nd-
τούτου	tou/tou	οὗτος	ou(=tos	n-s---mg-
τούτου	tou/tou	οὗτος	ou(=tos	n-s---ng-
τούτους	tou/tous	οὗτος	ou(=tos	n-p---ma-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---mg-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---fg-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---ng-
τοῖν	toi=n	ὁ	o(	l-d---fg-
τοῖν	toi=n	ὁ	o(	l-d---fd-
τοῖν	toi=n	ὁ	o(	l-d---mg-
τοῖν	toi=n	ὁ	o(	l-d---md-
τοῖν	toi=n	ὁ	o(	l-d---ng-
τοῖν	toi=n	ὁ	o(	l-d---nd-
τοῖς	toi=s	ὁ	o(	l-p---md-
τοῖς	toi=s	ὁ	o(	l-p---nd-
τοῖσδε	toi=sde	ὅδε	o(/de	n-p---md-
τοῖσδε	toi=sde	ὅδε	o(/de	n-p---nd-
τοῖσι	toi=si	ὁ	o(	l-p---md-
τοῖσι	toi=si	ὁ	o(	l-p---nd-
τοῖσι	toi=si	τίς	ti/s	n-p----d-
τοῖσιν	toi=sin	ὁ	o(	l-p---md-
τοῖσιν	toi=sin	ὁ	o(	l-p---nd-
τοῖσιν	toi=sin	τίς	ti/s	n-p----d-
τοῦ	tou=	ὁ	o(	l-s---mg-
τοῦ	tou=	ὁ	o(	l-s---ng-
τοῦ	tou=	τίς	ti/s	n-s----g-
τοῦ	tou=	τις	tis	p-s----g-
τοῦδε	tou=de	ὅδε	o(/de	n-s---mg-
τοῦδε	tou=de	ὅδε	o(/de	n-s---ng-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nn-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nv-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---na-
τοῦτον	tou=ton	οὗτος	ou(=tos	n-s---ma-
τοῦτό	tou=to/	οὗτος	ou(=tos	n-s---nn-
τοῦτό	tou=to/	οὗτος	ou(=tos	n-s---nv-
τοῦτό	tou=to/	οὗτος	ou(=tos	n-s---na-
τραγήμαθ’	tragh/maq'	τράγημα	tra/ghma	n-p---nn-
τραγήμαθ’	tragh/maq'	τράγημα	tra/ghma	n-p---nv-
τραγήμαθ’	tragh/maq'	τράγημα	tra/ghma	n-p---na-
τραγήμαθ’	tragh/maq'	τράγημα	tra/ghma	n-s---nd-
