Αἰσχύνης	*ai)sxu/nhs	αἰσχύνη	ai)sxu/nh	n-s---fg-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-pappnv-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-pappna-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-sappma-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-sappmd-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-sappnd-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-dappmn-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-dappmv-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-dappma-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-dappnn-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-dappnv-
ταφέντ’	tafe/nt'	θάπτω	qa/ptw	v-dappna-
ταφῇ	tafh=|	θάπτω	qa/ptw	v3sasp---
ταφῇ	tafh=|	ταφεύς	tafeu/s	n-s---md-
ταφῇ	tafh=|	ταφή	tafh/	n-s---fd-
ταχυρρόθους	taxurro/qous	ταχύρροθος	taxu/rroqos	n-p---ma-
ταχυρρόθους	taxurro/qous	ταχύρροθος	taxu/rroqos	n-p---fa-
ταὐτοῦ	tau)tou=	ταὐτός	tau)to/s	a-s---mg-
ταὐτοῦ	tau)tou=	ταὐτός	tau)to/s	a-s---ng-
ταύτην	tau/thn	οὗτος	ou(=tos	n-s---fa-
ταῖς	tai=s	ὁ	o(	l-p---fd-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nn-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nv-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---na-
τε	te	τε	te	g--------
τεθηγμένον	teqhgme/non	θήγω	qh/gw	v-srpema-
τεθηγμένον	teqhgme/non	θήγω	qh/gw	v-srpenn-
τεθηγμένον	teqhgme/non	θήγω	qh/gw	v-srpenv-
τεθηγμένον	teqhgme/non	θήγω	qh/gw	v-srpena-
τεθνηκόσι	teqnhko/si	θνήσκω	qnh/skw	v-prpamd-
τεθνηκόσι	teqnhko/si	θνήσκω	qnh/skw	v-prpand-
τεθνᾶσιν	teqna=sin	θνήσκω	qnh/skw	v3pria---
τεθραμμέναι	teqramme/nai	τρέφω	tre/fw	v-prpefn-
τεθραμμέναι	teqramme/nai	τρέφω	tre/fw	v-prpefv-
τεθραμμέναι	teqramme/nai	τρέφω	tre/fw	v-srpefd-
τειχέων	teixe/wn	τεῖχος	tei=xos	n-p---ng-
τειχέων	teixe/wn	τειχέω	teixe/w	v-sppamn-
τεκνογόνοι	teknogo/noi	τεκνογόνος	teknogo/nos	n-p---mn-
τεκνογόνοι	teknogo/noi	τεκνογόνος	teknogo/nos	n-p---mv-
τεκνογόνοι	teknogo/noi	τεκνογόνος	teknogo/nos	n-p---fn-
τεκνογόνοι	teknogo/noi	τεκνογόνος	teknogo/nos	n-p---fv-
τεκνωθῇ	teknwqh=|	τεκνόω	tekno/w	v3sasp---
τεκούσῃ	tekou/sh|	τίκτω	ti/ktw	v-sapafd-
τεκούσῃ	tekou/sh|	τίκτω	ti/ktw	v-sfpafd-
τεκοῦσα	tekou=sa	τίκτω	ti/ktw	v-sapafn-
τεκοῦσα	tekou=sa	τίκτω	ti/ktw	v-sapafv-
τεκοῦσα	tekou=sa	τίκτω	ti/ktw	v-sfpafn-
τεκοῦσα	tekou=sa	τίκτω	ti/ktw	v-sfpafv-
τεκοῦσιν	tekou=sin	τίκτω	ti/ktw	v-papamd-
τεκοῦσιν	tekou=sin	τίκτω	ti/ktw	v-papand-
τεκοῦσιν	tekou=sin	τίκτω	ti/ktw	v-pfpamd-
τεκοῦσιν	tekou=sin	τίκτω	ti/ktw	v-pfpand-
τεκοῦσιν	tekou=sin	τίκτω	ti/ktw	v3pfia---
τελειᾶν	teleia=n	τέλειος	te/leios	a-p---mg-
τελειᾶν	teleia=n	τέλειος	te/leios	a-p---fg-
τελεσφόροι	telesfo/roi	τελεσφόρος	telesfo/ros	n-p---mn-
τελεσφόροι	telesfo/roi	τελεσφόρος	telesfo/ros	n-p---mv-
τελεσφόροι	telesfo/roi	τελεσφόρος	telesfo/ros	n-p---fn-
τελεσφόροι	telesfo/roi	τελεσφόρος	telesfo/ros	n-p---fv-
τελευταῖαι	teleutai=ai	τελευταῖος	teleutai=os	a-p---fn-
τελευταῖαι	teleutai=ai	τελευταῖος	teleutai=os	a-p---fv-
τελευτᾷ	teleuta=|	τελευτάω	teleuta/w	v2spse---
τελευτᾷ	teleuta=|	τελευτάω	teleuta/w	v2spie---
τελευτᾷ	teleuta=|	τελευτάω	teleuta/w	v3spsa---
τελευτᾷ	teleuta=|	τελευτάω	teleuta/w	v3spia---
τελευτᾷ	teleuta=|	τελευτή	teleuth/	n-s---fd-
τελευτῆσαι	teleuth=sai	τελευτάω	teleuta/w	v--ana---
τελευτῇ	teleuth=|	τελευτάω	teleuta/w	v2spse---
τελευτῇ	teleuth=|	τελευτάω	teleuta/w	v2spie---
τελευτῇ	teleuth=|	τελευτάω	teleuta/w	v3spsa---
τελευτῇ	teleuth=|	τελευτάω	teleuta/w	v3spia---
τελευτῇ	teleuth=|	τελευτάω	teleuta/w	v2spse---
τελευτῇ	teleuth=|	τελευτάω	teleuta/w	v2spie---
τελευτῇ	teleuth=|	τελευτάω	teleuta/w	v3spsa---
τελευτῇ	teleuth=|	τελευτή	teleuth/	n-s---fd-
τελεία	telei/a	τέλειος	te/leios	a-d---fn-
τελεία	telei/a	τέλειος	te/leios	a-d---fv-
τελεία	telei/a	τέλειος	te/leios	a-d---fa-
τελεία	telei/a	τέλειος	te/leios	a-s---fn-
τελεία	telei/a	τέλειος	te/leios	a-s---fv-
τελεῖ	telei=	τέλλω	te/llw	v2sfim---
τελεῖ	telei=	τέλλω	te/llw	v3sfia---
τελεῖ	telei=	τελέω	tele/w	v2sfim---
τελεῖ	telei=	τελέω	tele/w	v3sfia---
τελεῖ	telei=	τελέω	tele/w	v2spie---
τελεῖ	telei=	τελέω	tele/w	v3spia---
τελεῖθ’	telei=q'	τέλλω	te/llw	v2pfia---
τελεῖθ’	telei=q'	τέλλω	te/llw	v3sfim---
τελεῖθ’	telei=q'	τελέω	tele/w	v3spoe---
τελεῖθ’	telei=q'	τελέω	tele/w	v2pfia---
τελεῖθ’	telei=q'	τελέω	tele/w	v2ppma---
τελεῖθ’	telei=q'	τελέω	tele/w	v2ppoa---
τελεῖθ’	telei=q'	τελέω	tele/w	v2ppia---
τελεῖθ’	telei=q'	τελέω	tele/w	v3sfim---
τελεῖθ’	telei=q'	τελέω	tele/w	v3spie---
τελεῖθ’	telei=q'	τελέω	tele/w	v3siie---
τελεῖθ’	telei=q'	τελέω	tele/w	v2piia---
τελεῖν	telei=n	τέλλω	te/llw	v--fna---
τελεῖν	telei=n	τελέω	tele/w	v--fna---
τελεῖν	telei=n	τελέω	tele/w	v--pna---
τελέσαι	tele/sai	τελέω	tele/w	v--ana---
τελέσαι	tele/sai	τελέω	tele/w	v3saoa---
τελέσῃ	tele/sh|	τέλεσις	te/lesis	n-s---fd-
τελέσῃ	tele/sh|	τελέω	tele/w	v2sasm---
τελέσῃ	tele/sh|	τελέω	tele/w	v3sasa---
τελέσῃ	tele/sh|	τελέω	tele/w	v2sfim---
τεταγμένος	tetagme/nos	τάσσω	ta/ssw	v-srpemn-
τετραμμένου	tetramme/nou	τρέπω	tre/pw	v-srpemg-
τετραμμένου	tetramme/nou	τρέπω	tre/pw	v-srpeng-
τετρωμένους	tetrwme/nous	τετράζω	tetra/zw	v-pfpmma-
τετρωμένους	tetrwme/nous	τιτρώσκω	titrw/skw	v-prpema-
τετυγμένον	tetugme/non	τεύχω	teu/xw	v-srpema-
τετυγμένον	tetugme/non	τεύχω	teu/xw	v-srpenn-
τετυγμένον	tetugme/non	τεύχω	teu/xw	v-srpenv-
τετυγμένον	tetugme/non	τεύχω	teu/xw	v-srpena-
τετυμμένοι	tetumme/noi	τύφω	tu/fw	v-prpemn-
τετυμμένοι	tetumme/noi	τύφω	tu/fw	v-prpemv-
τετυμμένοι	tetumme/noi	τύπτω	tu/ptw	v-prpemn-
τετυμμένοι	tetumme/noi	τύπτω	tu/ptw	v-prpemv-
τευχηστήν	teuxhsth/n	τευχηστήρ	teuxhsth/r	n-s---ma-
τευχηστήν	teuxhsth/n	τευχηστής	teuxhsth/s	n-s---ma-
τεάν	tea/n	τεός	teo/s	a-s---fa-
τείνει	tei/nei	τείνω	tei/nw	v3sasa---
τείνει	tei/nei	τείνω	tei/nw	v2spie---
τείνει	tei/nei	τείνω	tei/nw	v3spia---
τείνουσι	tei/nousi	τείνω	tei/nw	v3pasa---
τείνουσι	tei/nousi	τείνω	tei/nw	v-pppamd-
τείνουσι	tei/nousi	τείνω	tei/nw	v-pppand-
τείνουσι	tei/nousi	τείνω	tei/nw	v3ppia---
τείσασθαι	tei/sasqai	τίνω	ti/nw	v--anm---
τεύξει	teu/cei	τεύχω	teu/xw	v3sasa---
τεύξει	teu/cei	τεύχω	teu/xw	v2sfim---
τεύξει	teu/cei	τεύχω	teu/xw	v3sfia---
τεύξει	teu/cei	τεῦξις	teu=cis	n-d---fn-
τεύξει	teu/cei	τεῦξις	teu=cis	n-d---fv-
τεύξει	teu/cei	τεῦξις	teu=cis	n-d---fa-
τεύξει	teu/cei	τεῦξις	teu=cis	n-s---fd-
τεύξει	teu/cei	τεῦξις	teu=cis	n-s---fd-
τεύξει	teu/cei	τυγχάνω	tugxa/nw	v2sfim---
τι	ti	τις	tis	p-s---nn-
τι	ti	τις	tis	p-s---nv-
τι	ti	τις	tis	p-s---na-
τιθείς	tiqei/s	τίθημι	ti/qhmi	v-sppamn-
τιθείς	tiqei/s	τίθημι	ti/qhmi	v-sppamv-
τιθῇς	tiqh=|s	τίθημι	ti/qhmi	v2spsa---
τιθῇς	tiqh=|s	τίθημι	ti/qhmi	v2spsa---
τιθῇς	tiqh=|s	τιθή	tiqh/	n-p---fd-
τιθῇς	tiqh=|s	τιθός	tiqo/s	a-p---fd-
τιμιώτατον	timiw/taton	τίμιος	ti/mios	a-s---mas
τιμιώτατον	timiw/taton	τίμιος	ti/mios	a-s---nns
τιμιώτατον	timiw/taton	τίμιος	ti/mios	a-s---nvs
τιμιώτατον	timiw/taton	τίμιος	ti/mios	a-s---nas
τιμιώτατον	timiw/taton	τίμιος	ti/mios	a-s---mas
τιμιώτατον	timiw/taton	τίμιος	ti/mios	a-s---nns
τιμιώτατον	timiw/taton	τίμιος	ti/mios	a-s---nvs
τιμιώτατον	timiw/taton	τίμιος	ti/mios	a-s---nas
τιμάς	tima/s	τιμή	timh/	n-p---fa-
τιμήσεις	timh/seis	τίμησις	ti/mhsis	n-p---fn-
τιμήσεις	timh/seis	τίμησις	ti/mhsis	n-p---fv-
τιμήσεις	timh/seis	τίμησις	ti/mhsis	n-p---fn-
τιμήσεις	timh/seis	τίμησις	ti/mhsis	n-p---fa-
τιμήσεις	timh/seis	τιμάω	tima/w	v2sasa---
τιμήσεις	timh/seis	τιμάω	tima/w	v2sfia---
τιμήσεις	timh/seis	τιμέω	time/w	v2sasa---
τιμήσεις	timh/seis	τιμέω	time/w	v2sfia---
τιμᾶν	tima=n	τιμάω	tima/w	v-sppamv-
τιμᾶν	tima=n	τιμάω	tima/w	v-sppann-
τιμᾶν	tima=n	τιμάω	tima/w	v-sppanv-
τιμᾶν	tima=n	τιμάω	tima/w	v-sppana-
τιμᾶν	tima=n	τιμάω	tima/w	v-sppamn-
τιμᾶν	tima=n	τιμάω	tima/w	v--pna---
τιμᾶν	tima=n	τιμάω	tima/w	v--pna---
τιμᾶν	tima=n	τιμή	timh/	n-p---fg-
τιμᾷ	tima=|	τιμάω	tima/w	v2spse---
τιμᾷ	tima=|	τιμάω	tima/w	v2spie---
τιμᾷ	tima=|	τιμάω	tima/w	v3spsa---
τιμᾷ	tima=|	τιμάω	tima/w	v3spia---
τιμᾷ	tima=|	τιμή	timh/	n-s---fd-
τιμῶντα	timw=nta	τιμάω	tima/w	v-pppann-
τιμῶντα	timw=nta	τιμάω	tima/w	v-pppanv-
τιμῶντα	timw=nta	τιμάω	tima/w	v-pppana-
τιμῶντα	timw=nta	τιμάω	tima/w	v-sppama-
τιμῶντα	timw=nta	τιμόω	timo/w	v-pppann-
τιμῶντα	timw=nta	τιμόω	timo/w	v-pppanv-
τιμῶντα	timw=nta	τιμόω	timo/w	v-pppana-
τιμῶντα	timw=nta	τιμόω	timo/w	v-sppama-
τινα	tina	τις	tis	p-s---ma-
τινα	tina	τις	tis	p-s---fa-
τινα	tina	τις	tis	p-p---nn-
τινα	tina	τις	tis	p-p---nv-
τινα	tina	τις	tis	p-p---na-
τινί	tini/	τις	tis	p-s----d-
τις	tis	τις	tis	p-s---mn-
τις	tis	τις	tis	p-s---fn-
τλάμον’	tla/mon'	τλήμων	tlh/mwn	n-s---ma-
τλάμον’	tla/mon'	τλήμων	tlh/mwn	n-s---fa-
τλάμον’	tla/mon'	τλήμων	tlh/mwn	n-s---md-
τλάμον’	tla/mon'	τλήμων	tlh/mwn	n-s---fd-
τλάμον’	tla/mon'	τλήμων	tlh/mwn	n-d---mn-
τλάμον’	tla/mon'	τλήμων	tlh/mwn	n-d---mv-
τλάμον’	tla/mon'	τλήμων	tlh/mwn	n-d---ma-
τλάμον’	tla/mon'	τλήμων	tlh/mwn	n-d---fn-
τλάμον’	tla/mon'	τλήμων	tlh/mwn	n-d---fv-
τλάμον’	tla/mon'	τλήμων	tlh/mwn	n-d---fa-
τοι	toi	σύ	su/	p-s----d-
τοι	toi	τοι	toi	g--------
τοιαῦθ’	toiau=q'	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦθ’	toiau=q'	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦθ’	toiau=q'	τοιοῦτος	toiou=tos	n-p---na-
τοιαῦθ’	toiau=q'	τοιοῦτος	toiou=tos	n-p---fn-
τοιαῦθ’	toiau=q'	τοιοῦτος	toiou=tos	n-p---fv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---na-
τοιαῦτά	toiau=ta/	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦτά	toiau=ta/	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦτά	toiau=ta/	τοιοῦτος	toiou=tos	n-p---na-
τοιαῦτ’	toiau=t'	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦτ’	toiau=t'	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦτ’	toiau=t'	τοιοῦτος	toiou=tos	n-p---na-
τοιαῦτ’	toiau=t'	τοιοῦτος	toiou=tos	n-p---fn-
τοιαῦτ’	toiau=t'	τοιοῦτος	toiou=tos	n-p---fv-
τοιγάρ	toiga/r	τοιγάρ	toiga/r	g--------
τοιοῦδε	toiou=de	τοιόσδε	toio/sde	n-s---mg-
τοιοῦδε	toiou=de	τοιόσδε	toio/sde	n-s---ng-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-p---na-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-p---nn-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-d---fa-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-d---fn-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-d---fv-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-s---fn-
τοιόσδ’	toio/sd'	τοιόσδε	toio/sde	n-s---mn-
τοιῶνδε	toiw=nde	τοιόσδε	toio/sde	n-p---fg-
τοιῷδε	toiw=|de	τοιόσδε	toio/sde	n-s---md-
τοιῷδε	toiw=|de	τοιόσδε	toio/sde	n-s---nd-
τολμήσω	tolmh/sw	τολμάω	tolma/w	v1sasa---
τολμήσω	tolmh/sw	τολμάω	tolma/w	v1sfia---
τολμήσω	tolmh/sw	τολμάω	tolma/w	v2saim---
τοσόνδ’	toso/nd'	τοσόσδε	toso/sde	n-s---ma-
τοσόνδ’	toso/nd'	τοσόσδε	toso/sde	n-s---na-
τοσόνδ’	toso/nd'	τοσόσδε	toso/sde	n-s---nn-
τοὐπιτίμιον	tou)piti/mion	ἐπιτίμιον	e)piti/mion	n-s---nn-
τοὐπιτίμιον	tou)piti/mion	ἐπιτίμιον	e)piti/mion	n-s---nv-
τοὐπιτίμιον	tou)piti/mion	ἐπιτίμιον	e)piti/mion	n-s---na-
τοὐπιτίμιον	tou)piti/mion	ἐπιτίμιος	e)piti/mios	a-s---ma-
τοὐπιτίμιον	tou)piti/mion	ἐπιτίμιος	e)piti/mios	a-s---nn-
τοὐπιτίμιον	tou)piti/mion	ἐπιτίμιος	e)piti/mios	a-s---nv-
τοὐπιτίμιον	tou)piti/mion	ἐπιτίμιος	e)piti/mios	a-s---na-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημα	e)pi/shma	n-s---nn-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημα	e)pi/shma	n-s---nv-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημα	e)pi/shma	n-s---na-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημον	e)pi/shmon	n-p---nn-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημον	e)pi/shmon	n-p---nv-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημον	e)pi/shmon	n-p---na-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημος	e)pi/shmos	n-p---nn-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημος	e)pi/shmos	n-p---nv-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημος	e)pi/shmos	n-p---na-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημος	e)pi/shmos	n-s---mv-
τοὐπίσημ’	tou)pi/shm'	ἐπίσημος	e)pi/shmos	n-s---fv-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---nn-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---nv-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---na-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---nn-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---nv-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---na-
τοὔνομ’	tou)/nom'	ὄνομαι	o)/nomai	v1spie---
τοὔπος	tou)/pos	ἔπος	e)/pos	n-s---nn-
τοὔπος	tou)/pos	ἔπος	e)/pos	n-s---nv-
τοὔπος	tou)/pos	ἔπος	e)/pos	n-s---na-
τοί	toi/	ὁ	o(	l-p---mn-
τοί	toi/	σύ	su/	p-s----d-
τοί	toi/	σύ	su/	p-s----d-
τοί	toi/	τοι	toi	g--------
τούς	tou/s	ὁ	o(	l-p---ma-
τούσδε	tou/sde	ὅδε	o(/de	n-p---ma-
τούσδ’	tou/sd'	ὅδε	o(/de	n-p---ma-
τούτοις	tou/tois	οὗτος	ou(=tos	n-p---md-
τούτοις	tou/tois	οὗτος	ou(=tos	n-p---nd-
τούτου	tou/tou	οὗτος	ou(=tos	n-s---mg-
τούτου	tou/tou	οὗτος	ou(=tos	n-s---ng-
τούτῳ	tou/tw|	οὗτος	ou(=tos	n-s---md-
τούτῳ	tou/tw|	οὗτος	ou(=tos	n-s---nd-
τοῖνδε	toi=nde	ὅδε	o(/de	n-d---mg-
τοῖνδε	toi=nde	ὅδε	o(/de	n-d---md-
τοῖνδε	toi=nde	ὅδε	o(/de	n-d---ng-
τοῖνδε	toi=nde	ὅδε	o(/de	n-d---nd-
τοῖον	toi=on	τοῖος	toi=os	a-s---ma-
τοῖον	toi=on	τοῖος	toi=os	a-s---nn-
τοῖον	toi=on	τοῖος	toi=os	a-s---nv-
τοῖον	toi=on	τοῖος	toi=os	a-s---na-
τοῖς	toi=s	ὁ	o(	l-p---md-
τοῖς	toi=s	ὁ	o(	l-p---nd-
τοῖσδε	toi=sde	ὅδε	o(/de	n-p---md-
τοῖσδε	toi=sde	ὅδε	o(/de	n-p---nd-
τοῖσδ’	toi=sd'	ὅδε	o(/de	n-p---md-
τοῖσδ’	toi=sd'	ὅδε	o(/de	n-p---nd-
τοῖσι	toi=si	ὁ	o(	l-p---md-
τοῖσι	toi=si	ὁ	o(	l-p---nd-
τοῖσι	toi=si	τίς	ti/s	n-p----d-
τοῦ	tou=	ὁ	o(	l-s---mg-
τοῦ	tou=	ὁ	o(	l-s---ng-
τοῦ	tou=	τίς	ti/s	n-s----g-
τοῦ	tou=	τις	tis	p-s----g-
τοῦδε	tou=de	ὅδε	o(/de	n-s---mg-
τοῦδε	tou=de	ὅδε	o(/de	n-s---ng-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nn-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nv-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---na-
τοῦτον	tou=ton	οὗτος	ou(=tos	n-s---ma-
τραχύς	traxu/s	τραχύς	traxu/s	a-s---mn-
τρεῖς	trei=s	τρέω	tre/w	v2spia---
τρεῖς	trei=s	τρέω	tre/w	v2siia---
τρεῖς	trei=s	τρεῖς	trei=s	m-p---mn-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---mv-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---ma-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fn-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fv-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fa-
τριπάλτων	tripa/ltwn	τρίπαλτος	tri/paltos	n-p---mg-
τριπάλτων	tripa/ltwn	τρίπαλτος	tri/paltos	n-p---fg-
τριπάλτων	tripa/ltwn	τρίπαλτος	tri/paltos	n-p---ng-
τριχός	trixo/s	θρίξ	qri/c	n-s---fg-
τριχώματος	trixw/matos	τρίχωμα	tri/xwma	n-s---ng-
τροπαίᾳ	tropai/a|	τροπαία	tropai/a	n-s---fd-
τροπαίᾳ	tropai/a|	τροπαῖος	tropai=os	a-s---fd-
τροπαῖα	tropai=a	τροπαῖος	tropai=os	a-p---nn-
τροπαῖα	tropai=a	τροπαῖος	tropai=os	a-p---nv-
τροπαῖα	tropai=a	τροπαῖος	tropai=os	a-p---na-
τροπαῖον	tropai=on	τροπαῖος	tropai=os	a-s---ma-
τροπαῖον	tropai=on	τροπαῖος	tropai=os	a-s---nn-
τροπαῖον	tropai=on	τροπαῖος	tropai=os	a-s---nv-
τροπαῖον	tropai=on	τροπαῖος	tropai=os	a-s---na-
τροφαῖσιν	trofai=sin	τροφή	trofh/	n-p---fd-
τροφεῖα	trofei=a	τροφεῖα	trofei=a	n-p---nn-
τροφεῖα	trofei=a	τροφεῖα	trofei=a	n-p---nv-
τροφεῖα	trofei=a	τροφεῖα	trofei=a	n-p---na-
τροφεῖα	trofei=a	τροφεῖον	trofei=on	n-p---nn-
τροφεῖα	trofei=a	τροφεῖον	trofei=on	n-p---nv-
τροφεῖα	trofei=a	τροφεῖον	trofei=on	n-p---na-
τροφάς	trofa/s	τροφή	trofh/	n-p---fa-
τροφᾶς	trofa=s	τροφεύς	trofeu/s	n-p---ma-
τροφᾶς	trofa=s	τροφή	trofh/	n-s---fg-
τροφῷ	trofw=|	τροφός	trofo/s	n-s---md-
τροφῷ	trofw=|	τροφός	trofo/s	n-s---fd-
τράχυν’	tra/xun'	τραχύνω	traxu/nw	v2spma---
τράχυν’	tra/xun'	τραχύνω	traxu/nw	v2samm---
τράχυν’	tra/xun'	τραχύνω	traxu/nw	v1saia---
τράχυν’	tra/xun'	τραχύνω	traxu/nw	v3siia---
τράχυν’	tra/xun'	τραχύνω	traxu/nw	v3saia---
τρέμω	tre/mw	τρέμω	tre/mw	v1spsa---
τρέμω	tre/mw	τρέμω	tre/mw	v1spia---
τρέσαιμ’	tre/saim'	τρέω	tre/w	v1saoa---
τρέσας	tre/sas	τρέω	tre/w	v-sapamn-
τρέσας	tre/sas	τρέω	tre/w	v-sapamv-
τρέσας	tre/sas	τρέω	tre/w	v2saia---
τρέψον	tre/yon	τρέπω	tre/pw	v2sama---
τρέψον	tre/yon	τρέπω	tre/pw	v-sfpamv-
τρέψον	tre/yon	τρέπω	tre/pw	v-sfpann-
τρέψον	tre/yon	τρέπω	tre/pw	v-sfpanv-
τρέψον	tre/yon	τρέπω	tre/pw	v-sfpana-
τρέω	tre/w	τρέω	tre/w	v1spsa---
τρέω	tre/w	τρέω	tre/w	v1spia---
τρίς	tri/s	τρίς	tri/s	d--------
τρίτον	tri/ton	τρίτος	tri/tos	a-s---ma-
τρίτον	tri/ton	τρίτος	tri/tos	a-s---nn-
τρίτον	tri/ton	τρίτος	tri/tos	a-s---nv-
τρίτον	tri/ton	τρίτος	tri/tos	a-s---na-
τρίτος	tri/tos	τρίτος	tri/tos	a-s---mn-
τρίτῳ	tri/tw|	τρίτος	tri/tos	a-s---md-
τρίτῳ	tri/tw|	τρίτος	tri/tos	a-s---nd-
τρίχαλον	tri/xalon	τρίχαλος	tri/xalos	n-s---ma-
τρίχαλον	tri/xalon	τρίχαλος	tri/xalos	n-s---fa-
τρίχαλον	tri/xalon	τρίχαλος	tri/xalos	n-s---nn-
τρίχαλον	tri/xalon	τρίχαλος	tri/xalos	n-s---nv-
τρίχαλον	tri/xalon	τρίχαλος	tri/xalos	n-s---na-
τρόπον	tro/pon	τρόπος	tro/pos	n-s---ma-
τρόπῳ	tro/pw|	τρόπος	tro/pos	n-s---md-
τυγχάνουσ’	tugxa/nous'	τυγχάνω	tugxa/nw	v-sppafn-
τυγχάνουσ’	tugxa/nous'	τυγχάνω	tugxa/nw	v-sppafv-
τυγχάνουσ’	tugxa/nous'	τυγχάνω	tugxa/nw	v-pppamd-
τυγχάνουσ’	tugxa/nous'	τυγχάνω	tugxa/nw	v-pppand-
τυγχάνουσ’	tugxa/nous'	τυγχάνω	tugxa/nw	v3ppia---
τυγχάνουσ’	tugxa/nous'	τυγχάνω	tugxa/nw	v-pppafn-
τυγχάνουσ’	tugxa/nous'	τυγχάνω	tugxa/nw	v-pppafv-
τυμβοχόα	tumboxo/a	τυμβοχόη	tumboxo/h	n-d---fn-
τυμβοχόα	tumboxo/a	τυμβοχόη	tumboxo/h	n-d---fv-
τυμβοχόα	tumboxo/a	τυμβοχόη	tumboxo/h	n-d---fa-
τυμβοχόα	tumboxo/a	τυμβοχόη	tumboxo/h	n-s---fn-
τυμβοχόα	tumboxo/a	τυμβοχόη	tumboxo/h	n-s---fv-
τυμβοχόα	tumboxo/a	τυμβοχόος	tumboxo/os	n-p---nn-
τυμβοχόα	tumboxo/a	τυμβοχόος	tumboxo/os	n-p---nv-
τυμβοχόα	tumboxo/a	τυμβοχόος	tumboxo/os	n-p---na-
τυχεῖν	tuxei=n	τυγχάνω	tugxa/nw	v--ana---
τυχών	tuxw/n	τυγχάνω	tugxa/nw	v-sapamn-
τἀκ	ta)k	ἐκ	e)k	r--------
τἀκεῖθεν	ta)kei=qen	ἐκεῖθεν	e)kei=qen	d--------
τἀξευρήματα	ta)ceurh/mata	ἐξεύρημα	e)ceu/rhma	n-p---nn-
τἀξευρήματα	ta)ceurh/mata	ἐξεύρημα	e)ceu/rhma	n-p---nv-
τἀξευρήματα	ta)ceurh/mata	ἐξεύρημα	e)ceu/rhma	n-p---na-
τἄν	ta)/n	ἄν1	a)/n1	g--------
τἄν	ta)/n	ἄν2	a)/n2	c--------
τἄν	ta)/n	ἀνά	a)na/	r--------
τἄν	ta)/n	ἐάν	e)a/n	c--------
τἄν	ta)/n	ἐν	e)n	r--------
τἄν	ta)/n	εἰμί	ei)mi/	v3piia---
