Αἴτησόν	*ai)/thso/n	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2sama---
τηλαυγῶς	thlaugw=s	τηλαυγής	thlaugh/s	urn:cite2:hmt:lsj.chicago_md:n103788	x--------
τηρήσητε	thrh/shte	τηρέω	thre/w	urn:cite2:hmt:lsj.chicago_md:n103871	v2pasa---
τι	ti	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---nn-
τι	ti	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---nv-
τι	ti	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---na-
τιθείς	tiqei/s	τίθημι	ti/qhmi	urn:cite2:hmt:lsj.chicago_md:n103922	v-sppamn-
τιθείς	tiqei/s	τίθημι	ti/qhmi	urn:cite2:hmt:lsj.chicago_md:n103922	v-sppamv-
τιθέντες	tiqe/ntes	τίθημι	ti/qhmi	urn:cite2:hmt:lsj.chicago_md:n103922	v-pppamn-
τιθέντες	tiqe/ntes	τίθημι	ti/qhmi	urn:cite2:hmt:lsj.chicago_md:n103922	v-pppamv-
τιμᾷ	tima=|	τιμάω	tima/w	urn:cite2:hmt:lsj.chicago_md:n103972	v2spse---
τιμᾷ	tima=|	τιμάω	tima/w	urn:cite2:hmt:lsj.chicago_md:n103972	v2spie---
τιμᾷ	tima=|	τιμάω	tima/w	urn:cite2:hmt:lsj.chicago_md:n103972	v3spsa---
τιμᾷ	tima=|	τιμάω	tima/w	urn:cite2:hmt:lsj.chicago_md:n103972	v3spia---
τιμᾷ	tima=|	τιμή	timh/	urn:cite2:hmt:lsj.chicago_md:n103975	n-s---fd-
τινα	tina	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---ma-
τινα	tina	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---fa-
τινα	tina	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---nn-
τινα	tina	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---nv-
τινα	tina	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---na-
τινας	tinas	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---ma-
τινας	tinas	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---fa-
τινες	tines	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---mn-
τινες	tines	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---mv-
τινες	tines	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---fn-
τινες	tines	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---fv-
τινος	tinos	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s----g-
τινάς	tina/s	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---ma-
τινάς	tina/s	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---fa-
τις	tis	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---mn-
τις	tis	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---fn-
τοιαύταις	toiau/tais	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-p---fd-
τοιαύτη	toiau/th	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-s---fn-
τοιαύτη	toiau/th	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-s---fv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-p---nn-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-p---nv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-p---na-
τοιαῦται	toiau=tai	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-p---fn-
τοιαῦται	toiau=tai	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-p---fv-
τοιούτων	toiou/twn	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-p---mg-
τοιούτων	toiou/twn	τοιοῦτος	toiou=tos	urn:cite2:hmt:lsj.chicago_md:n104169	n-p---ng-
τολμήσας	tolmh/sas	τολμάω	tolma/w	urn:cite2:hmt:lsj.chicago_md:n104225	v-sapamn-
τολμήσας	tolmh/sas	τολμάω	tolma/w	urn:cite2:hmt:lsj.chicago_md:n104225	v-sapamv-
τούς	tou/s	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---ma-
τούτου	tou/tou	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---mg-
τούτου	tou/tou	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---ng-
τούτους	tou/tous	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-p---ma-
τούτων	tou/twn	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-p---mg-
τούτων	tou/twn	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-p---fg-
τούτων	tou/twn	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-p---ng-
τούτῳ	tou/tw|	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---md-
τούτῳ	tou/tw|	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---nd-
τοῖς	toi=s	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---md-
τοῖς	toi=s	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---nd-
τοῦ	tou=	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---mg-
τοῦ	tou=	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---ng-
τοῦ	tou=	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s----g-
τοῦ	tou=	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s----g-
τοῦτο	tou=to	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---nn-
τοῦτο	tou=to	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---nv-
τοῦτο	tou=to	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---na-
τοῦτον	tou=ton	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---ma-
τοῦτό	tou=to/	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---nn-
τοῦτό	tou=to/	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---nv-
τοῦτό	tou=to/	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---na-
τραπέζας	trape/zas	τράπεζα	tra/peza	urn:cite2:hmt:lsj.chicago_md:n104538	n-p---fa-
τραπέζας	trape/zas	τράπεζα	tra/peza	urn:cite2:hmt:lsj.chicago_md:n104538	n-s---fg-
τραπέζης	trape/zhs	τράπεζα	tra/peza	urn:cite2:hmt:lsj.chicago_md:n104538	n-s---fg-
τρεῖς	trei=s	τρέω	tre/w	urn:cite2:hmt:lsj.chicago_md:n104698	v2spia---
τρεῖς	trei=s	τρέω	tre/w	urn:cite2:hmt:lsj.chicago_md:n104698	v2siia---
τρεῖς	trei=s	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---mn-
τρεῖς	trei=s	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---mv-
τρεῖς	trei=s	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---ma-
τρεῖς	trei=s	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---fn-
τρεῖς	trei=s	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---fv-
τρεῖς	trei=s	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---fa-
τριακοσίων	triakosi/wn	τριακόσιοι	triako/sioi	urn:cite2:hmt:lsj.chicago_md:n104787	a-p---fg-
τριακοσίων	triakosi/wn	τριακόσιοι	triako/sioi	urn:cite2:hmt:lsj.chicago_md:n104787	a-p---mg-
τριακοσίων	triakosi/wn	τριακόσιοι	triako/sioi	urn:cite2:hmt:lsj.chicago_md:n104787	a-p---ng-
τρισίν	trisi/n	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---md-
τρισίν	trisi/n	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---fd-
τρισίν	trisi/n	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---nd-
τριάκοντα	tria/konta	τριάκοντα	tria/konta	urn:cite2:hmt:lsj.chicago_md:n104739	m--------
τριῶν	triw=n	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---mg-
τριῶν	triw=n	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---fg-
τριῶν	triw=n	τρεῖς	trei=s	urn:cite2:hmt:lsj.chicago_md:n104655	m-p---ng-
τριῶν	triw=n	τρίζω	tri/zw	urn:cite2:hmt:lsj.chicago_md:n104920	v-sfpamn-
τριῶν	triw=n	τριάζω	tria/zw	urn:cite2:hmt:lsj.chicago_md:n104723	v-sfpamv-
τριῶν	triw=n	τριάζω	tria/zw	urn:cite2:hmt:lsj.chicago_md:n104723	v-sfpann-
τριῶν	triw=n	τριάζω	tria/zw	urn:cite2:hmt:lsj.chicago_md:n104723	v-sfpanv-
τριῶν	triw=n	τριάζω	tria/zw	urn:cite2:hmt:lsj.chicago_md:n104723	v-sfpana-
τριῶν	triw=n	τριάζω	tria/zw	urn:cite2:hmt:lsj.chicago_md:n104723	v-sfpamn-
τρυμαλιᾶς	trumalia=s	τρυμαλιά	trumalia/	urn:cite2:hmt:lsj.chicago_md:n105699	n-s---fg-
τράχηλον	tra/xhlon	τράχηλος	tra/xhlos	urn:cite2:hmt:lsj.chicago_md:n104624	n-s---ma-
τρέμουσα	tre/mousa	τρέμω	tre/mw	urn:cite2:hmt:lsj.chicago_md:n104678	v-sppafn-
τρέμουσα	tre/mousa	τρέμω	tre/mw	urn:cite2:hmt:lsj.chicago_md:n104678	v-sppafv-
τρίβους	tri/bous	τρίβος	tri/bos	urn:cite2:hmt:lsj.chicago_md:n104834	n-p---ma-
τρίβους	tri/bous	τρίβος	tri/bos	urn:cite2:hmt:lsj.chicago_md:n104834	n-p---fa-
τρίζει	tri/zei	τρίζω	tri/zw	urn:cite2:hmt:lsj.chicago_md:n104920	v2spie---
τρίζει	tri/zei	τρίζω	tri/zw	urn:cite2:hmt:lsj.chicago_md:n104920	v3spia---
τρίς	tri/s	τρίς	tri/s	urn:cite2:hmt:lsj.chicago_md:n105198	d--------
τρίτη	tri/th	τρίτος	tri/tos	urn:cite2:hmt:lsj.chicago_md:n105344	a-s---fn-
τρίτη	tri/th	τρίτος	tri/tos	urn:cite2:hmt:lsj.chicago_md:n105344	a-s---fv-
τρίτη	tri/th	τριτάω	trita/w	urn:cite2:hmt:lsj.chicago_md:n105317	v2spma---
τρίτη	tri/th	τριτάω	trita/w	urn:cite2:hmt:lsj.chicago_md:n105317	v2spma---
τρίτη	tri/th	τριτάω	trita/w	urn:cite2:hmt:lsj.chicago_md:n105317	v3siia---
τρίτον	tri/ton	τρίτος	tri/tos	urn:cite2:hmt:lsj.chicago_md:n105344	a-s---ma-
τρίτον	tri/ton	τρίτος	tri/tos	urn:cite2:hmt:lsj.chicago_md:n105344	a-s---nn-
τρίτον	tri/ton	τρίτος	tri/tos	urn:cite2:hmt:lsj.chicago_md:n105344	a-s---nv-
τρίτον	tri/ton	τρίτος	tri/tos	urn:cite2:hmt:lsj.chicago_md:n105344	a-s---na-
τρίτος	tri/tos	τρίτος	tri/tos	urn:cite2:hmt:lsj.chicago_md:n105344	a-s---mn-
τρίχας	tri/xas	θρίξ	qri/c	urn:cite2:hmt:lsj.chicago_md:n49173	n-p---fa-
τρόμος	tro/mos	τρόμος	tro/mos	urn:cite2:hmt:lsj.chicago_md:n105495	n-s---mn-
τρύβλιον	tru/blion	τρύβλιον	tru/blion	urn:cite2:hmt:lsj.chicago_md:n105644	n-s---nn-
τρύβλιον	tru/blion	τρύβλιον	tru/blion	urn:cite2:hmt:lsj.chicago_md:n105644	n-s---nv-
τρύβλιον	tru/blion	τρύβλιον	tru/blion	urn:cite2:hmt:lsj.chicago_md:n105644	n-s---na-
τυφλοῦ	tuflou=	τυφλός	tuflo/s	urn:cite2:hmt:lsj.chicago_md:n106064	a-s---mg-
τυφλοῦ	tuflou=	τυφλός	tuflo/s	urn:cite2:hmt:lsj.chicago_md:n106064	a-s---ng-
τυφλοῦ	tuflou=	τυφλόω	tuflo/w	urn:cite2:hmt:lsj.chicago_md:n106068	v2spme---
τυφλοῦ	tuflou=	τυφλόω	tuflo/w	urn:cite2:hmt:lsj.chicago_md:n106068	v2siie---
τυφλόν	tuflo/n	τυφλός	tuflo/s	urn:cite2:hmt:lsj.chicago_md:n106064	a-s---ma-
τυφλόν	tuflo/n	τυφλός	tuflo/s	urn:cite2:hmt:lsj.chicago_md:n106064	a-s---nn-
τυφλόν	tuflo/n	τυφλός	tuflo/s	urn:cite2:hmt:lsj.chicago_md:n106064	a-s---nv-
τυφλόν	tuflo/n	τυφλός	tuflo/s	urn:cite2:hmt:lsj.chicago_md:n106064	a-s---na-
τυφλός	tuflo/s	τυφλός	tuflo/s	urn:cite2:hmt:lsj.chicago_md:n106064	a-s---mn-
τά	ta/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---na-
τά	ta/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---nn-
τά	ta/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---nv-
τά	ta/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---na-
τά	ta/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-d---fa-
τά	ta/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-d---fn-
τά	ta/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-d---fv-
τά	ta/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-d---fa-
τά	ta/	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-p---nn-
τά	ta/	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-p---nv-
τά	ta/	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-p---na-
τάς	ta/s	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---fa-
τέθειται	te/qeitai	τίθημι	ti/qhmi	urn:cite2:hmt:lsj.chicago_md:n103922	v3srie---
τέκνα	te/kna	τέκνον	te/knon	urn:cite2:hmt:lsj.chicago_md:n102869	n-p---nn-
τέκνα	te/kna	τέκνον	te/knon	urn:cite2:hmt:lsj.chicago_md:n102869	n-p---nv-
τέκνα	te/kna	τέκνον	te/knon	urn:cite2:hmt:lsj.chicago_md:n102869	n-p---na-
τέκνον	te/knon	τέκνον	te/knon	urn:cite2:hmt:lsj.chicago_md:n102869	n-s---nn-
τέκνον	te/knon	τέκνον	te/knon	urn:cite2:hmt:lsj.chicago_md:n102869	n-s---nv-
τέκνον	te/knon	τέκνον	te/knon	urn:cite2:hmt:lsj.chicago_md:n102869	n-s---na-
τέκνων	te/knwn	τέκνον	te/knon	urn:cite2:hmt:lsj.chicago_md:n102869	n-p---ng-
τέκνων	te/knwn	τεκνόω	tekno/w	urn:cite2:hmt:lsj.chicago_md:n102892	v3piia---
τέκνων	te/knwn	τεκνόω	tekno/w	urn:cite2:hmt:lsj.chicago_md:n102892	v1siia---
τέκτων	te/ktwn	τέκτων	te/ktwn	urn:cite2:hmt:lsj.chicago_md:n102909	n-s---mn-
τέκτων	te/ktwn	τέκτων	te/ktwn	urn:cite2:hmt:lsj.chicago_md:n102909	n-s---mv-
τέλος	te/los	τέλος	te/los	urn:cite2:hmt:lsj.chicago_md:n103012	n-s---nn-
τέλος	te/los	τέλος	te/los	urn:cite2:hmt:lsj.chicago_md:n103012	n-s---nv-
τέλος	te/los	τέλος	te/los	urn:cite2:hmt:lsj.chicago_md:n103012	n-s---na-
τέρατα	te/rata	τέρας	te/ras	urn:cite2:hmt:lsj.chicago_md:n103102	n-p---nn-
τέρατα	te/rata	τέρας	te/ras	urn:cite2:hmt:lsj.chicago_md:n103102	n-p---nv-
τέρατα	te/rata	τέρας	te/ras	urn:cite2:hmt:lsj.chicago_md:n103102	n-p---na-
τήν	th/n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---fa-
τί	ti/	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s---nn-
τί	ti/	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s---nv-
τί	ti/	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s---na-
τί	ti/	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---nn-
τί	ti/	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---nv-
τί	ti/	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---na-
τίλλοντες	ti/llontes	τίλλω	ti/llw	urn:cite2:hmt:lsj.chicago_md:n103948	v-pppamn-
τίλλοντες	ti/llontes	τίλλω	ti/llw	urn:cite2:hmt:lsj.chicago_md:n103948	v-pppamv-
τίνα	ti/na	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s---ma-
τίνα	ti/na	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s---fa-
τίνα	ti/na	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-p---nn-
τίνα	ti/na	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-p---nv-
τίνα	ti/na	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-p---na-
τίνα	ti/na	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---ma-
τίνα	ti/na	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---fa-
τίνα	ti/na	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---nn-
τίνα	ti/na	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---nv-
τίνα	ti/na	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-p---na-
τίνι	ti/ni	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s----d-
τίνι	ti/ni	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s----d-
τίνος	ti/nos	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s----g-
τίνος	ti/nos	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s----g-
τίς	ti/s	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s---mn-
τίς	ti/s	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s---fn-
τίς	ti/s	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---mn-
τίς	ti/s	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s---fn-
τό	to/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---nn-
τό	to/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---nv-
τό	to/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---na-
τόν	to/n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---ma-
τόποις	to/pois	τόπος	to/pos	urn:cite2:hmt:lsj.chicago_md:n104355	n-p---md-
τόπον	to/pon	τόπος	to/pos	urn:cite2:hmt:lsj.chicago_md:n104355	n-s---ma-
τόπος	to/pos	τόπος	to/pos	urn:cite2:hmt:lsj.chicago_md:n104355	n-s---mn-
τόπους	to/pous	τόπος	to/pos	urn:cite2:hmt:lsj.chicago_md:n104355	n-p---ma-
τότε	to/te	τότε	to/te	urn:cite2:hmt:lsj.chicago_md:n104429	d--------
τῆς	th=s	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---fg-
τῇ	th=|	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---fd-
τῇ	th=|	τῇ	th=|	urn:cite2:hmt:lsj.chicago_md:n103745	d--------
τῶ	tw=	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---mg-
τῶ	tw=	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---ng-
τῶ	tw=	τῷ	tw=|	urn:cite2:hmt:lsj.chicago_md:n106104	d--------
τῶν	tw=n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---fg-
τῶν	tw=n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---mg-
τῶν	tw=n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---ng-
τῷ	tw=|	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---md-
τῷ	tw=|	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---nd-
τῷ	tw=|	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s----d-
τῷ	tw=|	τις	tis	urn:cite2:hmt:lsj.chicago_md:n104051	p-s----d-
τῷ	tw=|	τῷ	tw=|	urn:cite2:hmt:lsj.chicago_md:n106104	d--------
υἱοί	ui(oi/	υἱός	ui(o/s	urn:cite2:hmt:lsj.chicago_md:n106566	n-p---mn-
υἱοί	ui(oi/	υἱός	ui(o/s	urn:cite2:hmt:lsj.chicago_md:n106566	n-p---mv-
υἱοί	ui(oi/	υἱόω	ui(o/w	urn:cite2:hmt:lsj.chicago_md:n106567	v2spse---
υἱοί	ui(oi/	υἱόω	ui(o/w	urn:cite2:hmt:lsj.chicago_md:n106567	v2spie---
υἱοί	ui(oi/	υἱόω	ui(o/w	urn:cite2:hmt:lsj.chicago_md:n106567	v3spsa---
υἱοῖς	ui(oi=s	υἱός	ui(o/s	urn:cite2:hmt:lsj.chicago_md:n106566	n-p---md-
υἱοῖς	ui(oi=s	υἱόω	ui(o/w	urn:cite2:hmt:lsj.chicago_md:n106567	v2spoa---
υἱοῖς	ui(oi=s	υἱόω	ui(o/w	urn:cite2:hmt:lsj.chicago_md:n106567	v2spsa---
υἱοῖς	ui(oi=s	υἱόω	ui(o/w	urn:cite2:hmt:lsj.chicago_md:n106567	v2spia---
υἱέ	ui(e/	υἱός	ui(o/s	urn:cite2:hmt:lsj.chicago_md:n106566	n-s---mv-
υἱόν	ui(o/n	υἱός	ui(o/s	urn:cite2:hmt:lsj.chicago_md:n106566	n-s---ma-
υἱός	ui(o/s	υἱός	ui(o/s	urn:cite2:hmt:lsj.chicago_md:n106566	n-s---mn-
φαγεῖν	fagei=n	ἐσθίω	e)sqi/w	urn:cite2:hmt:lsj.chicago_md:n42890	v--ana---
φαγόντες	fago/ntes	ἐσθίω	e)sqi/w	urn:cite2:hmt:lsj.chicago_md:n42890	v-papamn-
φαγόντες	fago/ntes	ἐσθίω	e)sqi/w	urn:cite2:hmt:lsj.chicago_md:n42890	v-papamv-
φανερωθῇ	fanerwqh=|	φανερόω	fanero/w	urn:cite2:hmt:lsj.chicago_md:n110246	v3sasp---
φανερόν	fanero/n	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	a-s---ma-
φανερόν	fanero/n	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	a-s---nn-
φανερόν	fanero/n	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	a-s---nv-
φανερόν	fanero/n	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	a-s---na-
φανερόν	fanero/n	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	n-s---ma-
φανερόν	fanero/n	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	n-s---fa-
φανερόν	fanero/n	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	n-s---nn-
φανερόν	fanero/n	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	n-s---nv-
φανερόν	fanero/n	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	n-s---na-
φανερῶς	fanerw=s	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	x--------
φανερῶς	fanerw=s	φανερός	fanero/s	urn:cite2:hmt:lsj.chicago_md:n110243	x--------
φανερῶς	fanerw=s	φανερόω	fanero/w	urn:cite2:hmt:lsj.chicago_md:n110246	v2spia---
φαίνεται	fai/netai	φαίνω	fai/nw	urn:cite2:hmt:lsj.chicago_md:n110114	v3spie---
φευγέτωσαν	feuge/twsan	φεύγω	feu/gw	urn:cite2:hmt:lsj.chicago_md:n110606	v3ppma---
φθόνον	fqo/non	φθόνος	fqo/nos	urn:cite2:hmt:lsj.chicago_md:n110745	n-s---ma-
φιλήσω	filh/sw	φιλέω	file/w	urn:cite2:hmt:lsj.chicago_md:n110979	v1sasa---
φιλήσω	filh/sw	φιλέω	file/w	urn:cite2:hmt:lsj.chicago_md:n110979	v1sfia---
φιλήσω	filh/sw	φιλέω	file/w	urn:cite2:hmt:lsj.chicago_md:n110979	v2saim---
φοβεῖσθε	fobei=sqe	φοβέω	fobe/w	urn:cite2:hmt:lsj.chicago_md:n111895	v2ppme---
φοβεῖσθε	fobei=sqe	φοβέω	fobe/w	urn:cite2:hmt:lsj.chicago_md:n111895	v2ppoe---
φοβεῖσθε	fobei=sqe	φοβέω	fobe/w	urn:cite2:hmt:lsj.chicago_md:n111895	v2ppie---
φοβεῖσθε	fobei=sqe	φοβέω	fobe/w	urn:cite2:hmt:lsj.chicago_md:n111895	v2piie---
φοβηθεῖσα	fobhqei=sa	φοβέω	fobe/w	urn:cite2:hmt:lsj.chicago_md:n111895	v-sappfn-
φοβηθεῖσα	fobhqei=sa	φοβέω	fobe/w	urn:cite2:hmt:lsj.chicago_md:n111895	v-sappfv-
φοβοῦ	fobou=	φοβέω	fobe/w	urn:cite2:hmt:lsj.chicago_md:n111895	v2spme---
φοβοῦ	fobou=	φοβέω	fobe/w	urn:cite2:hmt:lsj.chicago_md:n111895	v2siie---
φονεύσῃς	foneu/sh|s	φονάω	fona/w	urn:cite2:hmt:lsj.chicago_md:n112039	v-pppafd-
φονεύσῃς	foneu/sh|s	φονεύω	foneu/w	urn:cite2:hmt:lsj.chicago_md:n112048	v2sasa---
φονεύσῃς	foneu/sh|s	φονόω	fono/w	urn:cite2:hmt:lsj.chicago_md:n112063	v-pppafd-
φραγελλώσας	fragellw/sas	φραγελλόω	fragello/w	urn:cite2:hmt:lsj.chicago_md:n112204	v-sapamn-
φραγελλώσας	fragellw/sas	φραγελλόω	fragello/w	urn:cite2:hmt:lsj.chicago_md:n112204	v-sapamv-
φραγμόν	fragmo/n	φραγμός	fragmo/s	urn:cite2:hmt:lsj.chicago_md:n112207	n-s---ma-
φρονεῖς	fronei=s	φρονέω	frone/w	urn:cite2:hmt:lsj.chicago_md:n112350	v2spia---
