Θεσμοφορίοις	*qesmofori/ois	θεσμοφόριον	qesmofo/rion	n-p---nd-
νόμιζε	no/mize	νομίζω	nomi/zw	v2spma---
νόμιζε	no/mize	νομίζω	nomi/zw	v3siia---
νόμοι	no/moi	νόμος	no/mos	n-p---mn-
νόμοι	no/moi	νόμος	no/mos	n-p---mv-
νόμοις	no/mois	νόμος	no/mos	n-p---md-
νόμον	no/mon	νόμος	no/mos	n-s---ma-
νόμος	no/mos	νόμος	no/mos	n-s---mn-
νόμους	no/mous	νόμος	no/mos	n-p---ma-
νόμων	no/mwn	νόμος	no/mos	n-p---mg-
νύκτωρ	nu/ktwr	νύκτωρ	nu/ktwr	d--------
νῦν	nu=n	νῦν	nu=n	d--------
ξύλον	cu/lon	ξύλον	cu/lon	n-s---nn-
ξύλον	cu/lon	ξύλον	cu/lon	n-s---nv-
ξύλον	cu/lon	ξύλον	cu/lon	n-s---na-
οἰκειοτέρας	oi)keiote/ras	οἰκεῖος	oi)kei=os	a-p---fa-
οἰκειοτέρας	oi)keiote/ras	οἰκεῖος	oi)kei=os	a-s---fg-
οἰκειοτέρας	oi)keiote/ras	οἰκεῖος	oi)kei=os	n-p---fa-
οἰκειοτέρας	oi)keiote/ras	οἰκεῖος	oi)kei=os	n-s---fg-
οἰκειότητα	oi)keio/thta	οἰκειότης	oi)keio/ths	n-s---fa-
οἰκείως	oi)kei/ws	οἰκεῖος	oi)kei=os	x--------
οἰκείως	oi)kei/ws	οἰκεῖος	oi)kei=os	a-p---ma-
οἰκείως	oi)kei/ws	οἰκεῖος	oi)kei=os	x--------
οἰκείως	oi)kei/ws	οἰκεῖος	oi)kei=os	n-p---ma-
οἰκείως	oi)kei/ws	οἰκεῖος	oi)kei=os	n-p---fa-
οἰκείως	oi)kei/ws	οἰκειόω	oi)keio/w	v2siia---
οἰκονόμος	oi)kono/mos	οἰκονόμος	oi)kono/mos	n-s---mn-
οἰκίαν	oi)ki/an	οἰκία	oi)ki/a	n-s---fa-
οἰκίας	oi)ki/as	οἰκία	oi)ki/a	n-p---fa-
οἰκίας	oi)ki/as	οἰκία	oi)ki/a	n-s---fg-
οἰκίδιον	oi)ki/dion	οἰκίδιον	oi)ki/dion	n-s---nn-
οἰκίδιον	oi)ki/dion	οἰκίδιον	oi)ki/dion	n-s---nv-
οἰκίδιον	oi)ki/dion	οἰκίδιον	oi)ki/dion	n-s---na-
οἰκίδιον	oi)ki/dion	οἰκίδιος	oi)ki/dios	a-s---ma-
οἰκίδιον	oi)ki/dion	οἰκίδιος	oi)ki/dios	a-s---nn-
οἰκίδιον	oi)ki/dion	οἰκίδιος	oi)ki/dios	a-s---nv-
οἰκίδιον	oi)ki/dion	οἰκίδιος	oi)ki/dios	a-s---na-
οἰκίᾳ	oi)ki/a|	οἰκία	oi)ki/a	n-p---fn-
οἰκίᾳ	oi)ki/a|	οἰκία	oi)ki/a	n-p---fv-
οἰκίᾳ	oi)ki/a|	οἰκία	oi)ki/a	n-s---fd-
οἱ	oi(	ἕ	e(/	n-s---md-
οἱ	oi(	ἕ	e(/	n-s---fd-
οἱ	oi(	ὁ	o(	l-p---mn-
οἱ	oi(	ὁ	o(	l-p---mv-
οἴεται	oi)/etai	οἴομαι	oi)/omai	v3spie---
οἴκαδε	oi)/kade	οἴκαδε	oi)/kade	d--------
οἴκοι	oi)/koi	ἔοικα	e)/oika	v3sroa---
οἴκοι	oi)/koi	οἴκοι	oi)/koi	d--------
οἵ	oi(/	ἕ	e(/	n-s---md-
οἵ	oi(/	ἕ	e(/	n-s---fd-
οἵ	oi(/	ὁ	o(	l-p---mn-
οἵ	oi(/	ὁ	o(	l-p---mv-
οἵ	oi(/	ὅς	o(/s	p-p---mn-
οἵτινες	oi(/tines	ὅστις	o(/stis	p-p---mn-
οἶδα	oi)=da	οἶδα	oi)=da	v1sria---
οἶμαι	oi)=mai	οἴμη	oi)/mh	n-p---fn-
οἶμαι	oi)=mai	οἴμη	oi)/mh	n-p---fv-
οἶμαι	oi)=mai	οἴομαι	oi)/omai	v1spie---
οἷα	oi(=a	οἷος	oi(=os	a-p---nn-
οἷα	oi(=a	οἷος	oi(=os	a-p---nv-
οἷα	oi(=a	οἷος	oi(=os	a-p---na-
οἷοίπερ	oi(=oi/per	οἷος	oi(=os	a-p---mn-
οἷοίπερ	oi(=oi/per	οἷος	oi(=os	a-p---mv-
οἷς	oi(=s	ὅς	o(/s	p-p---md-
οἷς	oi(=s	ὅς	o(/s	p-p---nd-
οἷόν	oi(=o/n	οἷος	oi(=os	a-s---ma-
οἷόν	oi(=o/n	οἷος	oi(=os	a-s---nn-
οἷόν	oi(=o/n	οἷος	oi(=os	a-s---nv-
οἷόν	oi(=o/n	οἷος	oi(=os	a-s---na-
οἷός	oi(=o/s	οἷος	oi(=os	a-s---mn-
οὐ	ou)	οὐ	ou)	d--------
οὐδεμία	ou)demi/a	οὐδείς	ou)dei/s	n-s---fn-
οὐδεμία	ou)demi/a	οὐδείς	ou)dei/s	n-s---fv-
οὐδεμία	ou)demi/a	οὐδείς	ou)dei/s	n-d---fn-
οὐδεμία	ou)demi/a	οὐδείς	ou)dei/s	n-d---fv-
οὐδεμία	ou)demi/a	οὐδείς	ou)dei/s	n-d---fa-
οὐδεμία	ou)demi/a	οὐδείς	ou)dei/s	a-d---fn-
οὐδεμία	ou)demi/a	οὐδείς	ou)dei/s	a-d---fv-
οὐδεμία	ou)demi/a	οὐδείς	ou)dei/s	a-d---fa-
οὐδεμία	ou)demi/a	οὐδείς	ou)dei/s	a-s---fn-
οὐδεμία	ou)demi/a	οὐδείς	ou)dei/s	a-s---fv-
οὐδεμίαν	ou)demi/an	οὐδείς	ou)dei/s	n-s---fa-
οὐδεμίαν	ou)demi/an	οὐδείς	ou)dei/s	a-s---fa-
οὐδενός	ou)deno/s	οὐδείς	ou)dei/s	n-s----g-
οὐδείς	ou)dei/s	οὐδείς	ou)dei/s	n-s---mn-
οὐδείς	ou)dei/s	οὐδείς	ou)dei/s	n-s---mv-
οὐδέ	ou)de/	οὐδέ	ou)de/	g--------
οὐδέ	ou)de/	οὐδόσ1	ou)do/s1	n-s---mv-
οὐδέ	ou)de/	οὐδόσ2	ou)do/s2	n-s---fv-
οὐδέν	ou)de/n	οὐδείς	ou)dei/s	n-s---nn-
οὐδέν	ou)de/n	οὐδείς	ou)dei/s	n-s---nv-
οὐδέν	ou)de/n	οὐδείς	ou)dei/s	n-s---na-
οὐδένα	ou)de/na	οὐδείς	ou)dei/s	n-s---ma-
οὐδένα	ou)de/na	οὐδείς	ou)dei/s	n-s---fa-
οὐδένα	ou)de/na	οὐδείς	ou)dei/s	n-p---nn-
οὐδένα	ou)de/na	οὐδείς	ou)dei/s	n-p---nv-
οὐδένα	ou)de/na	οὐδείς	ou)dei/s	n-p---na-
οὐδέποτε	ou)de/pote	οὐδέποτε	ou)de/pote	d--------
οὐκ	ou)k	οὐ	ou)	d--------
οὐκέτι	ou)ke/ti	οὐκέτι	ou)ke/ti	d--------
οὐχ	ou)x	οὐ	ou)	d--------
οὔπω	ou)/pw	οὔπω	ou)/pw	d--------
οὔτε	ou)/te	οὔτε	ou)/te	d--------
οὕς	ou(/s	ὅς	o(/s	p-p---ma-
οὕτε	ou(/te	ἵημι	i(/hmi	v2pama---
οὕτε	ou(/te	ἵημι	i(/hmi	v2paia---
οὕτω	ou(/tw	οὕτως	ou(/tws	d--------
οὕτως	ou(/tws	οὕτως	ou(/tws	d--------
οὖν	ou)=n	οὖν	ou)=n	g--------
οὗτοι	ou(=toi	οὗτος	ou(=tos	n-p---mn-
οὗτοι	ou(=toi	οὗτος	ou(=tos	n-p---mv-
οὗτος	ou(=tos	οὗτος	ou(=tos	n-s---mn-
οὗτος	ou(=tos	οὗτος	ou(=tos	n-s---mv-
παθεῖν	paqei=n	πάσχω	pa/sxw	v--ana---
παιδίον	paidi/on	παιδίον	paidi/on	n-s---nn-
παιδίον	paidi/on	παιδίον	paidi/on	n-s---nv-
παιδίον	paidi/on	παιδίον	paidi/on	n-s---na-
παιδίσκην	paidi/skhn	παιδίσκη	paidi/skh	n-s---fa-
παιδίῳ	paidi/w|	παίδιον	pai/dion	n-s---nd-
παιδίῳ	paidi/w|	παίδιος	pai/dios	n-s---md-
παιδίῳ	paidi/w|	παιδίον	paidi/on	n-s---nd-
παλλακαῖς	pallakai=s	παλλακή	pallakh/	n-p---fd-
παραβαίνων	parabai/nwn	παραβαίνω	parabai/nw	v-sppamn-
παραγγεῖλαι	paraggei=lai	παραγγέλλω	paragge/llw	v--ana---
παρακαλέσας	parakale/sas	παρακαλέω	parakale/w	v-sapamn-
παρακαλέσας	parakale/sas	παρακαλέω	parakale/w	v-sapamv-
παρακελεύονται	parakeleu/ontai	παρακελεύομαι	parakeleu/omai	v3ppie---
παρακελεύονται	parakeleu/ontai	παρακελεύομαι	parakeleu/omai	v3ppie---
παραλαβών	paralabw/n	παραλαμβάνω	paralamba/nw	v-sapamn-
παραλείπων	paralei/pwn	παραλείπω	paralei/pw	v-sppamn-
παρασκευάζουσι	paraskeua/zousi	παρασκευάζω	paraskeua/zw	v-pppamd-
παρασκευάζουσι	paraskeua/zousi	παρασκευάζω	paraskeua/zw	v-pppand-
παρασκευάζουσι	paraskeua/zousi	παρασκευάζω	paraskeua/zw	v3ppia---
παρασκευάζουσι	paraskeua/zousi	παρασκευάζω	paraskeua/zw	v-pppamd-
παρασκευάζουσι	paraskeua/zousi	παρασκευάζω	paraskeua/zw	v-pppand-
παρασκευάζουσι	paraskeua/zousi	παρασκευάζω	paraskeua/zw	v3ppia---
παρασκευάσασθαι	paraskeua/sasqai	παρασκευάζω	paraskeua/zw	v--anm---
παρασκευάσασθαι	paraskeua/sasqai	παρασκευάζω	paraskeua/zw	v--anm---
παρεσκευασμένης	pareskeuasme/nhs	παρασκευάζω	paraskeua/zw	v-srpefg-
παροινία	paroini/a	παροινία	paroini/a	n-d---fn-
παροινία	paroini/a	παροινία	paroini/a	n-d---fv-
παροινία	paroini/a	παροινία	paroini/a	n-d---fa-
παροινία	paroini/a	παροινία	paroini/a	n-s---fn-
παροινία	paroini/a	παροινία	paroini/a	n-s---fv-
παρά	para/	παρά	para/	r--------
παρά	para/	πηρός	phro/s	a-p---nn-
παρά	para/	πηρός	phro/s	a-p---nv-
παρά	para/	πηρός	phro/s	a-p---na-
παρά	para/	πηρός	phro/s	a-d---fn-
παρά	para/	πηρός	phro/s	a-d---fv-
παρά	para/	πηρός	phro/s	a-d---fa-
παρά	para/	πηρός	phro/s	a-s---fn-
παρά	para/	πηρός	phro/s	a-s---fv-
παρέδωκα	pare/dwka	παραδίδωμι	paradi/dwmi	v1saia---
παρέλαβον	pare/labon	παραλαμβάνω	paralamba/nw	v3paia---
παρέλαβον	pare/labon	παραλαμβάνω	paralamba/nw	v1saia---
παρόντων	paro/ntwn	πάρειμι1	pa/reimi1	v3ppma---
παρόντων	paro/ntwn	πάρειμι1	pa/reimi1	v-pppamg-
παρόντων	paro/ntwn	πάρειμι1	pa/reimi1	v-pppang-
πασῶν	pasw=n	πᾶς	pa=s	n-p---fg-
πασῶν	pasw=n	πᾶς	pa=s	n-p---fg-
πατάξας	pata/cas	πατάσσω	pata/ssw	v-sapamn-
πατάξας	pata/cas	πατάσσω	pata/ssw	v-sapamv-
παίζειν	pai/zein	παίζω	pai/zw	v--pna---
παίζειν	pai/zein	παίζω	pai/zw	v--pna---
παύσασθαι	pau/sasqai	παύω	pau/w	v--anm---
παύσηται	pau/shtai	παύω	pau/w	v3sasm---
παῖδα	pai=da	παῖς	pai=s	n-s---ma-
παῖδα	pai=da	παῖς	pai=s	n-s---fa-
παῖδας	pai=das	παῖς	pai=s	n-p---ma-
παῖδας	pai=das	παῖς	pai=s	n-p---fa-
πειρᾷς	peira=|s	πειράω	peira/w	v2spsa---
πειρᾷς	peira=|s	πειράω	peira/w	v2spia---
πειρᾷς	peira=|s	πειράζω	peira/zw	v2sfia---
πεισθείη	peisqei/h	πείθω	pei/qw	v3saop---
πεπονθότες	peponqo/tes	πάσχω	pa/sxw	v-prpamn-
πεπονθότες	peponqo/tes	πάσχω	pa/sxw	v-prpamv-
πεπραγμένα	pepragme/na	πράσσω	pra/ssw	v-prpenn-
πεπραγμένα	pepragme/na	πράσσω	pra/ssw	v-prpenv-
πεπραγμένα	pepragme/na	πράσσω	pra/ssw	v-prpena-
πεπραγμένα	pepragme/na	πράσσω	pra/ssw	v-drpefn-
πεπραγμένα	pepragme/na	πράσσω	pra/ssw	v-drpefv-
πεπραγμένα	pepragme/na	πράσσω	pra/ssw	v-drpefa-
πεπραγμένα	pepragme/na	πράσσω	pra/ssw	v-srpefn-
πεπραγμένα	pepragme/na	πράσσω	pra/ssw	v-srpefv-
πεπυσμένος	pepusme/nos	πυνθάνομαι	punqa/nomai	v-srpemn-
περιαγαγών	periagagw/n	περιάγω	peria/gw	v-sapamn-
περιτρέχειν	peritre/xein	περιτρέχω	peritre/xw	v--pna---
περιέστρεψα	perie/streya	περιστρέφω	peristre/fw	v1saia---
περί	peri/	περί	peri/	r--------
πεσοῦσα	pesou=sa	πίπτω	pi/ptw	v-sapafn-
πεσοῦσα	pesou=sa	πίπτω	pi/ptw	v-sapafv-
πείθεσθαι	pei/qesqai	πείθω	pei/qw	v--pne---
πείθοντας	pei/qontas	πείθω	pei/qw	v-pppama-
πείσαντας	pei/santas	πείθω	pei/qw	v-papama-
πείσεσθαι	pei/sesqai	πάσχω	pa/sxw	v--fnm---
πείσεσθαι	pei/sesqai	πείθω	pei/qw	v--fnm---
πεύσεται	peu/setai	πυνθάνομαι	punqa/nomai	v3sfim---
πεύσῃ	peu/sh|	πεῦσις	peu=sis	n-s---fd-
πεύσῃ	peu/sh|	πυνθάνομαι	punqa/nomai	v2sfim---
πλείστους	plei/stous	πλεῖστος	plei=stos	a-p---ma-
πλείστων	plei/stwn	πλεῖστος	plei=stos	a-p---fg-
πλείστων	plei/stwn	πλεῖστος	plei=stos	a-p---mg-
πλείστων	plei/stwn	πλεῖστος	plei=stos	a-p---ng-
πληγείς	plhgei/s	πλήσσω	plh/ssw	v-sappmn-
πληγείς	plhgei/s	πλήσσω	plh/ssw	v-sappmv-
πληγείς	plhgei/s	πλήσσω	plh/ssw	v-sappmn-
πληγείς	plhgei/s	πλήσσω	plh/ssw	v-sappmv-
πλούσιος	plou/sios	πλούσιος	plou/sios	a-s---mn-
πλήν	plh/n	πλήν	plh/n	r--------
ποθεν	poqen	ποθεν	poqen	g--------
ποιεῖν	poiei=n	ποιέω	poie/w	v--pna---
ποιησαίμην	poihsai/mhn	ποιέω	poie/w	v1saom---
ποιητέον	poihte/on	ποιητέος	poihte/os	n-s---ma-
ποιητέον	poihte/on	ποιητέος	poihte/os	n-s---nn-
ποιητέον	poihte/on	ποιητέος	poihte/os	n-s---nv-
ποιητέον	poihte/on	ποιητέος	poihte/os	n-s---na-
ποιήσειν	poih/sein	ποιέω	poie/w	v--fna---
ποιήσετε	poih/sete	ποιέω	poie/w	v2pasa---
ποιήσετε	poih/sete	ποιέω	poie/w	v2pfia---
ποιήσηται	poih/shtai	ποιέω	poie/w	v3sasm---
ποιήσουσι	poih/sousi	ποιέω	poie/w	v3pasa---
ποιήσουσι	poih/sousi	ποιέω	poie/w	v-pfpamd-
ποιήσουσι	poih/sousi	ποιέω	poie/w	v-pfpand-
ποιήσουσι	poih/sousi	ποιέω	poie/w	v3pfia---
ποιῇ	poih=|	ποιέω	poie/w	v2spse---
ποιῇ	poih=|	ποιέω	poie/w	v2spie---
ποιῇ	poih=|	ποιέω	poie/w	v3spsa---
ποιῇ	poih=|	ποιός	poio/s	a-s---fd-
πολλοῦ	pollou=	πολύς	polu/s	a-s---mg-
πολλοῦ	pollou=	πολύς	polu/s	a-s---ng-
πολλάκις	polla/kis	πολλάκις	polla/kis	d--------
πολλάς	polla/s	πολύς	polu/s	a-p---fa-
πολλήν	pollh/n	πολύς	polu/s	a-s---fa-
πολυπραγμοσύνῃ	polupragmosu/nh|	πολυπραγμοσύνη	polupragmosu/nh	n-s---fd-
πολίτας	poli/tas	πολίτης	poli/ths	n-p---ma-
πολίτας	poli/tas	πολίτης	poli/ths	n-s---mn-
πολύ	polu/	πολύς	polu/s	n-s---nn-
πολύ	polu/	πολύς	polu/s	n-s---nv-
πολύ	polu/	πολύς	polu/s	n-s---na-
πολύν	polu/n	πολύς	polu/s	n-s---ma-
πραγμάτων	pragma/twn	πρᾶγμα	pra=gma	n-p---ng-
πραττόντων	pratto/ntwn	πράσσω	pra/ssw	v-pppamg-
πραττόντων	pratto/ntwn	πράσσω	pra/ssw	v-pppang-
πραττόντων	pratto/ntwn	πράσσω	pra/ssw	v3ppma---
πραχθέντα	praxqe/nta	πράσσω	pra/ssw	v-pappnn-
πραχθέντα	praxqe/nta	πράσσω	pra/ssw	v-pappnv-
πραχθέντα	praxqe/nta	πράσσω	pra/ssw	v-pappna-
πραχθέντα	praxqe/nta	πράσσω	pra/ssw	v-sappma-
πραχθέντα	praxqe/nta	πράσσω	pra/ssw	v-pappnn-
πραχθέντα	praxqe/nta	πράσσω	pra/ssw	v-pappnv-
πραχθέντα	praxqe/nta	πράσσω	pra/ssw	v-pappna-
πραχθέντα	praxqe/nta	πράσσω	pra/ssw	v-sappma-
πρεσβῦτις	presbu=tis	πρεσβῦτις	presbu=tis	n-s---fn-
προσεληλυθέναι	proselhluqe/nai	προσέρχομαι	prose/rxomai	v--rna---
προσελθοῦσα	proselqou=sa	προσέρχομαι	prose/rxomai	v-sapafn-
προσελθοῦσα	proselqou=sa	προσέρχομαι	prose/rxomai	v-sapafv-
προσεῖχον	prosei=xon	προσέχω	prose/xw	v3piia---
προσεῖχον	prosei=xon	προσέχω	prose/xw	v1siia---
προσποιουμένη	prospoioume/nh	προσποιέω	prospoie/w	v-sppefn-
προσποιουμένη	prospoioume/nh	προσποιέω	prospoie/w	v-sppefv-
προσποιουμένη	prospoioume/nh	προσποιέω	prospoie/w	v-sppefn-
προσποιουμένη	prospoioume/nh	προσποιέω	prospoie/w	v-sppefv-
προστίθησι	prosti/qhsi	προστίθημι	prosti/qhmi	v3spia---
προσφέρων	prosfe/rwn	προσφέρω	prosfe/rw	v-sppamn-
προσέρχεταί	prose/rxetai/	προσέρχομαι	prose/rxomai	v3spie---
προσίοι	prosi/oi	πρόσειμι1	pro/seimi1	v3spoa---
προσίοιτο	prosi/oito	πρόσειμι1	pro/seimi1	v3spoe---
προσίοιτο	prosi/oito	προσίημι	prosi/hmi	v3spoe---
προϊόντος	proi+o/ntos	πρόειμι1	pro/eimi1	v-sppamg-
προϊόντος	proi+o/ntos	πρόειμι1	pro/eimi1	v-sppang-
προϊόντος	proi+o/ntos	πρόειμι2	pro/eimi2	v-sppamg-
προϊόντος	proi+o/ntos	πρόειμι2	pro/eimi2	v-sppang-
προῄδη	proh/|dh	πρόοιδα	pro/oida	v1slia---
προῄδη	proh/|dh	πρόοιδα	pro/oida	v3slia---
πράγματα	pra/gmata	πρᾶγμα	pra=gma	n-p---nn-
πράγματα	pra/gmata	πρᾶγμα	pra=gma	n-p---nv-
πράγματα	pra/gmata	πρᾶγμα	pra=gma	n-p---na-
πράγματος	pra/gmatos	πρᾶγμα	pra=gma	n-s---ng-
πράξασθαι	pra/casqai	πράσσω	pra/ssw	v--anm---
πράξασθαι	pra/casqai	πράσσω	pra/ssw	v--anm---
πράττοντας	pra/ttontas	πράσσω	pra/ssw	v-pppama-
πράττοντες	pra/ttontes	πράσσω	pra/ssw	v-pppamn-
πράττοντες	pra/ttontes	πράσσω	pra/ssw	v-pppamv-
πράττων	pra/ttwn	πράσσω	pra/ssw	v-sppamn-
πρόκειται	pro/keitai	πρόκειμαι	pro/keimai	v3spie---
πρός	pro/s	πρός	pro/s	r--------
πρόσωπον	pro/swpon	πρόσωπον	pro/swpon	n-s---nn-
πρόσωπον	pro/swpon	πρόσωπον	pro/swpon	n-s---nv-
πρόσωπον	pro/swpon	πρόσωπον	pro/swpon	n-s---na-
πρότερον	pro/teron	πρότερος	pro/teros	a-s---ma-
πρότερον	pro/teron	πρότερος	pro/teros	a-s---nn-
πρότερον	pro/teron	πρότερος	pro/teros	a-s---nv-
πρότερον	pro/teron	πρότερος	pro/teros	a-s---na-
πρώτῳ	prw/tw|	πρότερος	pro/teros	a-s---md-
πρώτῳ	prw/tw|	πρότερος	pro/teros	a-s---nd-
πρώτῳ	prw/tw|	πρῶτος	prw=tos	a-s---md-
πρώτῳ	prw/tw|	πρῶτος	prw=tos	a-s---nd-
πρῶτοι	prw=toi	πρότερος	pro/teros	a-p---mn-
πρῶτοι	prw=toi	πρότερος	pro/teros	a-p---mv-
πρῶτοι	prw=toi	πρῶτος	prw=tos	a-p---mn-
πρῶτοι	prw=toi	πρῶτος	prw=tos	a-p---mv-
πρῶτον	prw=ton	πρότερος	pro/teros	a-s---ma-
πρῶτον	prw=ton	πρότερος	pro/teros	a-s---nn-
πρῶτον	prw=ton	πρότερος	pro/teros	a-s---nv-
πρῶτον	prw=ton	πρότερος	pro/teros	a-s---na-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---ma-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---nn-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---nv-
πρῶτον	prw=ton	πρῶτος	prw=tos	a-s---na-
πάγου	pa/gou	πάγος	pa/gos	n-s---mg-
πάγου	pa/gou	πᾶγος	pa=gos	n-s---mg-
πάντα	pa/nta	πᾶς	pa=s	n-s---ma-
πάντα	pa/nta	πᾶς	pa=s	n-p---nn-
πάντα	pa/nta	πᾶς	pa=s	n-p---nv-
πάντα	pa/nta	πᾶς	pa=s	n-p---na-
πάντες	pa/ntes	πᾶς	pa=s	n-p---mn-
πάντες	pa/ntes	πᾶς	pa=s	n-p---mv-
πάντων	pa/ntwn	πᾶς	pa=s	n-p---mg-
πάντων	pa/ntwn	πᾶς	pa=s	n-p---ng-
πάσας	pa/sas	πάσσω	pa/ssw	v-sapamn-
πάσας	pa/sas	πάσσω	pa/ssw	v-sapamv-
πάσας	pa/sas	πάσσω	pa/ssw	v2saia---
πάσας	pa/sas	πᾶς	pa=s	n-p---fa-
πάσας	pa/sas	πᾶς	pa=s	n-s---fg-
πάσας	pa/sas	πᾶς	pa=s	n-p---fa-
πάτριόν	pa/trio/n	πάτριος	pa/trios	a-s---ma-
πάτριόν	pa/trio/n	πάτριος	pa/trios	a-s---nn-
πάτριόν	pa/trio/n	πάτριος	pa/trios	a-s---nv-
πάτριόν	pa/trio/n	πάτριος	pa/trios	a-s---na-
πάτριόν	pa/trio/n	πάτριος	pa/trios	n-s---ma-
πάτριόν	pa/trio/n	πάτριος	pa/trios	n-s---fa-
πάτριόν	pa/trio/n	πάτριος	pa/trios	n-s---nn-
πάτριόν	pa/trio/n	πάτριος	pa/trios	n-s---nv-
πάτριόν	pa/trio/n	πάτριος	pa/trios	n-s---na-
πένητος	pe/nhtos	πένης	pe/nhs	n-s---mg-
πέντε	pe/nte	πέντε	pe/nte	m--------
πίστιν	pi/stin	πίστις	pi/stis	n-s---fa-
πόλει	po/lei	πόλις	po/lis	n-d---fn-
πόλει	po/lei	πόλις	po/lis	n-d---fv-
πόλει	po/lei	πόλις	po/lis	n-d---fa-
πόλει	po/lei	πόλις	po/lis	n-s---fd-
πόλει	po/lei	πόλις	po/lis	n-s---fd-
πόλει	po/lei	πολέω	pole/w	v2spma---
πόλει	po/lei	πολέω	pole/w	v3siia---
πόλεις	po/leis	πόλις	po/lis	n-p---fn-
πόλεις	po/leis	πόλις	po/lis	n-p---fv-
πόλεις	po/leis	πόλις	po/lis	n-p---fn-
πόλεις	po/leis	πόλις	po/lis	n-p---fa-
πόλεις	po/leis	πόλις	po/lis	n-p---fn-
πόλεις	po/leis	πολέω	pole/w	v2siia---
πόλεις	po/leis	πολύς	polu/s	n-p---mn-
πόλεις	po/leis	πολύς	polu/s	n-p---ma-
πόλεως	po/lews	πόλις	po/lis	n-s---fg-
πότερον	po/teron	πότερος	po/teros	a-s---ma-
πότερον	po/teron	πότερος	po/teros	a-s---nn-
πότερον	po/teron	πότερος	po/teros	a-s---nv-
πότερον	po/teron	πότερος	po/teros	a-s---na-
πύθηται	pu/qhtai	πύθω	pu/qw	v3spsp---
πύθηται	pu/qhtai	πυνθάνομαι	punqa/nomai	v3sase---
πώποτε	pw/pote	πώποτε	pw/pote	d--------
πᾶσαν	pa=san	πᾶς	pa=s	n-s---fa-
πῶς	pw=s	πῶς	pw=s	x--------
πῶς	pw=s	πῶσ2	pw=s2	d--------
πῶς	pw=s	πως	pws	g--------
σε	se	σύ	su/	p-s----a-
σιδήριον	sidh/rion	σιδήριον	sidh/rion	n-s---nn-
σιδήριον	sidh/rion	σιδήριον	sidh/rion	n-s---nv-
σιδήριον	sidh/rion	σιδήριον	sidh/rion	n-s---na-
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v2spse---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v2spie---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v3spsa---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v3spia---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v2spse---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v2spie---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	v3spsa---
σιωπῇ	siwph=|	σιωπή	siwph/	n-s---fd-
σκεψώμεθα	skeyw/meqa	σκέπτομαι	ske/ptomai	v1pase---
σκέψασθε	ske/yasqe	σκέπτομαι	ske/ptomai	v2pame---
σκέψασθε	ske/yasqe	σκέπτομαι	ske/ptomai	v2paie---
σοι	soi	σύ	su/	p-s----d-
σοί	soi/	σός	so/s	a-p---mn-
σοί	soi/	σός	so/s	a-p---mv-
σοί	soi/	σύ	su/	p-s----d-
σοί	soi/	σύ	su/	p-s----d-
στήλης	sth/lhs	στήλη	sth/lh	n-s---fg-
συγγνώμης	suggnw/mhs	συγγνώμη	suggnw/mh	n-s---fg-
συκοφαντῶν	sukofantw=n	συκοφάντης	sukofa/nths	n-p---mg-
συκοφαντῶν	sukofantw=n	συκοφαντέω	sukofante/w	v-sppamn-
συλλεγῆναι	sullegh=nai	σύν-λέγω1	su/n-le/gw1	v--anp---
συνδειπνεῖν	sundeipnei=n	συνδειπνέω	sundeipne/w	v--pna---
συνδειπνεῖν	sundeipnei=n	συνδειπνέω	sundeipne/w	v--pna---
συνδειπνοῦντα	sundeipnou=nta	συνδειπνέω	sundeipne/w	v-pppann-
συνδειπνοῦντα	sundeipnou=nta	συνδειπνέω	sundeipne/w	v-pppanv-
συνδειπνοῦντα	sundeipnou=nta	συνδειπνέω	sundeipne/w	v-pppana-
συνδειπνοῦντα	sundeipnou=nta	συνδειπνέω	sundeipne/w	v-sppama-
συνδειπνοῦντα	sundeipnou=nta	συνδειπνέω	sundeipne/w	v-pppann-
συνδειπνοῦντα	sundeipnou=nta	συνδειπνέω	sundeipne/w	v-pppanv-
συνδειπνοῦντα	sundeipnou=nta	συνδειπνέω	sundeipne/w	v-pppana-
συνδειπνοῦντα	sundeipnou=nta	συνδειπνέω	sundeipne/w	v-sppama-
συνδειπνήσοντά	sundeipnh/sonta/	συνδειπνέω	sundeipne/w	v-pfpann-
συνδειπνήσοντά	sundeipnh/sonta/	συνδειπνέω	sundeipne/w	v-pfpanv-
συνδειπνήσοντά	sundeipnh/sonta/	συνδειπνέω	sundeipne/w	v-pfpana-
συνδειπνήσοντά	sundeipnh/sonta/	συνδειπνέω	sundeipne/w	v-sfpama-
συνδειπνήσοντά	sundeipnh/sonta/	συνδειπνέω	sundeipne/w	v-pfpann-
