Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	urn:cite2:hmt:lsj.chicago_md:n17435	n-s---fd-
πεσεῖν	pesei=n	πίπτω	pi/ptw	urn:cite2:hmt:lsj.chicago_md:n83253	v--ana---
πεσήματος	pesh/matos	πέσημα	pe/shma	urn:cite2:hmt:lsj.chicago_md:n82690	n-s---ng-
πεσόντα	peso/nta	πίπτω	pi/ptw	urn:cite2:hmt:lsj.chicago_md:n83253	v-papann-
πεσόντα	peso/nta	πίπτω	pi/ptw	urn:cite2:hmt:lsj.chicago_md:n83253	v-papanv-
πεσόντα	peso/nta	πίπτω	pi/ptw	urn:cite2:hmt:lsj.chicago_md:n83253	v-papana-
πεσόντα	peso/nta	πίπτω	pi/ptw	urn:cite2:hmt:lsj.chicago_md:n83253	v-sapama-
πετρίνας	petri/nas	πέτρινος	pe/trinos	urn:cite2:hmt:lsj.chicago_md:n82776	a-p---fa-
πετρίνας	petri/nas	πέτρινος	pe/trinos	urn:cite2:hmt:lsj.chicago_md:n82776	a-s---fg-
πετόμενος	peto/menos	πέτομαι	pe/tomai	urn:cite2:hmt:lsj.chicago_md:n82756	v-sppemn-
πείσασα	pei/sasa	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v-sapafn-
πείσασα	pei/sasa	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v-sapafv-
πείσω	pei/sw	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v1sasa---
πείσω	pei/sw	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v1sfia---
πείσω	pei/sw	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v2saim---
πηγαῖς	phgai=s	πηγή	phgh/	urn:cite2:hmt:lsj.chicago_md:n82881	n-p---fd-
πηγαῖς	phgai=s	πηγός	phgo/s	urn:cite2:hmt:lsj.chicago_md:n82891	a-p---fd-
πηγαῖσιν	phgai=sin	πηγή	phgh/	urn:cite2:hmt:lsj.chicago_md:n82881	n-p---fd-
πηγαῖσιν	phgai=sin	πηγός	phgo/s	urn:cite2:hmt:lsj.chicago_md:n82891	a-p---fd-
πηγάς	phga/s	πηγάς	phga/s	urn:cite2:hmt:lsj.chicago_md:n82877	n-s---fn-
πηγάς	phga/s	πηγή	phgh/	urn:cite2:hmt:lsj.chicago_md:n82881	n-p---fa-
πηγάς	phga/s	πηγός	phgo/s	urn:cite2:hmt:lsj.chicago_md:n82891	a-p---fa-
πηδαλίων	phdali/wn	πηδάλιον	phda/lion	urn:cite2:hmt:lsj.chicago_md:n82893	n-p---ng-
πημάτων	phma/twn	πῆμα	ph=ma	urn:cite2:hmt:lsj.chicago_md:n82972	n-p---ng-
πιστάς	pista/s	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-p---fa-
πιστάς	pista/s	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-p---fa-
πιστάς	pista/s	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-p---fa-
πιστάς	pista/s	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-p---fa-
πιστή	pisth/	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---fn-
πιστή	pisth/	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---fn-
πιστή	pisth/	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---fv-
πιστή	pisth/	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---fv-
πιστή	pisth/	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---fn-
πιστή	pisth/	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---fn-
πιστή	pisth/	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---fv-
πιστή	pisth/	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---fv-
πιστόν	pisto/n	πιστόν	pisto/n	urn:cite2:hmt:lsj.chicago_md:n83322	n-s---nn-
πιστόν	pisto/n	πιστόν	pisto/n	urn:cite2:hmt:lsj.chicago_md:n83322	n-s---nv-
πιστόν	pisto/n	πιστόν	pisto/n	urn:cite2:hmt:lsj.chicago_md:n83322	n-s---na-
πιστόν	pisto/n	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---ma-
πιστόν	pisto/n	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---ma-
πιστόν	pisto/n	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---nn-
πιστόν	pisto/n	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---nn-
πιστόν	pisto/n	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---nv-
πιστόν	pisto/n	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---nv-
πιστόν	pisto/n	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---na-
πιστόν	pisto/n	πιστόσ1	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---na-
πιστόν	pisto/n	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---ma-
πιστόν	pisto/n	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---ma-
πιστόν	pisto/n	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---nn-
πιστόν	pisto/n	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---nn-
πιστόν	pisto/n	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---nv-
πιστόν	pisto/n	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---nv-
πιστόν	pisto/n	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83324	a-s---na-
πιστόν	pisto/n	πιστόσ2	pisto/s	urn:cite2:hmt:lsj.chicago_md:n83325	a-s---na-
πλεκτάς	plekta/s	πλεκτή	plekth/	urn:cite2:hmt:lsj.chicago_md:n83679	n-p---fa-
πλεκτάς	plekta/s	πλεκτός	plekto/s	urn:cite2:hmt:lsj.chicago_md:n83681	a-p---fa-
πλευρά	pleura/	πλευρά	pleura/	urn:cite2:hmt:lsj.chicago_md:n83732	n-d---fn-
πλευρά	pleura/	πλευρά	pleura/	urn:cite2:hmt:lsj.chicago_md:n83732	n-d---fv-
πλευρά	pleura/	πλευρά	pleura/	urn:cite2:hmt:lsj.chicago_md:n83732	n-d---fa-
πλευρά	pleura/	πλευρά	pleura/	urn:cite2:hmt:lsj.chicago_md:n83732	n-s---fn-
πλευρά	pleura/	πλευρά	pleura/	urn:cite2:hmt:lsj.chicago_md:n83732	n-s---fv-
πλευρά	pleura/	πλευρόν	pleuro/n	urn:cite2:hmt:lsj.chicago_md:n83745	n-p---nn-
πλευρά	pleura/	πλευρόν	pleuro/n	urn:cite2:hmt:lsj.chicago_md:n83745	n-p---nv-
πλευρά	pleura/	πλευρόν	pleuro/n	urn:cite2:hmt:lsj.chicago_md:n83745	n-p---na-
πλευράς	pleura/s	πλευρά	pleura/	urn:cite2:hmt:lsj.chicago_md:n83732	n-p---fa-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-p---nn-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-p---nv-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-p---na-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-s---ma-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-s---fa-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-p---nn-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-s----d-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-s---nd-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-d----n-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-d----v-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-d----a-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-d---nn-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-d---nv-
πλείον’	plei/on'	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-d---na-
πλείοσι	plei/osi	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-p----d-
πλείοσι	plei/osi	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-p---nd-
πληρώσαντες	plhrw/santes	πληρόω	plhro/w	urn:cite2:hmt:lsj.chicago_md:n83834	v-papamn-
πληρώσαντες	plhrw/santes	πληρόω	plhro/w	urn:cite2:hmt:lsj.chicago_md:n83834	v-papamv-
πλησιστίοισι	plhsisti/oisi	πλησίστιος	plhsi/stios	urn:cite2:hmt:lsj.chicago_md:n83858	n-p---md-
πλησιστίοισι	plhsisti/oisi	πλησίστιος	plhsi/stios	urn:cite2:hmt:lsj.chicago_md:n83858	n-p---fd-
πλησιστίοισι	plhsisti/oisi	πλησίστιος	plhsi/stios	urn:cite2:hmt:lsj.chicago_md:n83858	n-p---nd-
πλοκαῖς	plokai=s	πλοκή	plokh/	urn:cite2:hmt:lsj.chicago_md:n83937	n-p---fd-
πλοκάμους	ploka/mous	πλόκαμος	plo/kamos	urn:cite2:hmt:lsj.chicago_md:n83931	n-p---ma-
πλωτήρων	plwth/rwn	πλωτήρ	plwth/r	urn:cite2:hmt:lsj.chicago_md:n84028	n-p---mg-
πλάνητες	pla/nhtes	πλάνης	pla/nhs	urn:cite2:hmt:lsj.chicago_md:n83470	n-p---mn-
πλάνητες	pla/nhtes	πλάνης	pla/nhs	urn:cite2:hmt:lsj.chicago_md:n83470	n-p---mv-
πλάταις	pla/tais	πλάτη	pla/th	urn:cite2:hmt:lsj.chicago_md:n83546	n-p---fd-
πλάτας	pla/tas	πλάτη	pla/th	urn:cite2:hmt:lsj.chicago_md:n83546	n-p---fa-
πλάτας	pla/tas	πλάτη	pla/th	urn:cite2:hmt:lsj.chicago_md:n83546	n-s---fg-
πλάτῃ	pla/th|	πλάτη	pla/th	urn:cite2:hmt:lsj.chicago_md:n83546	n-s---fd-
πλέον	ple/on	πλέος	ple/os	urn:cite2:hmt:lsj.chicago_md:n83718	n-s---ma-
πλέον	ple/on	πλέος	ple/os	urn:cite2:hmt:lsj.chicago_md:n83718	n-s---nn-
πλέον	ple/on	πλέος	ple/os	urn:cite2:hmt:lsj.chicago_md:n83718	n-s---nv-
πλέον	ple/on	πλέος	ple/os	urn:cite2:hmt:lsj.chicago_md:n83718	n-s---na-
πλέον	ple/on	πλέω	ple/w	urn:cite2:hmt:lsj.chicago_md:n83754	v-sppamv-
πλέον	ple/on	πλέω	ple/w	urn:cite2:hmt:lsj.chicago_md:n83754	v-sppann-
πλέον	ple/on	πλέω	ple/w	urn:cite2:hmt:lsj.chicago_md:n83754	v-sppanv-
πλέον	ple/on	πλέω	ple/w	urn:cite2:hmt:lsj.chicago_md:n83754	v-sppana-
πλέον	ple/on	πλέω	ple/w	urn:cite2:hmt:lsj.chicago_md:n83754	v3piia---
πλέον	ple/on	πλέω	ple/w	urn:cite2:hmt:lsj.chicago_md:n83754	v1siia---
πλέον	ple/on	πλέως	ple/ws	urn:cite2:hmt:lsj.chicago_md:n83756	a-s---ma-
πλέον	ple/on	πλέως	ple/ws	urn:cite2:hmt:lsj.chicago_md:n83756	a-s---nn-
πλέον	ple/on	πλέως	ple/ws	urn:cite2:hmt:lsj.chicago_md:n83756	a-s---nv-
πλέον	ple/on	πλέως	ple/ws	urn:cite2:hmt:lsj.chicago_md:n83756	a-s---na-
πλέον	ple/on	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-s---mv-
πλέον	ple/on	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-s---fv-
πλέον	ple/on	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-s---nn-
πλέον	ple/on	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-s---nv-
πλέον	ple/on	πλείων	plei/wn	urn:cite2:hmt:lsj.chicago_md:n83669	a-s---na-
πλήγματ’	plh/gmat'	πλῆγμα	plh=gma	urn:cite2:hmt:lsj.chicago_md:n83765	n-p---nn-
πλήγματ’	plh/gmat'	πλῆγμα	plh=gma	urn:cite2:hmt:lsj.chicago_md:n83765	n-p---nv-
πλήγματ’	plh/gmat'	πλῆγμα	plh=gma	urn:cite2:hmt:lsj.chicago_md:n83765	n-p---na-
πλήγματ’	plh/gmat'	πλῆγμα	plh=gma	urn:cite2:hmt:lsj.chicago_md:n83765	n-s---nd-
πλήγματ’	plh/gmat'	πλῆγμα	plh=gma	urn:cite2:hmt:lsj.chicago_md:n83765	n-d---nn-
πλήγματ’	plh/gmat'	πλῆγμα	plh=gma	urn:cite2:hmt:lsj.chicago_md:n83765	n-d---nv-
πλήγματ’	plh/gmat'	πλῆγμα	plh=gma	urn:cite2:hmt:lsj.chicago_md:n83765	n-d---na-
πλήν	plh/n	πλήν	plh/n	urn:cite2:hmt:lsj.chicago_md:n83818	r--------
πνευμάτων	pneuma/twn	πνεῦμα	pneu=ma	urn:cite2:hmt:lsj.chicago_md:n84034	n-p---ng-
πνευμάτων	pneuma/twn	πνευματόω	pneumato/w	urn:cite2:hmt:lsj.chicago_md:n84052	v3piia---
πνευμάτων	pneuma/twn	πνευματόω	pneumato/w	urn:cite2:hmt:lsj.chicago_md:n84052	v1siia---
πνεύμασι	pneu/masi	πνεῦμα	pneu=ma	urn:cite2:hmt:lsj.chicago_md:n84034	n-p---nd-
πνεῦμα	pneu=ma	πνεῦμα	pneu=ma	urn:cite2:hmt:lsj.chicago_md:n84034	n-s---nn-
πνεῦμα	pneu=ma	πνεῦμα	pneu=ma	urn:cite2:hmt:lsj.chicago_md:n84034	n-s---nv-
πνεῦμα	pneu=ma	πνεῦμα	pneu=ma	urn:cite2:hmt:lsj.chicago_md:n84034	n-s---na-
πνοαί	pnoai/	πνοή	pnoh/	urn:cite2:hmt:lsj.chicago_md:n84089	n-p---fn-
πνοαί	pnoai/	πνοή	pnoh/	urn:cite2:hmt:lsj.chicago_md:n84089	n-p---fv-
πνοαῖς	pnoai=s	πνοή	pnoh/	urn:cite2:hmt:lsj.chicago_md:n84089	n-p---fd-
πνέουσα	pne/ousa	πνέω	pne/w	urn:cite2:hmt:lsj.chicago_md:n84068	v-sppafn-
πνέουσα	pne/ousa	πνέω	pne/w	urn:cite2:hmt:lsj.chicago_md:n84068	v-sppafv-
ποδαποί	podapoi/	ποδαπός	podapo/s	urn:cite2:hmt:lsj.chicago_md:n84120	a-p---mn-
ποδαποί	podapoi/	ποδαπός	podapo/s	urn:cite2:hmt:lsj.chicago_md:n84120	a-p---mv-
ποδαπός	podapo/s	ποδαπός	podapo/s	urn:cite2:hmt:lsj.chicago_md:n84120	a-s---mn-
ποδωκείας	podwkei/as	ποδώκεια	podw/keia	urn:cite2:hmt:lsj.chicago_md:n84184	n-p---fa-
ποδωκείας	podwkei/as	ποδώκεια	podw/keia	urn:cite2:hmt:lsj.chicago_md:n84184	n-s---fg-
ποδωκείας	podwkei/as	ποδώκεια	podw/keia	urn:cite2:hmt:lsj.chicago_md:n84184	n-p---fa-
ποδωκείας	podwkei/as	ποδώκεια	podw/keia	urn:cite2:hmt:lsj.chicago_md:n84184	n-s---fg-
ποδός	podo/s	πούς	pou/s	urn:cite2:hmt:lsj.chicago_md:n86108	n-s---mg-
ποδῶν	podw=n	ποδόω	podo/w	urn:cite2:hmt:lsj.chicago_md:n84183	v-sppamv-
ποδῶν	podw=n	ποδόω	podo/w	urn:cite2:hmt:lsj.chicago_md:n84183	v-sppann-
ποδῶν	podw=n	ποδόω	podo/w	urn:cite2:hmt:lsj.chicago_md:n84183	v-sppanv-
ποδῶν	podw=n	ποδόω	podo/w	urn:cite2:hmt:lsj.chicago_md:n84183	v-sppana-
ποδῶν	podw=n	ποδόω	podo/w	urn:cite2:hmt:lsj.chicago_md:n84183	v-sppamn-
ποδῶν	podw=n	ποδόω	podo/w	urn:cite2:hmt:lsj.chicago_md:n84183	v--pna---
ποδῶν	podw=n	πούς	pou/s	urn:cite2:hmt:lsj.chicago_md:n86108	n-p---mg-
ποθεινός	poqeino/s	ποθεινός	poqeino/s	urn:cite2:hmt:lsj.chicago_md:n84201	a-s---mn-
ποθεινός	poqeino/s	ποθεινός	poqeino/s	urn:cite2:hmt:lsj.chicago_md:n84201	n-s---mn-
ποθεινός	poqeino/s	ποθεινός	poqeino/s	urn:cite2:hmt:lsj.chicago_md:n84201	n-s---fn-
ποθεῖς	poqei=s	ποθέω	poqe/w	urn:cite2:hmt:lsj.chicago_md:n84205	v2spia---
ποθοῦσ’	poqou=s'	ποθέω	poqe/w	urn:cite2:hmt:lsj.chicago_md:n84205	v-sppafn-
ποθοῦσ’	poqou=s'	ποθέω	poqe/w	urn:cite2:hmt:lsj.chicago_md:n84205	v-sppafv-
ποθοῦσ’	poqou=s'	ποθέω	poqe/w	urn:cite2:hmt:lsj.chicago_md:n84205	v-pppamd-
ποθοῦσ’	poqou=s'	ποθέω	poqe/w	urn:cite2:hmt:lsj.chicago_md:n84205	v-pppand-
ποθοῦσ’	poqou=s'	ποθέω	poqe/w	urn:cite2:hmt:lsj.chicago_md:n84205	v3ppia---
ποθοῦσ’	poqou=s'	ποθέω	poqe/w	urn:cite2:hmt:lsj.chicago_md:n84205	v-pppafn-
ποθοῦσ’	poqou=s'	ποθέω	poqe/w	urn:cite2:hmt:lsj.chicago_md:n84205	v-pppafv-
ποικιλόνωτος	poikilo/nwtos	ποικιλόνωτος	poikilo/nwtos	urn:cite2:hmt:lsj.chicago_md:n84293	n-s---mn-
ποικιλόνωτος	poikilo/nwtos	ποικιλόνωτος	poikilo/nwtos	urn:cite2:hmt:lsj.chicago_md:n84293	n-s---fn-
ποικίλλουσ’	poiki/llous'	ποικίλλω	poiki/llw	urn:cite2:hmt:lsj.chicago_md:n84267	v-sppafn-
ποικίλλουσ’	poiki/llous'	ποικίλλω	poiki/llw	urn:cite2:hmt:lsj.chicago_md:n84267	v-sppafv-
ποικίλλουσ’	poiki/llous'	ποικίλλω	poiki/llw	urn:cite2:hmt:lsj.chicago_md:n84267	v-pppamd-
ποικίλλουσ’	poiki/llous'	ποικίλλω	poiki/llw	urn:cite2:hmt:lsj.chicago_md:n84267	v-pppand-
ποικίλλουσ’	poiki/llous'	ποικίλλω	poiki/llw	urn:cite2:hmt:lsj.chicago_md:n84267	v3ppia---
ποικίλλουσ’	poiki/llous'	ποικίλλω	poiki/llw	urn:cite2:hmt:lsj.chicago_md:n84267	v-pppafn-
ποικίλλουσ’	poiki/llous'	ποικίλλω	poiki/llw	urn:cite2:hmt:lsj.chicago_md:n84267	v-pppafv-
ποινασόμεσθα	poinaso/mesqa	ποινάομαι	poina/omai	urn:cite2:hmt:lsj.chicago_md:n84342	v1pase---
ποινασόμεσθα	poinaso/mesqa	ποινάομαι	poina/omai	urn:cite2:hmt:lsj.chicago_md:n84342	v1pfie---
ποινά	poina/	ποινή	poinh/	urn:cite2:hmt:lsj.chicago_md:n84344	n-d---fn-
ποινά	poina/	ποινή	poinh/	urn:cite2:hmt:lsj.chicago_md:n84344	n-d---fv-
ποινά	poina/	ποινή	poinh/	urn:cite2:hmt:lsj.chicago_md:n84344	n-d---fa-
ποινά	poina/	ποινή	poinh/	urn:cite2:hmt:lsj.chicago_md:n84344	n-s---fn-
ποινά	poina/	ποινή	poinh/	urn:cite2:hmt:lsj.chicago_md:n84344	n-s---fv-
ποινάς	poina/s	ποινή	poinh/	urn:cite2:hmt:lsj.chicago_md:n84344	n-p---fa-
ποιουμένη	poioume/nh	ποιέω	poie/w	urn:cite2:hmt:lsj.chicago_md:n84234	v-sppefn-
ποιουμένη	poioume/nh	ποιέω	poie/w	urn:cite2:hmt:lsj.chicago_md:n84234	v-sppefv-
ποιουμένη	poioume/nh	ποιόω	poio/w	urn:cite2:hmt:lsj.chicago_md:n84367	v-sppefn-
ποιουμένη	poioume/nh	ποιόω	poio/w	urn:cite2:hmt:lsj.chicago_md:n84367	v-sppefv-
πολεμίων	polemi/wn	πολέμιος	pole/mios	urn:cite2:hmt:lsj.chicago_md:n84422	a-p---fg-
πολεμίων	polemi/wn	πολέμιος	pole/mios	urn:cite2:hmt:lsj.chicago_md:n84422	a-p---mg-
πολεμίων	polemi/wn	πολέμιος	pole/mios	urn:cite2:hmt:lsj.chicago_md:n84422	a-p---ng-
πολεμίων	polemi/wn	πολέμιος	pole/mios	urn:cite2:hmt:lsj.chicago_md:n84422	n-p---mg-
πολεμίων	polemi/wn	πολέμιος	pole/mios	urn:cite2:hmt:lsj.chicago_md:n84422	n-p---fg-
πολεμίων	polemi/wn	πολέμιος	pole/mios	urn:cite2:hmt:lsj.chicago_md:n84422	n-p---ng-
πολεμίων	polemi/wn	πολεμέω	poleme/w	urn:cite2:hmt:lsj.chicago_md:n84410	v-sppamn-
πολλαί	pollai/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---fn-
πολλαί	pollai/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---fv-
πολλοί	polloi/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---mn-
πολλοί	polloi/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---mv-
πολλούς	pollou/s	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---ma-
πολλοῖσι	polloi=si	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---md-
πολλοῖσι	polloi=si	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---nd-
πολλά	polla/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-d---fn-
πολλά	polla/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-d---fv-
πολλά	polla/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-d---fa-
πολλά	polla/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-s---fn-
πολλά	polla/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-s---fv-
πολλά	polla/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---nn-
πολλά	polla/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---nv-
πολλά	polla/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---na-
πολλή	pollh/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-s---fn-
πολλή	pollh/	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-s---fv-
πολλῶν	pollw=n	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---fg-
πολλῶν	pollw=n	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---mg-
πολλῶν	pollw=n	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-p---ng-
πολλῷ	pollw=|	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-s---md-
πολλῷ	pollw=|	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	a-s---nd-
πολυκώπῳ	polukw/pw|	πολύκωπος	polu/kwpos	urn:cite2:hmt:lsj.chicago_md:n85012	n-s---md-
πολυκώπῳ	polukw/pw|	πολύκωπος	polu/kwpos	urn:cite2:hmt:lsj.chicago_md:n85012	n-s---fd-
πολυκώπῳ	polukw/pw|	πολύκωπος	polu/kwpos	urn:cite2:hmt:lsj.chicago_md:n85012	n-s---nd-
πολυποίκιλα	polupoi/kila	πολυποίκιλος	polupoi/kilos	urn:cite2:hmt:lsj.chicago_md:n85227	n-p---nn-
πολυποίκιλα	polupoi/kila	πολυποίκιλος	polupoi/kilos	urn:cite2:hmt:lsj.chicago_md:n85227	n-p---nv-
πολυποίκιλα	polupoi/kila	πολυποίκιλος	polupoi/kilos	urn:cite2:hmt:lsj.chicago_md:n85227	n-p---na-
πολυπτύχῳ	poluptu/xw|	πολύπτυχος	polu/ptuxos	urn:cite2:hmt:lsj.chicago_md:n85269	n-s---md-
πολυπτύχῳ	poluptu/xw|	πολύπτυχος	polu/ptuxos	urn:cite2:hmt:lsj.chicago_md:n85269	n-s---fd-
πολυπτύχῳ	poluptu/xw|	πολύπτυχος	polu/ptuxos	urn:cite2:hmt:lsj.chicago_md:n85269	n-s---nd-
πολυάνορι	polua/nori	πολυάνωρ	polua/nwr	urn:cite2:hmt:lsj.chicago_md:n84619	n-s---md-
πολυάνορι	polua/nori	πολυάνωρ	polua/nwr	urn:cite2:hmt:lsj.chicago_md:n84619	n-s---fd-
πολυόρνιθον	poluo/rniqon	πολυόρνιθος	poluo/rniqos	urn:cite2:hmt:lsj.chicago_md:n85146	n-s---ma-
πολυόρνιθον	poluo/rniqon	πολυόρνιθος	poluo/rniqos	urn:cite2:hmt:lsj.chicago_md:n85146	n-s---fa-
πολυόρνιθον	poluo/rniqon	πολυόρνιθος	poluo/rniqos	urn:cite2:hmt:lsj.chicago_md:n85146	n-s---nn-
πολυόρνιθον	poluo/rniqon	πολυόρνιθος	poluo/rniqos	urn:cite2:hmt:lsj.chicago_md:n85146	n-s---nv-
πολυόρνιθον	poluo/rniqon	πολυόρνιθος	poluo/rniqos	urn:cite2:hmt:lsj.chicago_md:n85146	n-s---na-
πολέσιν	pole/sin	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	n-p---m--
πολέσιν	pole/sin	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	n-p---n--
πολίταις	poli/tais	πολίτης	poli/ths	urn:cite2:hmt:lsj.chicago_md:n84511	n-p---md-
πολίτης	poli/ths	πολίτης	poli/ths	urn:cite2:hmt:lsj.chicago_md:n84511	n-s---mn-
πολύθυροι	polu/quroi	πολύθυρος	polu/quros	urn:cite2:hmt:lsj.chicago_md:n84885	n-p---mn-
πολύθυροι	polu/quroi	πολύθυρος	polu/quros	urn:cite2:hmt:lsj.chicago_md:n84885	n-p---mv-
πολύθυροι	polu/quroi	πολύθυρος	polu/quros	urn:cite2:hmt:lsj.chicago_md:n84885	n-p---fn-
πολύθυροι	polu/quroi	πολύθυρος	polu/quros	urn:cite2:hmt:lsj.chicago_md:n84885	n-p---fv-
πολύν	polu/n	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	n-s---ma-
πολύς	polu/s	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	n-s---mn-
πολύχρυσα	polu/xrusa	πολύχρυσος	polu/xrusos	urn:cite2:hmt:lsj.chicago_md:n85571	n-p---nn-
