’	e)\	- no urn found -	ἒ
μνημήιον	mnhmh/ion	- no urn found -	μνημήιον
μνημήιον	mnhmh/ios	- no urn found -	μνημήιος
μνημήιον	mnhmh/ios	- no urn found -	μνημήιος
μνημήιον	mnhmh/ios	- no urn found -	μνημήιος
μνημήιον	mnhmh/ios	- no urn found -	μνημήιος
μνημήιον	mnhmh/ios	- no urn found -	μνημήιος
μάλιστα	ma/lista	- no urn found -	μάλιστα
μάλιστά	ma/lista	- no urn found -	μάλιστα
μίξιν	mi=cis	- no urn found -	μῖξις
μίσγεσθαι	mi/gnumi	- no urn found -	μίγνυμι
μίσγεται	mi/gnumi	- no urn found -	μίγνυμι
μίσγονται	mi/gnumi	- no urn found -	μίγνυμι
μίσγωνται	mi/gnumi	- no urn found -	μίγνυμι
ναυτικοῦ	nautiko/n	- no urn found -	ναυτικόν
ναυτικόν	nautiko/n	- no urn found -	ναυτικόν
ναυτικόν	nautiko/n	- no urn found -	ναυτικόν
ναυτικόν	nautiko/n	- no urn found -	ναυτικόν
ναυτικῷ	nautiko/n	- no urn found -	ναυτικόν
ναίοισι	nh/ios	- no urn found -	νήιος
ναίοισι	nh/ios	- no urn found -	νήιος
ναίοισι	nh/ios	- no urn found -	νήιος
ναίοισι	nh/ios	- no urn found -	νήιος
ναίοισι	nh/ios	- no urn found -	νήιος
νεηνιέων	neani/hs	- no urn found -	νεανίης
νεηνίαι	neani/hs	- no urn found -	νεανίης
νεηνίαι	neani/hs	- no urn found -	νεανίης
νεηνίαι	neani/hs	- no urn found -	νεανίης
νεηνίας	neani/hs	- no urn found -	νεανίης
νεηνίας	neani/hs	- no urn found -	νεανίης
νεηνίεω	neani/hs	- no urn found -	νεανίης
νεηνίης	neani/hs	- no urn found -	νεανίης
νεηνίῃσι	neani/hs	- no urn found -	νεανίης
νεικέων	nei	- no urn found -	νει
νείκεα	nei	- no urn found -	νει
νείκεα	nei	- no urn found -	νει
νείκεα	nei	- no urn found -	νει
νείκεσι	nei	- no urn found -	νει
νείκεά	nei	- no urn found -	νει
νείκεά	nei	- no urn found -	νει
νείκεά	nei	- no urn found -	νει
νεῖκος	nei	- no urn found -	νει
νεῖκος	nei	- no urn found -	νει
νεῖκος	nei	- no urn found -	νει
νεῖκός	nei	- no urn found -	νει
νεῖκός	nei	- no urn found -	νει
νεῖκός	nei	- no urn found -	νει
νηί	*naia/s	- no urn found -	Ναιάς
νηΐ	*naia/s	- no urn found -	Ναιάς
νομέας	nome/hs	- no urn found -	νομέης
νομέας	nome/hs	- no urn found -	νομέης
νώτου	nw=tos	- no urn found -	νῶτος
νώτῳ	nw=tos	- no urn found -	νῶτος
νῶτον	nw=tos	- no urn found -	νῶτος
ξυροῦ	cura/w	- no urn found -	ξυράω
ξυροῦνται	cura/w	- no urn found -	ξυράω
ξυροῦντες	cura/w	- no urn found -	ξυράω
ξυροῦντες	cura/w	- no urn found -	ξυράω
οἰδεόντων	oi)da/w	- no urn found -	οἰδάω
οἰδεόντων	oi)da/w	- no urn found -	οἰδάω
οἰδεόντων	oi)da/w	- no urn found -	οἰδάω
οἰκτίρας	oi)ktei/rw	- no urn found -	οἰκτείρω
οἰκτίρας	oi)ktei/rw	- no urn found -	οἰκτείρω
οἰκτίρεσθαι	oi)ktei/rw	- no urn found -	οἰκτείρω
οἰκτῖραί	oi)ktei/rw	- no urn found -	οἰκτείρω
οἰνοχόον	oi)noxo/os	- no urn found -	οἰνοχόος
οἰνοχόος	oi)noxo/os	- no urn found -	οἰνοχόος
οἴκτιρε	oi)ktei/rw	- no urn found -	οἰκτείρω
οἴκτιρε	oi)ktei/rw	- no urn found -	οἰκτείρω
οἴκτιρε	oi)ktei/rw	- no urn found -	οἰκτείρω
οὐλότατον	o(/loc	- no urn found -	ὅλοξ
οὐλότατον	o(/loc	- no urn found -	ὅλοξ
οὐλότατον	o(/loc	- no urn found -	ὅλοξ
οὐλότατον	o(/loc	- no urn found -	ὅλοξ
οὔτ’	ou)/ti	- no urn found -	οὔτι
οὔτι	ou)/ti	- no urn found -	οὔτι
παιδίου	pai/dion	- no urn found -	παίδιον
παιδίου	pai/dios	- no urn found -	παίδιος
παιδίων	pai/dion	- no urn found -	παίδιον
παιδίων	pai/dios	- no urn found -	παίδιος
παιδίῳ	pai/dion	- no urn found -	παίδιον
παιδίῳ	pai/dios	- no urn found -	παίδιος
πανοικίῃ	panoiki/a|	- no urn found -	πανοικίᾳ
πανστρατιῇ	panstratia/	- no urn found -	πανστρατιά
παρακατημένων	para/-ka/qhmai	- no urn found -	παρά-κάθημαι
παρακατημένων	para/-ka/qhmai	- no urn found -	παρά-κάθημαι
παρακατημένων	para/-ka/qhmai	- no urn found -	παρά-κάθημαι
παρακατέθεντο	parakatati/qemai	- no urn found -	παρακατατίθεμαι
παρακαίεται	parakai/omai	- no urn found -	παρακαίομαι
παραρτέεσθαι	pararta/omai	- no urn found -	παραρτάομαι
παραρτέεσθαί	pararta/omai	- no urn found -	παραρτάομαι
παραρτέετο	pararta/omai	- no urn found -	παραρτάομαι
παραρτέετο	pararta/omai	- no urn found -	παραρτάομαι
παραρτέοντο	pararta/omai	- no urn found -	παραρτάομαι
παραρτέοντο	pararta/omai	- no urn found -	παραρτάομαι
παραρτέοντό	pararta/omai	- no urn found -	παραρτάομαι
παραρτέοντό	pararta/omai	- no urn found -	παραρτάομαι
παραφυομένῃ	parafu/omai	- no urn found -	παραφύομαι
παραχρησάμενοι	paraxra/w	- no urn found -	παραχράω
παραχρησάμενοι	paraxra/w	- no urn found -	παραχράω
παραχρησάμενον	paraxra/w	- no urn found -	παραχράω
παραχρησάμενον	paraxra/w	- no urn found -	παραχράω
παραχρησάμενον	paraxra/w	- no urn found -	παραχράω
παραχρησάμενον	paraxra/w	- no urn found -	παραχράω
παραχρήσῃ	paraxra/w	- no urn found -	παραχράω
παραχρήσῃ	paraxra/w	- no urn found -	παραχράω
παραχρήσῃ	paraxra/w	- no urn found -	παραχράω
παραχρᾶσθε	paraxra/w	- no urn found -	παραχράω
παραχρᾶσθε	paraxra/w	- no urn found -	παραχράω
παραχρᾶσθε	paraxra/w	- no urn found -	παραχράω
παραχρᾶσθε	paraxra/w	- no urn found -	παραχράω
παραχρᾶσθε	paraxra/w	- no urn found -	παραχράω
παρδαλέας	parda/leos	- no urn found -	παρδάλεος
παρδαλέας	parda/leos	- no urn found -	παρδάλεος
παρείη	parei/hs	- no urn found -	παρείης
παρημένην	para/-h(=mai	- no urn found -	παρά-ἧμαι
παρισούμενοι	pariso/omai	- no urn found -	παρισόομαι
παρισούμενοι	pariso/omai	- no urn found -	παρισόομαι
παρισούμενος	pariso/omai	- no urn found -	παρισόομαι
παριστάμενοι	parista/w	- no urn found -	παριστάω
παριστάμενοι	parista/w	- no urn found -	παριστάω
παρήρτητο	pararta/omai	- no urn found -	παραρτάομαι
παρήρτητο	pararta/omai	- no urn found -	παραρτάομαι
πατρωίας	patrw/ios	- no urn found -	πατρώιος
πατρωίας	patrw/ios	- no urn found -	πατρώιος
πατρωίη	patrw/ios	- no urn found -	πατρώιος
πατρωίη	patrw/ios	- no urn found -	πατρώιος
πατρωίους	patrw/ios	- no urn found -	πατρώιος
πατρωίων	patrw/ios	- no urn found -	πατρώιος
πατρωίων	patrw/ios	- no urn found -	πατρώιος
πατρωίων	patrw/ios	- no urn found -	πατρώιος
πατρωίῃσι	patrw/ios	- no urn found -	πατρώιος
πατρωίῳ	patrw/ios	- no urn found -	πατρώιος
πατρωίῳ	patrw/ios	- no urn found -	πατρώιος
πατρώια	patrw/ios	- no urn found -	πατρώιος
πατρώια	patrw/ios	- no urn found -	πατρώιος
πατρώια	patrw/ios	- no urn found -	πατρώιος
πατρώιοι	patrw/ios	- no urn found -	πατρώιος
πατρώιοι	patrw/ios	- no urn found -	πατρώιος
πατρώιόν	patrw/ios	- no urn found -	πατρώιος
πατρώιόν	patrw/ios	- no urn found -	πατρώιος
πατρώιόν	patrw/ios	- no urn found -	πατρώιος
πατρώιόν	patrw/ios	- no urn found -	πατρώιος
πενταπόλιος	pe/ntapolis	- no urn found -	πένταπολις
πεπρωμένην	po/rw	- no urn found -	πόρω
πεπρωμένης	po/rw	- no urn found -	πόρω
πεπρωμένον	po/rw	- no urn found -	πόρω
πεπρωμένον	po/rw	- no urn found -	πόρω
πεπρωμένον	po/rw	- no urn found -	πόρω
πεπρωμένον	po/rw	- no urn found -	πόρω
περ	pe/r	- no urn found -	πέρ
περαίην	pe/raios	- no urn found -	πέραιος
περιεῖδε	peri/-ei)=don	- no urn found -	περί-εἶδον
περιεῖδες	peri/-ei)=don	- no urn found -	περί-εἶδον
περιεῖδον	peri/-ei)=don	- no urn found -	περί-εἶδον
περιεῖδον	peri/-ei)=don	- no urn found -	περί-εἶδον
περιεῖπε	peri/-ei)=pon	- no urn found -	περί-εἶπον
περιεῖπε	peri/-ei)=pon	- no urn found -	περί-εἶπον
περιεῖπον	peri/-ei)=pon	- no urn found -	περί-εἶπον
περιεῖπον	peri/-ei)=pon	- no urn found -	περί-εἶπον
περιιδεῖν	peri/-ei)=don	- no urn found -	περί-εἶδον
περιιδεῖν	peri/-i)de/w	- no urn found -	περί-ἰδέω
περιιδόντες	peri/-ei)=don	- no urn found -	περί-εἶδον
περιιδόντες	peri/-ei)=don	- no urn found -	περί-εἶδον
περικατημένων	peri/-ka/qhmai	- no urn found -	περί-κάθημαι
περικατημένων	peri/-ka/qhmai	- no urn found -	περί-κάθημαι
περικατημένων	peri/-ka/qhmai	- no urn found -	περί-κάθημαι
περικατημένῳ	peri/-ka/qhmai	- no urn found -	περί-κάθημαι
περικατημένῳ	peri/-ka/qhmai	- no urn found -	περί-κάθημαι
περικατέατο	peri/-ka/qhmai	- no urn found -	περί-κάθημαι
περικατήμενος	peri/-ka/qhmai	- no urn found -	περί-κάθημαι
περιρρόου	peri/rrous	- no urn found -	περίρρους
περιρρόου	peri/rrous	- no urn found -	περίρρους
περιρρόου	peri/rrous	- no urn found -	περίρρους
περισκεψάμενοι	peri/-ske/ptomai	- no urn found -	περί-σκέπτομαι
περισκεψάμενοι	peri/-ske/ptomai	- no urn found -	περί-σκέπτομαι
περισπερχθέντων	peri/-spe/rxw	- no urn found -	περί-σπέρχω
περισπερχθέντων	peri/-spe/rxw	- no urn found -	περί-σπέρχω
περισσῶς	perissw=s	- no urn found -	περισσῶς
περιστρωφώμενον	peristrwfa/omai	- no urn found -	περιστρωφάομαι
περιστρωφώμενον	peristrwfa/omai	- no urn found -	περιστρωφάομαι
περιστρωφώμενον	peristrwfa/omai	- no urn found -	περιστρωφάομαι
περιστρωφώμενον	peristrwfa/omai	- no urn found -	περιστρωφάομαι
περισφύρια	perisfu/rion	- no urn found -	περισφύριον
περισφύρια	perisfu/rion	- no urn found -	περισφύριον
περισφύρια	perisfu/rion	- no urn found -	περισφύριον
περισφύριον	perisfu/rion	- no urn found -	περισφύριον
περισφύριον	perisfu/rion	- no urn found -	περισφύριον
περισφύριον	perisfu/rion	- no urn found -	περισφύριον
περιφορητά	perifo/rhtos	- no urn found -	περιφόρητος
περιφορητά	perifo/rhtos	- no urn found -	περιφόρητος
περιφορητά	perifo/rhtos	- no urn found -	περιφόρητος
περιέουσι	peri/-i(e/w	- no urn found -	περί-ἱέω
περιέουσι	peri/-i(e/w	- no urn found -	περί-ἱέω
περιέουσι	peri/-i(e/w	- no urn found -	περί-ἱέω
περιήϊε	peri/-a)i/w	- no urn found -	περί-ἀίω1
περιήϊε	peri/-ei)=mi	- no urn found -	περί-εἶμι
περιίδητε	peri/-ei)=don	- no urn found -	περί-εἶδον
περιίδῃς	peri/-ei)=don	- no urn found -	περί-εἶδον
περίεις	peri/-ei)=mi	- no urn found -	περί-εἶμι
περίεις	peri/-i(/hmi	- no urn found -	περί-ἵημι
περίεις	peri/-i(/hmi	- no urn found -	περί-ἵημι
περίεις	peri/-i(e/w	- no urn found -	περί-ἱέω
περίεις	peri/-i(e/w	- no urn found -	περί-ἱέω
περίπλοον	peri/plous	- no urn found -	περίπλους
περίπλοον	peri/plous	- no urn found -	περίπλους
περίπλοον	peri/plous	- no urn found -	περίπλους
περίπλοον	peri/plous	- no urn found -	περίπλους
περίπλοον	peri/plous	- no urn found -	περίπλους
περίστυλον	peri/stulon	- no urn found -	περίστυλον
περίστυλον	peri/stulon	- no urn found -	περίστυλον
περίστυλον	peri/stulon	- no urn found -	περίστυλον
πηλοῦ	phlo/omai	- no urn found -	πηλόομαι
πηλοῦ	phlo/omai	- no urn found -	πηλόομαι
πληθώρη	plhqw/rh	- no urn found -	πληθώρη
πληθώρη	plhqw/rh	- no urn found -	πληθώρη
πληθώρην	plhqw/rh	- no urn found -	πληθώρη
πληθώρης	plhqw/rh	- no urn found -	πληθώρη
πλημμυρίδος	plhmmuri/s	- no urn found -	πλημμυρίς
πλημμυρίς	plhmmuri/s	- no urn found -	πλημμυρίς
πλησίοισι	plh/sios	- no urn found -	πλήσιος
πλησίοισι	plh/sios	- no urn found -	πλήσιος
πλάγια	pla/gion	- no urn found -	πλάγιον
πλάγια	pla/gion	- no urn found -	πλάγιον
πλάγια	pla/gion	- no urn found -	πλάγιον
πλίνθοισι	pli/nqon	- no urn found -	πλίνθον
πλίνθου	pli/nqon	- no urn found -	πλίνθον
πλίνθου	plinqo/mai	- no urn found -	πλινθόμαι
πλίνθου	plinqo/mai	- no urn found -	πλινθόμαι
πλίνθων	pli/nqon	- no urn found -	πλίνθον
ποτοῖσι	poto/n	- no urn found -	ποτόν
ποτά	poto/n	- no urn found -	ποτόν
ποτά	poto/n	- no urn found -	ποτόν
ποτά	poto/n	- no urn found -	ποτόν
πρηγματευθέντες	prhgmateu/omai	- no urn found -	πρηγματεύομαι
πρηγματευθέντες	prhgmateu/omai	- no urn found -	πρηγματεύομαι
πριαμένους	pri/amai	- no urn found -	πρίαμαι
πριάμενοι	pri/amai	- no urn found -	πρίαμαι
πριάμενοι	pri/amai	- no urn found -	πρίαμαι
πριάμενον	pri/amai	- no urn found -	πρίαμαι
πριάμενον	pri/amai	- no urn found -	πρίαμαι
πριάμενον	pri/amai	- no urn found -	πρίαμαι
πριάμενον	pri/amai	- no urn found -	πρίαμαι
πριάμενος	pri/amai	- no urn found -	πρίαμαι
προαποθανούσης	proapoqnh/skw	- no urn found -	προαποθνήσκω
προεστεῶτα	proi/sthmi	- no urn found -	προίστημι
προεστεῶτα	proi/sthmi	- no urn found -	προίστημι
προεστεῶτα	proi/sthmi	- no urn found -	προίστημι
προεστεῶτα	proi/sthmi	- no urn found -	προίστημι
προεστεῶτας	proi/sthmi	- no urn found -	προίστημι
προεστεῶτες	proi/sthmi	- no urn found -	προίστημι
προεστεῶτες	proi/sthmi	- no urn found -	προίστημι
προεστεῶτος	proi/sthmi	- no urn found -	προίστημι
προεστεῶτος	proi/sthmi	- no urn found -	προίστημι
προεστάναι	proi/sthmi	- no urn found -	προίστημι
προεφυλάσσοντο	pro/-fula/ssw	- no urn found -	πρό-φυλάσσω
προεῖναι	proi/hmi	- no urn found -	προίημι
προεῖναι	proi/hmi	- no urn found -	προίημι
προκαταλεχθείσης	kata/-le/gw	- no urn found -	κατά-λέγω2
προκαταλεχθείσης	kata/-le/gw	- no urn found -	κατά-λέγω3
προκατημένους	pro/-ka/qhmai	- no urn found -	πρό-κάθημαι
προκατημένων	pro/-ka/qhmai	- no urn found -	πρό-κάθημαι
προκατημένων	pro/-ka/qhmai	- no urn found -	πρό-κάθημαι
προκατημένων	pro/-ka/qhmai	- no urn found -	πρό-κάθημαι
προκατιζόμενον	pro/-kaqi/zw	- no urn found -	πρό-καθίζω
προκατιζόμενον	pro/-kaqi/zw	- no urn found -	πρό-καθίζω
προκατιζόμενον	pro/-kaqi/zw	- no urn found -	πρό-καθίζω
προκατιζόμενον	pro/-kaqi/zw	- no urn found -	πρό-καθίζω
προκατιζόμενον	pro/-kati/zw	- no urn found -	πρό-κατίζω
προκατιζόμενον	pro/-kati/zw	- no urn found -	πρό-κατίζω
προκατιζόμενον	pro/-kati/zw	- no urn found -	πρό-κατίζω
προκατιζόμενον	pro/-kati/zw	- no urn found -	πρό-κατίζω
προκατίζων	pro/-kaqi/zw	- no urn found -	πρό-καθίζω
προκατίζων	pro/-kati/zw	- no urn found -	πρό-κατίζω
προκατῆσθαι	pro/-ka/qhmai	- no urn found -	πρό-κάθημαι
προμαντηίην	promanthi/h	- no urn found -	προμαντηίη
προοπτέον	proopte/os	- no urn found -	προοπτέος
προοπτέον	proopte/os	- no urn found -	προοπτέος
προοπτέον	proopte/os	- no urn found -	προοπτέος
προοπτέον	proopte/os	- no urn found -	προοπτέος
προοπτέον	proopte/os	- no urn found -	προοπτέος
προσδεόμεθά	prosde/omai	- no urn found -	προσδέομαι
προσδεόμεθά	prosde/omai	- no urn found -	προσδέομαι
προσδεόμεθά	prosde/omai	- no urn found -	προσδέομαι
προσδεόμεθά	prosde/omai	- no urn found -	προσδέομαι
προσδέουσι	prosde/omai	- no urn found -	προσδέομαι
προσδέουσι	prosde/omai	- no urn found -	προσδέομαι
προσδέουσι	prosde/omai	- no urn found -	προσδέομαι
προσδέουσι	prosde/omai	- no urn found -	προσδέομαι
προσδέουσι	prosde/omai	- no urn found -	προσδέομαι
προσδήσαντες	prosde/omai	- no urn found -	προσδέομαι
προσδήσαντες	prosde/omai	- no urn found -	προσδέομαι
προσεβώσατο	prosboa/omai	- no urn found -	προσβοάομαι
προσεδεήθησαν	prosde/omai	- no urn found -	προσδέομαι
προσεδεήθησάν	prosde/omai	- no urn found -	προσδέομαι
προσεδέετο	prosde/omai	- no urn found -	προσδέομαι
προσεδέετό	prosde/omai	- no urn found -	προσδέομαι
προσεδέοντο	prosde/omai	- no urn found -	προσδέομαι
προσεξαιρέετο	prosecaire/omai	- no urn found -	προσεξαιρέομαι
προσεπιλαβέσθαι	prosepilamba/nomai	- no urn found -	προσεπιλαμβάνομαι
προσκατημένων	pro/s-ka/qhmai	- no urn found -	πρόσ-κάθημαι
προσκατημένων	pro/s-ka/qhmai	- no urn found -	πρόσ-κάθημαι
προσκατημένων	pro/s-ka/qhmai	- no urn found -	πρόσ-κάθημαι
προσκατήμενος	pro/s-ka/qhmai	- no urn found -	πρόσ-κάθημαι
προσκεψάμενοι	pro/-ske/ptomai	- no urn found -	πρό-σκέπτομαι
προσκεψάμενοι	pro/-ske/ptomai	- no urn found -	πρό-σκέπτομαι
προσκεψάμενος	pro/-ske/ptomai	- no urn found -	πρό-σκέπτομαι
προσλογιστέα	proslogiste/os	- no urn found -	προσλογιστέος
προσλογιστέα	proslogiste/os	- no urn found -	προσλογιστέος
προσλογιστέα	proslogiste/os	- no urn found -	προσλογιστέος
προσορμίζεσθαι	prosormi/zomai	- no urn found -	προσορμίζομαι
προστησαμένους	proi/sthmi	- no urn found -	προίστημι
προστησάμενοι	proi/sthmi	- no urn found -	προίστημι
προστησάμενοι	proi/sthmi	- no urn found -	προίστημι
προστάς	proi/sthmi	- no urn found -	προίστημι
προστάς	proi/sthmi	- no urn found -	προίστημι
προστήσωνται	proi/sthmi	- no urn found -	προίστημι
προσωρέγοντό	prosore/gomai	- no urn found -	προσορέγομαι
προϊσχομένη	proi/sxw	- no urn found -	προίσχω
προϊσχομένη	proi/sxw	- no urn found -	προίσχω
προϊσχομένου	proi/sxw	- no urn found -	προίσχω
προϊσχομένου	proi/sxw	- no urn found -	προίσχω
προϊσχομένους	proi/sxw	- no urn found -	προίσχω
προϊσχομένων	proi/sxw	- no urn found -	προίσχω
προϊσχομένων	proi/sxw	- no urn found -	προίσχω
προϊσχομένων	proi/sxw	- no urn found -	προίσχω
προϊσχόμενοι	proi/sxw	- no urn found -	προίσχω
προϊσχόμενοι	proi/sxw	- no urn found -	προίσχω
προϊσχόμενος	proi/sxw	- no urn found -	προίσχω
προϊέναι	proi/hmi	- no urn found -	προίημι
προϊέντα	proi/hmi	- no urn found -	προίημι
προϊέντα	proi/hmi	- no urn found -	προίημι
προϊέντα	proi/hmi	- no urn found -	προίημι
προϊέντα	proi/hmi	- no urn found -	προίημι
προάγων	proa/gwn	- no urn found -	προάγων
προάγων	proa/gwn	- no urn found -	προάγων
προέστατε	proi/sthmi	- no urn found -	προίστημι
προέστατε	proi/sthmi	- no urn found -	προίστημι
προέστατε	proi/sthmi	- no urn found -	προίστημι
προέστατε	proi/sthmi	- no urn found -	προίστημι
προέστηκας	proi/sthmi	- no urn found -	προίστημι
προέστησαν	proi/sthmi	- no urn found -	προίστημι
προέστησαν	proi/sthmi	- no urn found -	προίστημι
προήσουσι	proi/hmi	- no urn found -	προίημι
προήσουσι	proi/hmi	- no urn found -	προίημι
προήσουσι	proi/hmi	- no urn found -	προίημι
προήσω	proi/hmi	- no urn found -	προίημι
προΐζετο	proi/zomai	- no urn found -	προίζομαι
προΐζετο	proi/zomai	- no urn found -	προίζομαι
προΐζετο	proi/zomai	- no urn found -	προίζομαι
προΐζετο	proi/zomai	- no urn found -	προίζομαι
προΐσχετο	proi/sxw	- no urn found -	προίσχω
προΐσχετο	proi/sxw	- no urn found -	προίσχω
προΐσχοντο	proi/sxw	- no urn found -	προίσχω
προΐσχοντο	proi/sxw	- no urn found -	προίσχω
πρωί	prwi/	- no urn found -	πρωί
πρωίην	prw/ios	- no urn found -	πρώιος
πρόνοον	pro/nous	- no urn found -	πρόνους
πρόνοον	pro/nous	- no urn found -	πρόνους
πρόνοον	pro/nous	- no urn found -	πρόνους
πρόνοον	pro/nous	- no urn found -	πρόνους
πρόνοον	pro/nous	- no urn found -	πρόνους
πρώιος	prw/ios	- no urn found -	πρώιος
πταρεῖν	ptai/rw%	- no urn found -	πταίρω#
πυγαίου	pugai=on	- no urn found -	πυγαῖον
πάρισθί	para/-oi)=da	- no urn found -	παρά-οἶδα
πάτρας	pa/trh	- no urn found -	πάτρη
πάτρας	pa/trh	- no urn found -	πάτρη
πάτρην	pa/trh	- no urn found -	πάτρη
πάτρης	pa/trh	- no urn found -	πάτρη
πάτρῃ	pa/trh	- no urn found -	πάτρη
πέπλοι	peplos	- no urn found -	πεπλος
πέπλοι	peplos	- no urn found -	πεπλος
πέπλοι	peplos	- no urn found -	πεπλος
πέπλοι	peplos	- no urn found -	πεπλος
πέρ	pe/r	- no urn found -	πέρ
πέρηθε	peri/-h)qe/w	- no urn found -	περί-ἠθέω
πέρηθε	peri/-h)qe/w	- no urn found -	περί-ἠθέω
πόρεν	po/rw	- no urn found -	πόρω
πόρον	po/rw	- no urn found -	πόρω
πόρον	po/rw	- no urn found -	πόρω
σανδάλιόν	sanda/lios	- no urn found -	σανδάλιος
σαώσει	sw/zw	- no urn found -	σώζω
σαώσει	sw/zw	- no urn found -	σώζω
σαώσει	sw/zw	- no urn found -	σώζω
σημαντρίδα	shmantri/s	- no urn found -	σημαντρίς
σιτεομένους	site/omai	- no urn found -	σιτέομαι
σιτεόμενοι	site/omai	- no urn found -	σιτέομαι
σιτεόμενοι	site/omai	- no urn found -	σιτέομαι
σιτεόμενος	site/omai	- no urn found -	σιτέομαι
σιτοφόροισι	sito/foros	- no urn found -	σιτόφορος
σιτοφόροισι	sito/foros	- no urn found -	σιτόφορος
σιτοφόροισι	sito/foros	- no urn found -	σιτόφορος
σιτοφόρων	sito/foros	- no urn found -	σιτόφορος
σιτοφόρων	sito/foros	- no urn found -	σιτόφορος
σιτοφόρων	sito/foros	- no urn found -	σιτόφορος
σιτέεσθαι	site/omai	- no urn found -	σιτέομαι
σιτέεται	site/omai	- no urn found -	σιτέομαι
σιτέονται	site/omai	- no urn found -	σιτέομαι
σιτίοισι	site/omai	- no urn found -	σιτέομαι
σιτίοισι	site/omai	- no urn found -	σιτέομαι
σιτίων	site/omai	- no urn found -	σιτέομαι
σκυτάλοισι	sku/talos	- no urn found -	σκύταλος
σοφίζεσθαι	sofi/zomai	- no urn found -	σοφίζομαι
σοφίζεται	sofi/zomai	- no urn found -	σοφίζομαι
σοφίζονται	sofi/zomai	- no urn found -	σοφίζομαι
σοῖσι	se/w	- no urn found -	σέω
σοῖσι	se/w	- no urn found -	σέω
σοῦ	se/w	- no urn found -	σέω
σοῦ	se/w	- no urn found -	σέω
σταθμοί	staqmo/w	- no urn found -	σταθμόω
σταθμοί	staqmo/w	- no urn found -	σταθμόω
σταθμοί	staqmo/w	- no urn found -	σταθμόω
σταθμούμενοι	staqma/omai	- no urn found -	σταθμάομαι
σταθμούμενοι	staqma/omai	- no urn found -	σταθμάομαι
σταθμούμενοι	staqmo/w	- no urn found -	σταθμόω
σταθμούμενοι	staqmo/w	- no urn found -	σταθμόω
σταθμωσάμενοι	staqmo/w	- no urn found -	σταθμόω
σταθμωσάμενοι	staqmo/w	- no urn found -	σταθμόω
σταθμωσάμενος	staqmo/w	- no urn found -	σταθμόω
σταθμώμενος	staqma/omai	- no urn found -	σταθμάομαι
σταθμώμενος	staqmo/w	- no urn found -	σταθμόω
σταθμώσασθαι	staqmo/w	- no urn found -	σταθμόω
σταθμῶν	staqmo/w	- no urn found -	σταθμόω
σταθμῶν	staqmo/w	- no urn found -	σταθμόω
σταθμῶν	staqmo/w	- no urn found -	σταθμόω
σταθμῶν	staqmo/w	- no urn found -	σταθμόω
σταθμῶν	staqmo/w	- no urn found -	σταθμόω
σταθμῶν	staqmo/w	- no urn found -	σταθμόω
στεφανηφόρους	stefanh/foros	- no urn found -	στεφανήφορος
στεφανηφόρους	stefanh/foros	- no urn found -	στεφανήφορος
στορνύντες	sto/rennumi	- no urn found -	στόρεννυμι
στορνύντες	sto/rennumi	- no urn found -	στόρεννυμι
στρατιή	strati/a	- no urn found -	στρατία
στρατιή	strati/a	- no urn found -	στρατία
στρατιήν	strati/a	- no urn found -	στρατία
στρατιῆς	strati/a	- no urn found -	στρατία
στρατιῇ	strati/a	- no urn found -	στρατία
στρατοῦ	strata/w%	- no urn found -	στρατάω#
στρατῷ	strata/w%	- no urn found -	στρατάω#
στρεπτόν	strepto/n	- no urn found -	στρεπτόν
στρεπτόν	strepto/n	- no urn found -	στρεπτόν
στρεπτόν	strepto/n	- no urn found -	στρεπτόν
στρώσαντες	sto/rennumi	- no urn found -	στόρεννυμι
στρώσαντες	sto/rennumi	- no urn found -	στόρεννυμι
συγκατημένων	su/n-ka/qhmai	- no urn found -	σύν-κάθημαι
συγκατημένων	su/n-ka/qhmai	- no urn found -	σύν-κάθημαι
συγκατημένων	su/n-ka/qhmai	- no urn found -	σύν-κάθημαι
συγκεκρημένον	su/n-xra/w	- no urn found -	σύν-χράω2
συγκεκρημένον	su/n-xra/w	- no urn found -	σύν-χράω2
συγκεκρημένον	su/n-xra/w	- no urn found -	σύν-χράω2
συγκεκρημένον	su/n-xra/w	- no urn found -	σύν-χράω2
συκέην	sukh=	- no urn found -	συκῆ
συκέην	sukh=	- no urn found -	συκῆ
συκέων	sukh=	- no urn found -	συκῆ
συκέων	sukh=	- no urn found -	συκῆ
συλλεγέντες	su/n-le/gw	- no urn found -	σύν-λέγω1
συλλεγέντες	su/n-le/gw	- no urn found -	σύν-λέγω1
συλλεγῆναι	su/n-le/gw	- no urn found -	σύν-λέγω1
συλλελεγμένος	su/n-le/gw	- no urn found -	σύν-λέγω3
συλλελεγμένων	su/n-le/gw	- no urn found -	σύν-λέγω3
συλλελεγμένων	su/n-le/gw	- no urn found -	σύν-λέγω3
συλλελεγμένων	su/n-le/gw	- no urn found -	σύν-λέγω3
συλλέξαι	su/n-le/gw	- no urn found -	σύν-λέγω1
συλλέξαι	su/n-le/gw	- no urn found -	σύν-λέγω1
συλλέξαι	su/n-le/gw	- no urn found -	σύν-λέγω3
συλλέξαι	su/n-le/gw	- no urn found -	σύν-λέγω3
συλλέξαντα	su/n-le/gw	- no urn found -	σύν-λέγω1
