Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
Πισθέταιρός	*pisqe/tairo/s	Πισθέταιρος	*pisqe/tairos	n-s---mn-
Πισθέταιρ’	*pisqe/tair'	Πισθέταιρος	*pisqe/tairos	n-s---mv-
Πολιάδα	*polia/da	Πολιάδης	*polia/dhs	n-d---mn-
Πολιάδα	*polia/da	Πολιάδης	*polia/dhs	n-d---mv-
Πολιάδα	*polia/da	Πολιάδης	*polia/dhs	n-d---ma-
Πολιάδα	*polia/da	Πολιάδης	*polia/dhs	n-s---mg-
Πολιάδα	*polia/da	Πολιάς	*polia/s	n-s---fa-
Πολιάδα	*polia/da	πολιάς	polia/s	n-s---fa-
Πορφυρίων	*porfuri/wn	Πορφυρίων	*porfuri/wn	n-s---mn-
Πορφυρίων	*porfuri/wn	Πορφυρίων	*porfuri/wn	n-s---mv-
Πορφυρίων	*porfuri/wn	πορφύριον	porfu/rion	n-p---ng-
Πορφυρίων	*porfuri/wn	πορφύρω	porfu/rw	v-sfpamn-
Πορφυρίων	*porfuri/wn	πορφυρέω	porfure/w	v-sppamn-
Πορφυρίων	*porfuri/wn	πορφυρίων	porfuri/wn	n-s---mn-
Πορφυρίων	*porfuri/wn	πορφυρίων	porfuri/wn	n-s---mv-
Ποσειδῶ	*poseidw=	Ποσειδῶν	*poseidw=n	n-s---ma-
Ποσειδῶν	*poseidw=n	Ποσειδῶν	*poseidw=n	n-s---mn-
Ποσειδῶνί	*poseidw=ni/	Ποσειδῶν	*poseidw=n	n-s---md-
Προδίκῳ	*prodi/kw|	Πρόδικος	*pro/dikos	n-s---md-
Προδίκῳ	*prodi/kw|	πρόδικος	pro/dikos	n-s---md-
Προμηθεῦ	*promhqeu=	Προμηθεύς	*promhqeu/s	n-s---mv-
Προμηθεῦ	*promhqeu=	προμηθέομαι	promhqe/omai	v2spme---
Προμηθεῦ	*promhqeu=	προμηθέομαι	promhqe/omai	v2spme---
Προμηθεῦ	*promhqeu=	προμηθέομαι	promhqe/omai	v2siie---
Προμηθεῦ	*promhqeu=	προμηθέομαι	promhqe/omai	v2siie---
Προμηθεῦ	*promhqeu=	προμηθεύς	promhqeu/s	n-s---mv-
Προξενίδης	*proceni/dhs	Προξενίδης	*proceni/dhs	n-s---mn-
Πρίαμός	*pri/amo/s	Πρίαμος	*pri/amos	n-s---mn-
Πρόκνη	*pro/knh	Πρόκνη	*pro/knh	n-s---fn-
Πρόκνη	*pro/knh	Πρόκνη	*pro/knh	n-s---fv-
Πυθιάς	*puqia/s	Πυθιάς	*puqia/s	n-s---fn-
Πυθιάς	*puqia/s	Πυθιάς	*puqia/s	n-s---fn-
Πυθίῳ	*puqi/w|	Πύθιον	*pu/qion	n-s---nd-
Πυθίῳ	*puqi/w|	Πύθιος	*pu/qios	a-s---md-
Πυθίῳ	*puqi/w|	Πύθιος	*pu/qios	a-s---nd-
Πυθώδε	*puqw/de	Πυθώδε	*puqw/de	d--------
Πάραλος	*pa/ralos	Πάραλος	*pa/ralos	n-s---mn-
Πάραλος	*pa/ralos	πάραλος	pa/ralos	n-s---mn-
Πάραλος	*pa/ralos	πάραλος	pa/ralos	n-s---fn-
Πόθος	*po/qos	Πόθος	*po/qos	n-s---mn-
Πόθος	*po/qos	πόθος	po/qos	n-s---mn-
Πόσειδον	*po/seidon	Ποσειδῶν	*poseidw=n	n-s---mv-
Σαβαζίῳ	*sabazi/w|	Σαβάζιος	*saba/zios	n-s---md-
Σαλαμινία	*salamini/a	Σαλαμίνιος	*salami/nios	a-d---fn-
Σαλαμινία	*salamini/a	Σαλαμίνιος	*salami/nios	a-d---fv-
Σαλαμινία	*salamini/a	Σαλαμίνιος	*salami/nios	a-d---fa-
Σαλαμινία	*salamini/a	Σαλαμίνιος	*salami/nios	a-s---fn-
Σαλαμινία	*salamini/a	Σαλαμίνιος	*salami/nios	a-s---fv-
Σαρδανάπαλλος	*sardana/pallos	Σαρδανάπαλλος	*sardana/pallos	n-s---mn-
Σεμέλας	*seme/las	Σεμέλη	*seme/lh	n-s---fg-
Σικυῶνος	*sikuw=nos	Σικυών	*sikuw/n	n-s---fg-
Σικυῶνος	*sikuw=nos	σικυών	sikuw/n	n-s---mg-
Σιμωνίδου	*simwni/dou	Σιμωνίδης	*simwni/dhs	n-s---mg-
Σκελίου	*skeli/ou	Σκελίας	*skeli/as	n-s---mg-
Σκιάποσιν	*skia/posin	Σκιάποδες	*skia/podes	n-p---md-
Σκιάποσιν	*skia/posin	Σκιάποδες	*skia/podes	n-p---fd-
Σκιάποσιν	*skia/posin	Σκιάποδες	*skia/podes	n-p---nd-
Σκύθαις	*sku/qais	Σκύθης	*sku/qhs	n-p---md-
Σουνιέρακε	*sounie/rake	Σουνιέρακος	*sounie/rakos	n-s---mv-
Σοφοκλέης	*sofokle/hs	Σοφοκλῆς	*sofoklh=s	n-s---mn-
Σοφία	*sofi/a	Σοφία	*sofi/a	n-s---fn-
Σοφία	*sofi/a	Σοφία	*sofi/a	n-s---fv-
Σοφία	*sofi/a	σοφία	sofi/a	n-d---fn-
Σοφία	*sofi/a	σοφία	sofi/a	n-d---fv-
Σοφία	*sofi/a	σοφία	sofi/a	n-d---fa-
Σοφία	*sofi/a	σοφία	sofi/a	n-s---fn-
Σοφία	*sofi/a	σοφία	sofi/a	n-s---fv-
Σπινθάρου	*spinqa/rou	Σπίνθαρος	*spi/nqaros	n-s---mg-
Σποργίλος	*sporgi/los	Σποργίλος	*sporgi/los	n-s---mn-
Σπάρτην	*spa/rthn	Σπάρτη	*spa/rth	n-s---fa-
Σπάρτην	*spa/rthn	σπάρτη	spa/rth	n-s---fa-
Στιλβωνίδη	*stilbwni/dh	Στιλβωνίδης	*stilbwni/dhs	n-s---mv-
Στρούθιον	*strou/qion	Στρούθιος	*strou/qios	a-s---ma-
Στρούθιον	*strou/qion	Στρούθιος	*strou/qios	a-s---nn-
Στρούθιον	*strou/qion	Στρούθιος	*strou/qios	a-s---nv-
Στρούθιον	*strou/qion	Στρούθιος	*strou/qios	a-s---na-
Στράτων	*stra/twn	Στράτος	*stra/tos	n-p---mg-
Στράτων	*stra/twn	Στράτων	*stra/twn	n-s---mn-
Στράτων	*stra/twn	Στράτων	*stra/twn	n-s---mv-
Στράτων	*stra/twn	στρατάω#	strata/w%2	v3piia---
Στράτων	*stra/twn	στρατάω#	strata/w%2	v1siia---
Συρακοσίῳ	*surakosi/w|	Συρακούσιος	*surakou/sios	a-s---md-
Συρακοσίῳ	*surakosi/w|	Συρακούσιος	*surakou/sios	a-s---nd-
Σωκράτης	*swkra/ths	Σωκράτης	*swkra/ths	n-p---ma-
Σωκράτης	*swkra/ths	Σωκράτης	*swkra/ths	n-p---mn-
Σωκράτης	*swkra/ths	Σωκράτης	*swkra/ths	n-p---mv-
Σωκράτης	*swkra/ths	Σωκράτης	*swkra/ths	n-s---mn-
Σωκράτης	*swkra/ths	Σωκράτης	*swkra/ths	n-s---mn-
Σωκράτης	*swkra/ths	Σωκρατέω	*swkrate/w	v2siia---
Σωκράτης	*swkra/ths	σωκρατέω	swkrate/w	v2siia---
Σάκᾳ	*sa/ka|	Σάκαι	*sa/kai	n-p---mn-
Σάκᾳ	*sa/ka|	Σάκαι	*sa/kai	n-p---mv-
Σάκᾳ	*sa/ka|	σάκας	sa/kas	n-p---mn-
Σάκᾳ	*sa/ka|	σάκας	sa/kas	n-p---mv-
Σάκᾳ	*sa/ka|	σάκας	sa/kas	n-s---md-
Σόλωνός	*so/lwno/s	Σόλων	*so/lwn	n-s---mg-
Τελέας	*tele/as	Τέλευς	*te/leus	n-p---ma-
Τελέας	*tele/as	Τελέας	*tele/as	n-p---ma-
Τελέας	*tele/as	Τελέας	*tele/as	n-s---mn-
Τελέας	*tele/as	τέλειος	te/leios	a-p---fa-
Τελέας	*tele/as	τέλειος	te/leios	a-s---fg-
Τελέου	*tele/ou	Τελέας	*tele/as	n-s---mg-
Τελέου	*tele/ou	τέλειος	te/leios	a-s---mg-
Τελέου	*tele/ou	τέλειος	te/leios	a-s---ng-
Τελέου	*tele/ou	τέλειος	te/leios	n-s---mg-
Τελέου	*tele/ou	τέλειος	te/leios	n-s---fg-
Τελέου	*tele/ou	τέλειος	te/leios	n-s---ng-
Τελέου	*tele/ou	τελειόω	teleio/w	v2spma---
Τελέου	*tele/ou	τελειόω	teleio/w	v3siia---
Τηρεύς	*threu/s	Τηρεύς	*threu/s	n-s---mn-
Τηρέα	*thre/a	Τηρεύς	*threu/s	n-s---ma-
Τιτάνων	*tita/nwn	Τίτανος	*ti/tanos	n-p---fg-
Τιτάνων	*tita/nwn	Τιτάν	*tita/n	n-p---mg-
Τιτάνων	*tita/nwn	τίτανος	ti/tanos	n-p---fg-
Τριβαλλοί	*triballoi/	Τριβαλλός	*triballo/s	n-p---mn-
Τριβαλλοί	*triballoi/	Τριβαλλός	*triballo/s	n-p---mv-
Τριβαλλοί	*triballoi/	Τριβαλλοί	*triballoi/	n-p---mn-
Τριβαλλοί	*triballoi/	Τριβαλλοί	*triballoi/	n-p---mv-
Τριβαλλόν	*triballo/n	Τριβαλλός	*triballo/s	n-s---ma-
Τριβαλλός	*triballo/s	Τριβαλλός	*triballo/s	n-s---mn-
Τριβαλλῶν	*triballw=n	Τριβαλλός	*triballo/s	n-p---mg-
Τριβαλλῶν	*triballw=n	Τριβαλλοί	*triballoi/	n-p---mg-
Τριβαλλῷ	*triballw=|	Τριβαλλός	*triballo/s	n-s---md-
Τάρταρον	*ta/rtaron	Τάρταρος	*ta/rtaros	n-s---fa-
Τάρταρος	*ta/rtaros	Τάρταρος	*ta/rtaros	n-s---fn-
Τίμων	*ti/mwn	Τίμων	*ti/mwn	n-s---mn-
Τίμων	*ti/mwn	Τίμων	*ti/mwn	n-s---mv-
Τίμων	*ti/mwn	τῖμος	ti=mos	n-p---mg-
Τίμων	*ti/mwn	τιμάω	tima/w	v3piia---
Τίμων	*ti/mwn	τιμάω	tima/w	v1siia---
Φαληρικάς	*falhrika/s	Φαληρικός	*falhriko/s	a-p---fa-
Φαληρικάς	*falhrika/s	φαληρικός	falhriko/s	a-p---fa-
Φαναῖσι	*fanai=si	Φάνη	*fa/nh	n-p---fd-
Φαναῖσι	*fanai=si	φανή	fanh/	n-p---fd-
Φαναῖσι	*fanai=si	φανόσ1	fano/s1	a-p---fd-
Φαρνάκου	*farna/kou	Φαρνάκης	*farna/khs	n-s---mg-
Φαρνάκῃ	*farna/kh|	Φαρνάκη	*farna/kh	n-s---fd-
Φαρνάκῃ	*farna/kh|	Φαρνάκης	*farna/khs	n-s---md-
Φασιανικός	*fasianiko/s	Φασιανικός	*fasianiko/s	a-s---mn-
Φιλοκλέει	*filokle/ei	Φιλοκλῆς	*filoklh=s	n-s---md-
Φιλοκλέους	*filokle/ous	Φιλοκλῆς	*filoklh=s	n-s---mg-
Φιλοκράτη	*filokra/th	Φιλοκράτης	*filokra/ths	n-d---mn-
Φιλοκράτη	*filokra/th	Φιλοκράτης	*filokra/ths	n-d---mv-
Φιλοκράτη	*filokra/th	Φιλοκράτης	*filokra/ths	n-d---ma-
Φιλοκράτη	*filokra/th	Φιλοκράτης	*filokra/ths	n-s---ma-
Φιλήμονος	*filh/monos	Φιλήμων	*filh/mwn	n-s---mg-
Φιλήμονος	*filh/monos	φιλήμων	filh/mwn	n-s----g-
Φιλίππων	*fili/ppwn	Φίλιπποι	*fi/lippoi	n-p---mg-
Φιλίππων	*fili/ppwn	φίλιππος	fi/lippos	n-p---mg-
Φιλίππων	*fili/ppwn	φίλιππος	fi/lippos	n-p---fg-
Φιλίππων	*fili/ppwn	φίλιππος	fi/lippos	n-p---ng-
Φλέγρας	*fle/gras	Φλέγρη	*fle/grh	n-p---fa-
Φλέγρας	*fle/gras	Φλέγρη	*fle/grh	n-s---fg-
Φλέγρας	*fle/gras	φλέγρα	fle/gra	n-s---fn-
Φοινίκης	*foini/khs	Φοινίκη	*foini/kh	n-s---fg-
Φοινίκης	*foini/khs	φοινίκη	foini/kh	n-s---fg-
Φοίνικες	*foi/nikes	Φοῖνιξ	*foi=nic	n-p---mn-
Φοίνικες	*foi/nikes	Φοῖνιξ	*foi=nic	n-p---mv-
Φοίνικες	*foi/nikes	Φοῖνιξ	*foi=nic	n-p---fn-
Φοίνικες	*foi/nikes	Φοῖνιξ	*foi=nic	n-p---fv-
Φοίνικες	*foi/nikes	Φοῖνιξ	*foi=nic	n-p---mn-
Φοίνικες	*foi/nikes	Φοῖνιξ	*foi=nic	n-p---mv-
Φοίνικες	*foi/nikes	φοῖνιξ	foi=nic	n-p---mn-
Φοίνικες	*foi/nikes	φοῖνιξ	foi=nic	n-p---mv-
Φοῖβος	*foi=bos	Φοῖβος	*foi=bos	n-s---mn-
Φοῖβος	*foi=bos	φοῖβος	foi=bos	a-s---mn-
Φρυγίων	*frugi/wn	Φρύγιος	*fru/gios	a-p---fg-
Φρυγίων	*frugi/wn	Φρύγιος	*fru/gios	a-p---mg-
Φρυγίων	*frugi/wn	Φρύγιος	*fru/gios	a-p---ng-
Φρυγίων	*frugi/wn	Φρύγιος	*fru/gios	n-p---mg-
Φρυγίων	*frugi/wn	Φρύγιος	*fru/gios	n-p---fg-
Φρυγίων	*frugi/wn	Φρύγιος	*fru/gios	n-p---ng-
Φρυγίων	*frugi/wn	φρύγιον	fru/gion	n-p---ng-
Φρυγίων	*frugi/wn	φρύγιος	fru/gios	a-p---fg-
Φρυγίων	*frugi/wn	φρύγιος	fru/gios	a-p---mg-
Φρυγίων	*frugi/wn	φρύγιος	fru/gios	a-p---ng-
Φρύγα	*fru/ga	Φρύξ	*fru/c	n-s---ma-
Φρύγα	*fru/ga	Φρύξ	*fru/c	n-s---fa-
Φρύνιχος	*fru/nixos	Φρύνιχος	*fru/nixos	n-s---mn-
Φρύξ	*fru/c	Φρύξ	*fru/c	n-s---mn-
Φρύξ	*fru/c	Φρύξ	*fru/c	n-s---mv-
Φρύξ	*fru/c	Φρύξ	*fru/c	n-s---fn-
Φρύξ	*fru/c	Φρύξ	*fru/c	n-s---fv-
Φίλιπποι	*fi/lippoi	Φίλιπποι	*fi/lippoi	n-p---mn-
Φίλιπποι	*fi/lippoi	Φίλιπποι	*fi/lippoi	n-p---mv-
Φίλιπποι	*fi/lippoi	φίλιππος	fi/lippos	n-p---mn-
Φίλιπποι	*fi/lippoi	φίλιππος	fi/lippos	n-p---mv-
Φίλιπποι	*fi/lippoi	φίλιππος	fi/lippos	n-p---fn-
Φίλιπποι	*fi/lippoi	φίλιππος	fi/lippos	n-p---fv-
Χαιρεφῶν	*xairefw=n	Χαιρεφῶν	*xairefw=n	n-s---mn-
Χαιρεφῶντι	*xairefw=nti	Χαιρεφῶν	*xairefw=n	n-s---md-
Χαρίτων	*xari/twn	Χάρις	*xa/ris	n-p---fg-
Χαρίτων	*xari/twn	χάρις	xa/ris	n-p---fg-
Χαρίτων	*xari/twn	χάριτος	xa/ritos	a-p---fg-
Χαρίτων	*xari/twn	χάριτος	xa/ritos	a-p---mg-
Χαρίτων	*xari/twn	χάριτος	xa/ritos	a-p---ng-
Χαρίτων	*xari/twn	χαριτόω	xarito/w	v3piia---
Χαρίτων	*xari/twn	χαριτόω	xarito/w	v1siia---
Χαῖρις	*xai=ris	Χαίρις	*xai/ris	n-s---mn-
Χάει	*xa/ei	χάος	xa/os	n-d---nn-
Χάει	*xa/ei	χάος	xa/os	n-d---nv-
Χάει	*xa/ei	χάος	xa/os	n-d---na-
Χάει	*xa/ei	χάος	xa/os	n-s---nd-
Χάει	*xa/ei	χάος	xa/os	n-s---nd-
Χάει	*xa/ei	χάω	xa/w	v2spie---
Χάει	*xa/ei	χάω	xa/w	v3spia---
Χάει	*xa/ei	χάζομαι	xa/zomai	v2sfie---
Χάος	*xa/os	Χάος	*xa/os	n-s----n-
Χάος	*xa/os	χάος	xa/os	n-s---nn-
Χάος	*xa/os	χάος	xa/os	n-s---nv-
Χάος	*xa/os	χάος	xa/os	n-s---na-
Χάους	*xa/ous	χάος	xa/os	n-s---ng-
Χάους	*xa/ous	χαόω	xao/w	v2siia---
Χάριτες	*xa/rites	Χάρις	*xa/ris	n-p---fn-
Χάριτες	*xa/rites	Χάρις	*xa/ris	n-p---fv-
Χάριτες	*xa/rites	χάρις	xa/ris	n-p---fn-
Χάριτες	*xa/rites	χάρις	xa/ris	n-p---fv-
Χίοισι	*xi/oisi	Χίος	*xi/os	n-p---fd-
Χίοισι	*xi/oisi	Χῖος	*xi=os	a-p---md-
Χίοισι	*xi/oisi	Χῖος	*xi=os	a-p---nd-
Χίοισι	*xi/oisi	χάω	xa/w	v-pppamd-
Χίοισι	*xi/oisi	χάω	xa/w	v-pppand-
Χίοισι	*xi/oisi	χῖον	xi=on	n-p---nd-
Χίοισιν	*xi/oisin	Χίος	*xi/os	n-p---fd-
Χίοισιν	*xi/oisin	Χῖος	*xi=os	a-p---md-
Χίοισιν	*xi/oisin	Χῖος	*xi=os	a-p---nd-
Χίοισιν	*xi/oisin	χάω	xa/w	v-pppamd-
Χίοισιν	*xi/oisin	χάω	xa/w	v-pppand-
Χίοισιν	*xi/oisin	χῖον	xi=on	n-p---nd-
αἰβοῖ	ai)boi=	αἰβοῖ	ai)boi=	x--------
αἰγιθάλλῳ	ai)giqa/llw|	αἰγίθαλλος	ai)gi/qallos	n-s---md-
αἰετούς	ai)etou/s	ἀετός	a)eto/s	n-p---ma-
αἰετοῖς	ai)etoi=s	ἀετός	a)eto/s	n-p---md-
αἰετοῦ	ai)etou=	ἀετός	a)eto/s	n-s---mg-
αἰετόν	ai)eto/n	ἀετός	a)eto/s	n-s---ma-
αἰετός	ai)eto/s	ἀετός	a)eto/s	n-s---mn-
αἰετῷ	ai)etw=|	ἀετός	a)eto/s	n-s---md-
αἰθεροδρόμων	ai)qerodro/mwn	αἰθεροδρόμος	ai)qerodro/mos	n-p---mg-
αἰθεροδρόμων	ai)qerodro/mwn	αἰθεροδρόμος	ai)qerodro/mos	n-p---fg-
αἰθεροδρόμων	ai)qerodro/mwn	αἰθεροδρόμος	ai)qerodro/mos	n-p---ng-
αἰθερίοις	ai)qeri/ois	αἰθέριος	ai)qe/rios	a-p---md-
αἰθερίοις	ai)qeri/ois	αἰθέριος	ai)qe/rios	a-p---nd-
αἰθερίοις	ai)qeri/ois	αἰθέριος	ai)qe/rios	n-p---md-
αἰθερίοις	ai)qeri/ois	αἰθέριος	ai)qe/rios	n-p---fd-
αἰθερίοις	ai)qeri/ois	αἰθέριος	ai)qe/rios	n-p---nd-
αἰθέριον	ai)qe/rion	αἰθέριος	ai)qe/rios	a-s---ma-
αἰθέριον	ai)qe/rion	αἰθέριος	ai)qe/rios	a-s---nn-
αἰθέριον	ai)qe/rion	αἰθέριος	ai)qe/rios	a-s---nv-
αἰθέριον	ai)qe/rion	αἰθέριος	ai)qe/rios	a-s---na-
αἰθέριον	ai)qe/rion	αἰθέριος	ai)qe/rios	n-s---ma-
αἰθέριον	ai)qe/rion	αἰθέριος	ai)qe/rios	n-s---fa-
αἰθέριον	ai)qe/rion	αἰθέριος	ai)qe/rios	n-s---nn-
αἰθέριον	ai)qe/rion	αἰθέριος	ai)qe/rios	n-s---nv-
αἰθέριον	ai)qe/rion	αἰθέριος	ai)qe/rios	n-s---na-
αἰθέρος	ai)qe/ros	αἰθήρ	ai)qh/r	n-s---mg-
αἰθήρ	ai)qh/r	αἰθήρ	ai)qh/r	n-s---mn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---na-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fa-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-s---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-s---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---fa-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---na-
αἰτούμεθα	ai)tou/meqa	αἰτέω	ai)te/w	v1ppie---
αἰτούμεθα	ai)tou/meqa	αἰτέω	ai)te/w	v1piie---
αἰέν	ai)e/n	ἀεί	a)ei/	d--------
αἱ	ai(	ὁ	o(	l-p---fn-
αἱ	ai(	ὁ	o(	l-p---fv-
αἴθρη	ai)/qrh	αἴθρη	ai)/qrh	n-s---fn-
αἴθρη	ai)/qrh	αἴθρη	ai)/qrh	n-s---fv-
αἴκειαν	ai)/keian	αἰκία	ai)ki/a	n-s---fa-
αἴρεσθε	ai)/resqe	αἴρω	ai)/rw	v2ppme---
αἴρεσθε	ai)/resqe	αἴρω	ai)/rw	v2ppie---
αἴρεσθε	ai)/resqe	αἴρω	ai)/rw	v2piie---
αἴρεται	ai)/retai	αἴρω	ai)/rw	v3spie---
αἴρων	ai)/rwn	αἴρω	ai)/rw	v-sppamn-
αἴτιος	ai)/tios	αἴτιος	ai)/tios	a-s---mn-
αἴτιος	ai)/tios	αἴτιος	ai)/tios	n-s---mn-
αἴτιος	ai)/tios	αἴτιος	ai)/tios	n-s---fn-
αἵ	ai(/	ὁ	o(	l-p---fn-
αἵ	ai(/	ὁ	o(	l-p---fv-
αἵ	ai(/	ὅς	o(/s	p-p---fn-
αἶρε	ai)=re	αἴρω	ai)/rw	v2spma---
αἶρε	ai)=re	αἴρω	ai)/rw	v3siia---
αἷς	ai(=s	ὅς	o(/s	p-p---fd-
αὐδάν	au)da/n	αὐδή	au)dh/	n-s---fa-
αὐλόν	au)lo/n	αὐλός	au)lo/s	n-s---ma-
αὐλῇ	au)lh=|	αὐλέω	au)le/w	v2spse---
αὐλῇ	au)lh=|	αὐλέω	au)le/w	v2spie---
αὐλῇ	au)lh=|	αὐλέω	au)le/w	v3spsa---
αὐλῇ	au)lh=|	αὐλή	au)lh/	n-s---fd-
αὐλῶνας	au)lw=nas	αὐλών	au)lw/n	n-p---ma-
αὐξανόμενον	au)cano/menon	αὐξάνω	au)ca/nw	v-sppema-
αὐξανόμενον	au)cano/menon	αὐξάνω	au)ca/nw	v-sppenn-
αὐξανόμενον	au)cano/menon	αὐξάνω	au)ca/nw	v-sppenv-
αὐξανόμενον	au)cano/menon	αὐξάνω	au)ca/nw	v-sppena-
αὐτοκράτορες	au)tokra/tores	αὐτοκράτωρ	au)tokra/twr	n-p---mn-
αὐτοκράτορες	au)tokra/tores	αὐτοκράτωρ	au)tokra/twr	n-p---mv-
αὐτοκράτορες	au)tokra/tores	αὐτοκράτωρ	au)tokra/twr	n-p---mn-
αὐτοκράτορες	au)tokra/tores	αὐτοκράτωρ	au)tokra/twr	n-p---mv-
αὐτοκράτορες	au)tokra/tores	αὐτοκράτωρ	au)tokra/twr	n-p---fn-
αὐτοκράτορες	au)tokra/tores	αὐτοκράτωρ	au)tokra/twr	n-p---fv-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mn-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mv-
αὐτούς	au)tou/s	αὐτός	au)to/s	n-p---ma-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---nd-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---md-
αὐτοῖσι	au)toi=si	αὐτός	au)to/s	n-p---nd-
αὐτοῖσι	au)toi=si	αὐτός	au)to/s	n-p---md-
αὐτοῖσιν	au)toi=sin	αὐτός	au)to/s	n-p---nd-
αὐτοῖσιν	au)toi=sin	αὐτός	au)to/s	n-p---md-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---ng-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---mg-
αὐτοῦ	au)tou=	αὐτοῦ	au)tou=	d--------
αὐτάρ	au)ta/r	ἀτάρ	a)ta/r	g--------
αὐτήν	au)th/n	αὐτός	au)to/s	n-s---fa-
αὐτίκα	au)ti/ka	αὐτίκα	au)ti/ka	d--------
αὐτίκ’	au)ti/k'	αὐτίκα	au)ti/ka	d--------
αὐτίχ’	au)ti/x'	αὐτίκα	au)ti/ka	d--------
αὐτό	au)to/	αὐτός	au)to/s	n-s---nn-
αὐτό	au)to/	αὐτός	au)to/s	n-s---nv-
αὐτό	au)to/	αὐτός	au)to/s	n-s---na-
αὐτόν	au)to/n	αὐτός	au)to/s	n-s---ma-
αὐτός	au)to/s	αὐτός	au)to/s	n-s---mn-
αὐτόχειρες	au)to/xeires	αὐτόχειρ	au)to/xeir	n-p---mn-
αὐτόχειρες	au)to/xeires	αὐτόχειρ	au)to/xeir	n-p---mv-
αὐτόχειρες	au)to/xeires	αὐτόχειρ	au)to/xeir	n-p---fn-
αὐτόχειρες	au)to/xeires	αὐτόχειρ	au)to/xeir	n-p---fv-
αὐτώ	au)tw/	αὐτός	au)to/s	n-d---nn-
αὐτώ	au)tw/	αὐτός	au)to/s	n-d---nv-
αὐτώ	au)tw/	αὐτός	au)to/s	n-d---na-
αὐτώ	au)tw/	αὐτός	au)to/s	n-d---mn-
αὐτώ	au)tw/	αὐτός	au)to/s	n-d---mv-
αὐτώ	au)tw/	αὐτός	au)to/s	n-d---ma-
αὐτῆς	au)th=s	αὐτός	au)to/s	n-s---fg-
αὐτῇ	au)th=|	αὐτός	au)to/s	n-s---fd-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---ng-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---fg-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---mg-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---nd-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---md-
αὑταιί	au(taii/	οὗτος	ou(=tos	n-p---fn-
αὑτηγί	au(thgi/	οὗτος	ou(=tos	n-s---fn-
αὑτοῦ	au(tou=	ἑαυτοῦ	e(autou=	n-s---ng-
αὑτοῦ	au(tou=	ἑαυτοῦ	e(autou=	n-s---mg-
αὑτῆς	au(th=s	ἑαυτοῦ	e(autou=	n-s---fg-
αὑτῶν	au(tw=n	ἑαυτοῦ	e(autou=	n-p---ng-
αὑτῶν	au(tw=n	ἑαυτοῦ	e(autou=	n-p---fg-
αὑτῶν	au(tw=n	ἑαυτοῦ	e(autou=	n-p---mg-
αὔλακα	au)/laka	αὖλαξ	au)=lac	n-s---fa-
αὔραις	au)/rais	αὔρα	au)/ra	n-p---fd-
αὕτη	au(/th	οὗτος	ou(=tos	n-s---fn-
αὕτη	au(/th	οὗτος	ou(=tos	n-s---fv-
αὖ	au)=	αὗ	au(=	x--------
αὖ	au)=	αὖ	au)=	d--------
αὖθις	au)=qis	αὖθις	au)=qis	d--------
