Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	urn:cite2:hmt:lsj.chicago_md:n2219	a-s---mn-
πέντ’	pe/nt'	πέντε	pe/nte	urn:cite2:hmt:lsj.chicago_md:n80761	m--------
πέπαται	pe/patai	πάομαι	pa/omai	urn:cite2:hmt:lsj.chicago_md:n77723	v3srie---
πέπλον	pe/plon	πέπλος	pe/plos	urn:cite2:hmt:lsj.chicago_md:n80926	n-s---ma-
πέπλον	pe/plon	πεπλος	peplos	urn:cite2:hmt:lsj.chicago_md:n80926	n-s---ma-
πέπλον	pe/plon	πεπλος	peplos	urn:cite2:hmt:lsj.chicago_md:n80926	n-s---fa-
πέπλον	pe/plon	πεπλος	peplos	urn:cite2:hmt:lsj.chicago_md:n80926	n-s---nn-
πέπλον	pe/plon	πεπλος	peplos	urn:cite2:hmt:lsj.chicago_md:n80926	n-s---nv-
πέπλον	pe/plon	πεπλος	peplos	urn:cite2:hmt:lsj.chicago_md:n80926	n-s---na-
πέποιθ’	pe/poiq'	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v1sria---
πέποιθ’	pe/poiq'	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v2srma---
πέποιθ’	pe/poiq'	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v3sria---
πέπρακται	pe/praktai	πράσσω	pra/ssw	urn:cite2:hmt:lsj.chicago_md:n86219	v3srie---
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80956	d--------
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80957	d--------
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80956	n-d---fn-
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80957	n-d---fn-
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80956	n-d---fv-
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80957	n-d---fv-
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80956	n-d---fa-
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80957	n-d---fa-
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80956	n-s---fn-
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80957	n-s---fn-
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80956	n-s---fv-
πέρα	pe/ra	πέρα	pe/ra	urn:cite2:hmt:lsj.chicago_md:n80957	n-s---fv-
πέρα	pe/ra	περάω1	pera/w	urn:cite2:hmt:lsj.chicago_md:n80993	v2spma---
πέρα	pe/ra	περάω1	pera/w	urn:cite2:hmt:lsj.chicago_md:n80994	v2spma---
πέρα	pe/ra	περάω1	pera/w	urn:cite2:hmt:lsj.chicago_md:n80993	v3siia---
πέρα	pe/ra	περάω1	pera/w	urn:cite2:hmt:lsj.chicago_md:n80994	v3siia---
πέρα	pe/ra	περάω2	pera/w	urn:cite2:hmt:lsj.chicago_md:n80993	v2spma---
πέρα	pe/ra	περάω2	pera/w	urn:cite2:hmt:lsj.chicago_md:n80994	v2spma---
πέρα	pe/ra	περάω2	pera/w	urn:cite2:hmt:lsj.chicago_md:n80993	v3siia---
πέρα	pe/ra	περάω2	pera/w	urn:cite2:hmt:lsj.chicago_md:n80994	v3siia---
πέρδιξ	pe/rdic	πέρδιξ	pe/rdic	urn:cite2:hmt:lsj.chicago_md:n81010	n-s---mn-
πέρδιξ	pe/rdic	πέρδιξ	pe/rdic	urn:cite2:hmt:lsj.chicago_md:n81010	n-s---mv-
πέρδιξ	pe/rdic	πέρδιξ	pe/rdic	urn:cite2:hmt:lsj.chicago_md:n81010	n-s---fn-
πέρδιξ	pe/rdic	πέρδιξ	pe/rdic	urn:cite2:hmt:lsj.chicago_md:n81010	n-s---fv-
πέτει	pe/tei	πέτομαι	pe/tomai	urn:cite2:hmt:lsj.chicago_md:n82756	v2spie---
πέτει	pe/tei	πετάω	peta/w	urn:cite2:hmt:lsj.chicago_md:n82739	v2spma---
πέτει	pe/tei	πετάω	peta/w	urn:cite2:hmt:lsj.chicago_md:n82739	v3siia---
πέτεσθαι	pe/tesqai	πέτομαι	pe/tomai	urn:cite2:hmt:lsj.chicago_md:n82756	v--pne---
πέτεται	pe/tetai	πέτομαι	pe/tomai	urn:cite2:hmt:lsj.chicago_md:n82756	v3spie---
πέτομαι	pe/tomai	πέτομαι	pe/tomai	urn:cite2:hmt:lsj.chicago_md:n82756	v1spie---
πέτραν	pe/tran	πέτρα	pe/tra	urn:cite2:hmt:lsj.chicago_md:n82758	n-s---fa-
πέτωμαι	pe/twmai	πέτομαι	pe/tomai	urn:cite2:hmt:lsj.chicago_md:n82756	v1spse---
πέφευγας	pe/feugas	φεύγω	feu/gw	urn:cite2:hmt:lsj.chicago_md:n110606	v2sria---
πέφυκεν	pe/fuken	φύω	fu/w	urn:cite2:hmt:lsj.chicago_md:n112794	v3sria---
πέφυκεν	pe/fuken	φύω	fu/w	urn:cite2:hmt:lsj.chicago_md:n112794	v3plia---
πέφυκεν	pe/fuken	φύζω	fu/zw	urn:cite2:hmt:lsj.chicago_md:n112495	v3sria---
πέφυκεν	pe/fuken	φύζω	fu/zw	urn:cite2:hmt:lsj.chicago_md:n112495	v3plia---
πίθηκος	pi/qhkos	πίθηκος	pi/qhkos	urn:cite2:hmt:lsj.chicago_md:n83099	n-s---mn-
πίθησθε	pi/qhsqe	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v2pase---
πίθησθε	pi/qhsqe	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v2pasa---
πίθοισθέ	pi/qoisqe/	πείθω	pei/qw	urn:cite2:hmt:lsj.chicago_md:n80327	v2paom---
πίπτω	pi/ptw	πίπτω	pi/ptw	urn:cite2:hmt:lsj.chicago_md:n83253	v1spsa---
πίπτω	pi/ptw	πίπτω	pi/ptw	urn:cite2:hmt:lsj.chicago_md:n83253	v1spia---
πόδα	po/da	πούς	pou/s	urn:cite2:hmt:lsj.chicago_md:n86108	n-s---ma-
πόδες	po/des	πούς	pou/s	urn:cite2:hmt:lsj.chicago_md:n86108	n-p---mn-
πόδες	po/des	πούς	pou/s	urn:cite2:hmt:lsj.chicago_md:n86108	n-p---mv-
πόθεν	po/qen	πίνω	pi/nw	urn:cite2:hmt:lsj.chicago_md:n83231	v3paip---
πόθεν	po/qen	πόθεν	po/qen	urn:cite2:hmt:lsj.chicago_md:n84202	d--------
πόθεν	po/qen	ποθεν	poqen	urn:cite2:hmt:lsj.chicago_md:n84202	g--------
πόκον	po/kon	πόκος	po/kos	urn:cite2:hmt:lsj.chicago_md:n84396	n-s---ma-
πόλει	po/lei	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-d---fn-
πόλει	po/lei	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-d---fv-
πόλει	po/lei	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-d---fa-
πόλει	po/lei	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-s---fd-
πόλει	po/lei	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-s---fd-
πόλει	po/lei	πολέω	pole/w	urn:cite2:hmt:lsj.chicago_md:n84443	v2spma---
πόλει	po/lei	πολέω	pole/w	urn:cite2:hmt:lsj.chicago_md:n84443	v3siia---
πόλεις	po/leis	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-p---fn-
πόλεις	po/leis	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-p---fv-
πόλεις	po/leis	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-p---fn-
πόλεις	po/leis	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-p---fa-
πόλεις	po/leis	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-p---fn-
πόλεις	po/leis	πολέω	pole/w	urn:cite2:hmt:lsj.chicago_md:n84443	v2siia---
πόλεις	po/leis	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	n-p---mn-
πόλεις	po/leis	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	n-p---ma-
πόλεμον	po/lemon	πόλεμος	po/lemos	urn:cite2:hmt:lsj.chicago_md:n84434	n-s---ma-
πόλεμος	po/lemos	πόλεμος	po/lemos	urn:cite2:hmt:lsj.chicago_md:n84434	n-s---mn-
πόλεσιν	po/lesin	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-p---fd-
πόλεσιν	po/lesin	πολύς	polu/s	urn:cite2:hmt:lsj.chicago_md:n85306	n-p---md-
πόλεως	po/lews	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-s---fg-
πόλιν	po/lin	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-s---fa-
πόλις	po/lis	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-p---fa-
πόλις	po/lis	πόλις	po/lis	urn:cite2:hmt:lsj.chicago_md:n84494	n-s---fn-
πόλισμα	po/lisma	πόλισμα	po/lisma	urn:cite2:hmt:lsj.chicago_md:n84495	n-s---nn-
πόλισμα	po/lisma	πόλισμα	po/lisma	urn:cite2:hmt:lsj.chicago_md:n84495	n-s---nv-
πόλισμα	po/lisma	πόλισμα	po/lisma	urn:cite2:hmt:lsj.chicago_md:n84495	n-s---na-
πόλος	po/los	πόλος	po/los	urn:cite2:hmt:lsj.chicago_md:n84566	n-s---mn-
πόλου	po/lou	πόλος	po/los	urn:cite2:hmt:lsj.chicago_md:n84566	n-s---mg-
πόνηρε	po/nhre	πονηρός	ponhro/s	urn:cite2:hmt:lsj.chicago_md:n85654	a-s---mv-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	urn:cite2:hmt:lsj.chicago_md:n85654	a-p---nn-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	urn:cite2:hmt:lsj.chicago_md:n85654	a-p---nv-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	urn:cite2:hmt:lsj.chicago_md:n85654	a-p---na-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	urn:cite2:hmt:lsj.chicago_md:n85654	a-s---mv-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	urn:cite2:hmt:lsj.chicago_md:n85654	a-p---fn-
πόνηρ’	po/nhr'	πονηρός	ponhro/s	urn:cite2:hmt:lsj.chicago_md:n85654	a-p---fv-
πόντιον	po/ntion	Πόντιος	*po/ntios	urn:cite2:hmt:lsj.chicago_md:n85675	n-s---ma-
πόντιον	po/ntion	πόντιος	po/ntios	urn:cite2:hmt:lsj.chicago_md:n85675	a-s---ma-
πόντιον	po/ntion	πόντιος	po/ntios	urn:cite2:hmt:lsj.chicago_md:n85675	a-s---nn-
πόντιον	po/ntion	πόντιος	po/ntios	urn:cite2:hmt:lsj.chicago_md:n85675	a-s---nv-
πόντιον	po/ntion	πόντιος	po/ntios	urn:cite2:hmt:lsj.chicago_md:n85675	a-s---na-
πόντιον	po/ntion	πόντιος	po/ntios	urn:cite2:hmt:lsj.chicago_md:n85675	n-s---ma-
πόντιον	po/ntion	πόντιος	po/ntios	urn:cite2:hmt:lsj.chicago_md:n85675	n-s---fa-
πόντιον	po/ntion	πόντιος	po/ntios	urn:cite2:hmt:lsj.chicago_md:n85675	n-s---nn-
πόντιον	po/ntion	πόντιος	po/ntios	urn:cite2:hmt:lsj.chicago_md:n85675	n-s---nv-
πόντιον	po/ntion	πόντιος	po/ntios	urn:cite2:hmt:lsj.chicago_md:n85675	n-s---na-
πόρρω	po/rrw	πρόσω	pro/sw	urn:cite2:hmt:lsj.chicago_md:n90410	d--------
πότερα	po/tera	πότερος	po/teros	urn:cite2:hmt:lsj.chicago_md:n85982	a-p---nn-
πότερα	po/tera	πότερος	po/teros	urn:cite2:hmt:lsj.chicago_md:n85982	a-p---nv-
πότερα	po/tera	πότερος	po/teros	urn:cite2:hmt:lsj.chicago_md:n85982	a-p---na-
πότερον	po/teron	πότερος	po/teros	urn:cite2:hmt:lsj.chicago_md:n85982	a-s---ma-
πότερον	po/teron	πότερος	po/teros	urn:cite2:hmt:lsj.chicago_md:n85982	a-s---nn-
πότερον	po/teron	πότερος	po/teros	urn:cite2:hmt:lsj.chicago_md:n85982	a-s---nv-
πότερον	po/teron	πότερος	po/teros	urn:cite2:hmt:lsj.chicago_md:n85982	a-s---na-
πότ’	po/t'	πότε	po/te	urn:cite2:hmt:lsj.chicago_md:n85971	x--------
πότ’	po/t'	πότης	po/ths	urn:cite2:hmt:lsj.chicago_md:n86006	n-s---mv-
πότ’	po/t'	πότης	po/ths	urn:cite2:hmt:lsj.chicago_md:n86006	n-s---mn-
πότ’	po/t'	πότης	po/ths	urn:cite2:hmt:lsj.chicago_md:n86006	n-s---fv-
πότ’	po/t'	πότης	po/ths	urn:cite2:hmt:lsj.chicago_md:n86006	n-p---mn-
πότ’	po/t'	πότης	po/ths	urn:cite2:hmt:lsj.chicago_md:n86006	n-p---mv-
πότ’	po/t'	πότης	po/ths	urn:cite2:hmt:lsj.chicago_md:n86006	n-s---md-
πότ’	po/t'	πότις	po/tis	urn:cite2:hmt:lsj.chicago_md:n86042	n-s---fv-
πότ’	po/t'	πότος	po/tos	urn:cite2:hmt:lsj.chicago_md:n86084	n-s---mv-
πότ’	po/t'	ποτέ	pote/	urn:cite2:hmt:lsj.chicago_md:n85971	g--------
πότ’	po/t'	ποτέ	pote/	urn:cite2:hmt:lsj.chicago_md:n85971a	g--------
πότ’	po/t'	ποτέ	pote/	urn:cite2:hmt:lsj.chicago_md:n85971	g--------
πότ’	po/t'	ποτέ	pote/	urn:cite2:hmt:lsj.chicago_md:n85971a	g--------
πύθῃ	pu/qh|	πύθω	pu/qw	urn:cite2:hmt:lsj.chicago_md:n91391	v2spsp---
πύθῃ	pu/qh|	πύθω	pu/qw	urn:cite2:hmt:lsj.chicago_md:n91391	v2spip---
πύθῃ	pu/qh|	πυνθάνομαι	punqa/nomai	urn:cite2:hmt:lsj.chicago_md:n91516	v2sase---
πύθῃ	pu/qh|	πυνθάνομαι	punqa/nomai	urn:cite2:hmt:lsj.chicago_md:n91516	v3sasa---
πύλαις	pu/lais	πύλη	pu/lh	urn:cite2:hmt:lsj.chicago_md:n91489	n-p---fd-
πύλας	pu/las	πύλη	pu/lh	urn:cite2:hmt:lsj.chicago_md:n91489	n-p---fa-
πύλας	pu/las	πύλη	pu/lh	urn:cite2:hmt:lsj.chicago_md:n91489	n-s---fg-
πύργοις	pu/rgois	πύργος	pu/rgos	urn:cite2:hmt:lsj.chicago_md:n91605	n-p---md-
πώποθ’	pw/poq'	πώποτε	pw/pote	urn:cite2:hmt:lsj.chicago_md:n91991	d--------
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-s---ma-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-s---ma-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-s---ma-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-s---nn-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-s---nn-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-s---nn-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-s---nv-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-s---nv-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-s---nv-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-s---na-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-s---na-
πᾶν	pa=n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-s---na-
πᾶς	pa=s	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-s---mn-
πᾶς	pa=s	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-s---mn-
πᾶς	pa=s	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-s---mn-
πᾶς	pa=s	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-s---mv-
πᾶς	pa=s	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-s---mv-
πᾶς	pa=s	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-s---mv-
πᾶσαν	pa=san	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-s---fa-
πᾶσαν	pa=san	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-s---fa-
πᾶσαν	pa=san	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-s---fa-
πᾶσι	pa=si	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---md-
πᾶσι	pa=si	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---md-
πᾶσι	pa=si	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---md-
πᾶσι	pa=si	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---nd-
πᾶσι	pa=si	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---nd-
πᾶσι	pa=si	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---nd-
πᾶσι	pa=si	πᾶσις	pa=sis	urn:cite2:hmt:lsj.chicago_md:n79920	n-s---fv-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---md-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---md-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---md-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---nd-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---nd-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---nd-
πᾶσιν	pa=sin	πᾶσις	pa=sis	urn:cite2:hmt:lsj.chicago_md:n79920	n-s---fa-
πᾷ	pa=|	πῆ	ph=	urn:cite2:hmt:lsj.chicago_md:n82862	x--------
πῦρ	pu=r	πῦρ	pu=r	urn:cite2:hmt:lsj.chicago_md:n91547	n-s---nn-
πῦρ	pu=r	πῦρ	pu=r	urn:cite2:hmt:lsj.chicago_md:n91547	n-s---nv-
πῦρ	pu=r	πῦρ	pu=r	urn:cite2:hmt:lsj.chicago_md:n91547	n-s---na-
πῶς	pw=s	πῶς	pw=s	urn:cite2:hmt:lsj.chicago_md:n92010	x--------
πῶς	pw=s	πῶσ2	pw=s	urn:cite2:hmt:lsj.chicago_md:n92010	d--------
πῶς	pw=s	πως	pws	urn:cite2:hmt:lsj.chicago_md:n92011	g--------
σαυτοῦ	sautou=	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	p-s---mg-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	p-s---ng-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	n-s---ng-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	n-s---mg-
σαυτήν	sauth/n	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	p-s---fa-
σαυτήν	sauth/n	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	n-s---fa-
σαυτόν	sauto/n	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	p-s---ma-
σαυτόν	sauto/n	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	p-s---na-
σαυτόν	sauto/n	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	n-s---ma-
σαφές	safe/s	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	n-s---mv-
σαφές	safe/s	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	n-s---fv-
σαφές	safe/s	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	n-s---nn-
σαφές	safe/s	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	n-s---nv-
σαφές	safe/s	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	n-s---na-
σαφῶς	safw=s	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	x--------
σε	se	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----a-
σεμνοῖς	semnoi=s	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-p---nd-
σεμνοῖς	semnoi=s	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---md-
σεμνοῖς	semnoi=s	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---nd-
σεμνοῖς	semnoi=s	σεμνόω	semno/w	urn:cite2:hmt:lsj.chicago_md:n93717	v2spoa---
σεμνοῖς	semnoi=s	σεμνόω	semno/w	urn:cite2:hmt:lsj.chicago_md:n93717	v2spsa---
σεμνοῖς	semnoi=s	σεμνόω	semno/w	urn:cite2:hmt:lsj.chicago_md:n93717	v2spia---
σεμνυνόμενοι	semnuno/menoi	σεμνύνω	semnu/nw	urn:cite2:hmt:lsj.chicago_md:n93718	v-pppemn-
σεμνυνόμενοι	semnuno/menoi	σεμνύνω	semnu/nw	urn:cite2:hmt:lsj.chicago_md:n93718	v-pppemv-
σεμνά	semna/	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-p---nn-
σεμνά	semna/	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-p---nv-
σεμνά	semna/	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-p---na-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---nn-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---nv-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---na-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-d---fn-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-d---fv-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-d---fa-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-s---fn-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-s---fv-
σείει	sei/ei	σείω	sei/w	urn:cite2:hmt:lsj.chicago_md:n93601	v3sasa---
σείει	sei/ei	σείω	sei/w	urn:cite2:hmt:lsj.chicago_md:n93601	v2sfim---
σείει	sei/ei	σείω	sei/w	urn:cite2:hmt:lsj.chicago_md:n93601	v3sfia---
σείει	sei/ei	σείω	sei/w	urn:cite2:hmt:lsj.chicago_md:n93601	v2spie---
σείει	sei/ei	σείω	sei/w	urn:cite2:hmt:lsj.chicago_md:n93601	v3spia---
σιγήσομαι	sigh/somai	σιγάω	siga/w	urn:cite2:hmt:lsj.chicago_md:n93963	v1sasm---
σιγήσομαι	sigh/somai	σιγάω	siga/w	urn:cite2:hmt:lsj.chicago_md:n93963	v1sfim---
σισύμβρια	sisu/mbria	σίσυμβρον	si/sumbron	urn:cite2:hmt:lsj.chicago_md:n94304	n-p---nn-
σισύμβρια	sisu/mbria	σίσυμβρον	si/sumbron	urn:cite2:hmt:lsj.chicago_md:n94304	n-p---nv-
σισύμβρια	sisu/mbria	σίσυμβρον	si/sumbron	urn:cite2:hmt:lsj.chicago_md:n94304	n-p---na-
σισύμβρια	sisu/mbria	σισύμβριον	sisu/mbrion	urn:cite2:hmt:lsj.chicago_md:n94303	n-p---nn-
σισύμβρια	sisu/mbria	σισύμβριον	sisu/mbrion	urn:cite2:hmt:lsj.chicago_md:n94303	n-p---nv-
σισύμβρια	sisu/mbria	σισύμβριον	sisu/mbrion	urn:cite2:hmt:lsj.chicago_md:n94303	n-p---na-
σισύραν	sisu/ran	σισύρα	sisu/ra	urn:cite2:hmt:lsj.chicago_md:n94305	n-s---fa-
σιωπήσει	siwph/sei	σιώπησις	siw/phsis	urn:cite2:hmt:lsj.chicago_md:n94477	n-d---fn-
σιωπήσει	siwph/sei	σιώπησις	siw/phsis	urn:cite2:hmt:lsj.chicago_md:n94477	n-d---fv-
σιωπήσει	siwph/sei	σιώπησις	siw/phsis	urn:cite2:hmt:lsj.chicago_md:n94477	n-d---fa-
σιωπήσει	siwph/sei	σιώπησις	siw/phsis	urn:cite2:hmt:lsj.chicago_md:n94477	n-s---fd-
σιωπήσει	siwph/sei	σιώπησις	siw/phsis	urn:cite2:hmt:lsj.chicago_md:n94477	n-s---fd-
σιωπήσει	siwph/sei	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v3sasa---
σιωπήσει	siwph/sei	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v2sfim---
σιωπήσει	siwph/sei	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v3sfia---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v2spse---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v2spie---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v3spsa---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v3spia---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v2spse---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v2spie---
σιωπῇ	siwph=|	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v3spsa---
σιωπῇ	siwph=|	σιωπή	siwph/	urn:cite2:hmt:lsj.chicago_md:n94474	n-s---fd-
σκαιότατον	skaio/taton	σκαιός	skaio/s	urn:cite2:hmt:lsj.chicago_md:n94483	a-s---mas
σκαιότατον	skaio/taton	σκαιός	skaio/s	urn:cite2:hmt:lsj.chicago_md:n94483	a-s---nns
σκαιότατον	skaio/taton	σκαιός	skaio/s	urn:cite2:hmt:lsj.chicago_md:n94483	a-s---nvs
σκαιότατον	skaio/taton	σκαιός	skaio/s	urn:cite2:hmt:lsj.chicago_md:n94483	a-s---nas
